"a4:ad204","found Dec, 2007",,,,,"maternal gtype",,,,,"paternal gtype",,,,,,,,,,,,,,,,,,
"crop","offspring family","ma family","ma num gtype","pa family","pa num gtype","pma ma gma gtype","pma ma gpa gtype","pma pa gma gtype","pma pa mutant","ma quasi","ppa pa gma gtype","ppa ma gpa gtype","ppa pa gma gtype","ppa pa mutant","num bc","num oc","pa quasi","cross date","ear","est cl","counted cl","current cl count","packet","box","sleeve","inventory date","plant 07r","plan","notes"
"06R",1001,1,"06R0001:0000108",1,"06R0001:0000106","Mo20W","+","Mo20W","+",,"Mo20W","+","Mo20W","Les1",0,0,"-K0106","7/11/2006","x",,,,,,,,,,
"06R",,2,"06R0002:0000204",2,"06R0002:0000202","Mo20W","+","Mo20W","+",,"Mo20W","+","Mo20W","Les2",0,0,"-K0202","7/11/2006","x",,,,,,,,,,
"06R",1026,2,"06R0002:0000209",2,"06R0002:0000203","Mo20W","+","Mo20W","+",,"Mo20W","+","Mo20W","Les2",0,0,"-K0203","7/9/2006","x",,,,,,,,,,
"06R",,5,"06R0005:0000501",5,"06R0005:0000506","Mo20W","+","Mo20W","+",,"Mo20W","+","Mo20W","Les7",0,0,"-K0506","7/11/2006","x",,,,,,,,,,
"06R",,5,"06R0005:0000510",5,"06R0005:0000505","Mo20W","+","Mo20W","+",,"Mo20W","+","Mo20W","Les7",0,0,"-K0505","7/10/2006","x",,,,,,,,,,
"06R",,6,"06R0006:0000606",6,"06R0006:0000609","Mo20W","+","Mo20W","+",,"Mo20W","+","Mo20W","Les8",0,0,"-K0609","7/9/2006","x",,,,,,,,,,
"06R",,6,"06R0006:0000607",6,"06R0006:0000604","Mo20W","+","Mo20W","+",,"Mo20W","+","Mo20W","Les8",0,0,"-K0604","7/9/2006","x",,,,,,,,,,
"06R",,6,"06R0006:0000613",6,"06R0006:0000601","Mo20W","+","Mo20W","+",,"Mo20W","+","Mo20W","Les8",0,0,"-K0601","7/9/2006","x",,,,,,,,,,
"06R",,9,"06R0009:0000905",9,"06R0009:0000904","Mo20W","+","Mo20W","+",,"Mo20W","+","Mo20W","Les11",0,0,"-K0904","7/11/2006","x",,,,,,,,,,
"06R",,9,"06R0009:0000908",9,"06R0009:0000901","Mo20W","+","Mo20W","+",,"Mo20W","+","Mo20W","Les11",0,0,"-K0901","7/12/2006","x",,,,,,,,,,
"06R",,12,"06R0012:0001207",12,"06R0012:0001208","Mo20W","+","Mo20W","Les15",,"Mo20W","+","Mo20W","+",0,0,"-K1208","7/11/2006","x",,,,,,,,,,
"06R",,12,"06R0012:0001208",12,"06R0012:0001207","Mo20W","+","Mo20W","+",,"Mo20W","+","Mo20W","Les15",0,0,"-K1207","7/11/2006","x",,,,,,,,,,
"06R",,13,"06R0013:0001304",13,"06R0013:0001302","Mo20W","+","Mo20W","+",,"Mo20W","+","Mo20W","Les17",0,0,"-K1302","7/10/2006","x",,,,,,,,,,
"06R",,13,"06R0013:0001315",13,"06R0013:0001312","Mo20W","+","Mo20W","+",,"Mo20W","+","Mo20W","Les17",0,0,"-K1312","7/11/2006","x",,,,,,,,,,
"06R",,14,"06R0014:0001403",14,"06R0014:0001406","Mo20W","+","Mo20W","+",,"Mo20W","+","Mo20W","Les18",0,0,"-K1406","7/10/2006","x",,,,,,,,,,
"06R",,14,"06R0014:0001404",14,"06R0014:0001407","Mo20W","+","Mo20W","+",,"Mo20W","+","Mo20W","Les18",0,0,"-K1407","7/11/2006","x",,,,,,,,,,
"06R",,17,"06R0017:0001704",17,"06R0017:0001706","Mo20W","+","Mo20W","+",,"Mo20W","+","Mo20W","lls1",0,0,"-K1706","7/10/2006","x",,,,,,,,,,
"06R",,17,"06R0017:0001709",17,"06R0017:0001703","Mo20W","+","Mo20W","+",,"Mo20W","+","Mo20W","lls1",0,0,"-K1703","7/12/2006","x",,,,,,,,,,
"06R",,18,"06R0018:0001808",18,"06R0018:0001804","Mo20W","+","Mo20W","+",,"Mo20W","+","Mo20W","les23",0,0,"-K1804","7/12/2006","x",,,,,,,,,,
"06R",,19,"06R0018:0001805",19,"06R0018:0001809","Mo20W","+","Mo20W","+",,"Mo20W","+","Mo20W","les23",0,0,"-K1809","7/11/2006","x",,,,,,,,,,
"06R",,30,"06R0030:0003011",30,"06R0030:0003012","W23","+","W23","+",,"W23","+","W23","Les17",0,0,"-K3012","7/12/2006","x",,,,,,,,,,
"06R",,37,"06R0037:0003706",37,"06R0037:0003709","Les2 NonExp","?","?","Les2 Exp",,"?","?","?","Les2 Exp",0,0,"-K3709","7/12/2006","x",,,,,,,,,,
"06R",,37,"06R0037:0003714",37,"06R0037:0003708","Les2 NonExp","?","?","Les2 Exp",,"?","?","?","Les2 Exp",0,0,"-K3708","7/10/2006","x",,,,,,,,,,
"06R",,40,"06R0040:0004002",40,"06R0040:0004001","Les6 NonExp","?","?","Les6 Exp",,"Les6 NonExp","?","?","Les6 Exp",0,0,"-K4001","7/20/2006","x",,,,,,,,,,
"06R",,40,"06R0040:0004004",40,"06R0040:0004005","Les6 NonExp","?","?","Les6 Exp",,"Les6 NonExp","?","?","Les6 Exp",0,0,"-K4005","7/20/2006","x",,,,,,,,,,
"06R",,40,"06R0040:0004010",40,"06R0040:0004007","Les6 NonExp","?","?","Les6 Exp",,"Les6 NonExp","?","?","Les6 Exp",0,0,"-K4007","7/20/2006","x",,,,,,,,,,
"06R",,41,"06R0041:0004102",41,"06R0041:0004106","Les7 NonExp","?","?","Les7 Exp",,"?","?","?","Les7 Exp",0,0,"-K4106","7/12/2006","x",,,,,,,,,,
"06R",,41,"06R0041:0004107",41,"06R0041:0004108","Les7 NonExp","?","?","Les7 Exp",,"?","?","?","Les7 Exp",0,0,"-K4108","7/10/2006","x",,,,,,,,,,
"06R",,41,"06R0041:0004109",41,"06R0041:0004101","Les7 NonExp","?","?","Les7 Exp",,"?","?","?","Les7 Exp",0,0,"-K4101","7/12/2006","x",,,,,,,,,,
"06R",,41,"06R0041:0004110",41,"06R0041:0004107","Les7 NonExp","?","?","Les7 Exp",,"?","?","?","Les7 Exp",0,0,"-K4107","7/12/2006","x",,,,,,,,,,
"06R",,42,"06R0042:0004207",42,"06R0042:0004209","Les8 NonExp","?","?","Les8 Exp",,"Les8 NonExp","?","?","Les8 Exp",0,0,"-K4209","7/10/2006","x",,,,,,,,,,
"06R",,45,"06R0045:0004506",45,"06R0045:0004510","Les11 NonExp","?","?","Les11 Exp??",,"?","?","?","Les11 Exp??",0,0,"-K4510","7/12/2006","x",,,,,,,,,,
"06R",,46,"06R0046:0004608",46,"06R0046:0004603","Les12 NonExp","?","?","Les12 Exp",,"Les12 NonExp","?","?","Les12 Exp",0,0,"-K4603","7/12/2006","x",,,,,,,,,,
"06R",,46,"06R0046:0004609",46,"06R0046:0004611","Les12 NonExp","?","?","Les12 Exp",,"Les12 NonExp","?","?","Les12 Exp",0,0,"-K4611","7/12/2006","x",,,,,,,,,,
"06R",,47,"06R0047:0004702",47,"06R0047:0004707","Les15 NonExp","?","?","Les15 Exp",,"Les15 NonExp","?","?","Les15 Exp",0,0,"-K4707","7/20/2006","x",,,,,,,,,,
"06R",,47,"06R0047:0004706",47,"06R0047:0004704","Les15 NonExp","?","?","Les15 Exp",,"Les15 NonExp","?","?","Les15 Exp",0,0,"-K46704","8/11/2006","x",,,,,,,,,,
"06R",,49,"06R0049:0004905",49,"06R0049:0004901","Les18 NonExp","?","?","Les18 Exp",,"Les18 NonExp","?","?","Les18 Exp",0,0,"-K4901","7/10/2006","x",,,,,,,,,,
"06R","1938","57","06R0057:0005705","57","06R0057:0005702","B77","A636","+","+",,"B77","A636","+","Les4-N1375",0,0,"-K5702","7/00/2006","x",684,,,FALSE,7,0,10/19/06,,,
