"plantID","wild_type","lesion","cross","photograph","stature","tassel","ear","other_phenotypes","observer","datetime","mutanta"
"11N3426:0011801",1,0,0,0,0,,,,"toni",,
"11N3426:0011802",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3426:0011803",1,0,0,0,0,,,,"toni",,
"11N3426:0011804",1,0,0,0,0,,,,"toni",,
"11N3426:0011805",1,0,0,0,0,,,,"toni",,
"11N3426:0011806",1,0,0,0,0,,,,"toni",,
"11N3426:0011807",1,0,0,0,0,,,,"toni",,
"11N3426:0011808",1,0,0,0,0,,,,"toni",,
"11N3426:0011809",1,0,0,0,0,,,,"toni",,
"11N3426:0011810",1,0,0,0,0,,,,"toni",,
"11N3426:0011811",1,0,0,0,0,,,,"toni",,
"11N3426:0011812",1,0,0,0,0,,,,"toni",,
"11N3426:0011813",1,0,0,0,0,,,,"toni",,
"11N3427:0011901",1,0,0,0,"shorter_by_2ft",,,,"toni",,
"11N3427:0011902",1,0,0,0,0,,,,"toni",,
"11N3427:0011903",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3427:0011904",1,0,0,0,"shorter_by_3ft","rudimentary tassel",,,"toni",,
"11N3427:0011905",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3427:0011906",1,0,0,0,0,"rudimentary tassel",,,"toni",,
"11N3427:0011907",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3427:0011908",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3427:0011909",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3427:0011910",1,0,0,0,0,,,,"toni",,
"11N3427:0011911",1,0,0,0,0,,,,"toni",,
"11N3427:0011912",1,0,0,0,0,,,,"toni",,
"11N1395:0012001",0,1,0,0,"shorter_by_4ft",,,,"toni",,
"11N1395:0012002",1,0,0,0,0,,,,"toni",,
"11N1395:0012002",1,0,0,0,0,,,,"toni",01/27/2008 00:00:00,
"11N1395:0012003",1,0,0,0,"shorter_by_3ft",,,,"toni",,
"11N1395:0012004",1,0,0,0,"shorter_by_4ft",,,,"toni",,
"11N1395:0012006",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N1395:0012007",1,0,0,0,"shorter_by_3ft",,"no ear",,"toni",,
"11N1395:0012008",1,0,0,0,"shorter_by_2ft",,"no ear",,"toni",,
"11N3218:0012101",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3218:0012102",1,0,0,0,0,,,,"toni",,
"11N3218:0012103",1,0,0,0,0,,,,"toni",,
"11N3218:0012104",1,0,0,0,0,,,,"toni",,
"11N3218:0012105",1,0,0,0,0,,"small ear",,"toni",,
"11N3218:0012106",1,0,0,0,0,,,,"toni",,
"11N3218:0012107",1,0,0,0,0,,,,"toni",,
"11N3218:0012108",1,0,0,0,0,,"small ear",,"toni",,
"11N3218:0012109",1,0,0,0,0,,,,"toni",,
"11N3218:0012110",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N1731:0012201",1,0,0,0,0,,,,"toni",,
"11N1731:0012202",1,0,0,0,0,,,,"toni",,
"11N1731:0012203",1,0,0,0,0,,,,"toni",,
"11N1731:0012204",1,0,0,0,0,,,,"toni",,
"11N1731:0012205",1,0,0,0,0,,,,"toni",,
"11N1731:0012206",1,0,0,0,0,,,,"toni",,
"11N1731:0012207",1,0,0,0,0,,,,"toni",,
"11N1731:0012208",1,0,0,0,0,,,,"toni",,
"11N1731:0012209",1,0,0,0,0,,,,"toni",,
"11N1731:0012210",1,0,0,0,0,,,,"toni",,
"11N1731:0012211",1,0,0,0,0,,,,"toni",,
"11N1731:0012212",1,0,0,0,0,,,,"toni",,
"11N3428:0012301",1,0,0,0,0,,,,"toni",,
"11N3428:0012302",1,0,0,0,0,,,,"toni",,
"11N3428:0012303",1,0,0,0,0,,,,"toni",,
"11N3428:0012304",1,0,0,0,0,,,,"toni",,
"11N3428:0012305",1,0,0,0,0,,,,"toni",,
"11N3428:0012306",1,0,0,0,0,,,,"toni",,
"11N3428:0012307",1,0,0,0,0,,,,"toni",,
"11N3428:0012308",1,0,0,0,0,,,,"toni",,
"11N3428:0012309",1,0,0,0,0,,,,"toni",,
"11N3428:0012310",1,0,0,0,0,,,,"toni",,
"11N3428:0012311",1,0,0,0,0,,,,"toni",,
"11N3428:0012312",1,0,0,0,0,,,,"toni",,
"11N3429:0012401",1,0,0,0,0,,,,"toni",,
"11N3429:0012402",1,0,0,0,0,,,,"toni",,
"11N3429:0012405",1,0,0,0,0,,,,"toni",,
"11N3429:0012406",1,0,0,0,0,,,,"toni",,
"11N3429:0012407",1,0,0,0,0,,,,"toni",,
"11N3429:0012408",1,0,0,0,0,,,,"toni",,
"11N3429:0012409",1,0,0,0,0,,,,"toni",,
"11N3429:0012410",1,0,0,0,0,,,,"toni",,
"11N3429:0012411",1,0,0,0,0,,,,"toni",,
"11N3430:0012501",0,1,1,1,"shorter_by_1ft",,,,"toni",,
"11N3430:0012504",0,1,1,1,0,,,,"toni",,
"11N3430:0012511",1,0,0,0,"shorter_by_2ft",,,,"toni",,
"11N3430:0012506",1,0,0,0,0,,,,"toni",,
"11N3430:0012507",1,0,0,0,0,,,,"toni",,
"11N3430:0012508",1,0,0,0,0,,,,"toni",,
"11N3430:0012509",1,0,0,0,0,,,,"toni",,
"11N3431:0012601",1,0,0,0,0,,,,"toni",,
"11N3431:0012602",1,0,0,0,0,,,,"toni",,
"11N3431:0012603",1,0,0,0,0,,,,"toni",,
"11N3431:0012604",1,0,0,0,0,,,,"toni",,
"11N3431:0012605",1,0,0,0,0,,,,"toni",,
