plantID,datetime,kicked down for light,dead,sacrificed,too slow to cross,observer,plant_fate
11N1395:0012001,01/29/2012 0:00:00,0,0,0,1,amy,
11N1395:0012003,01/29/2012 9:19:39,0,0,0,1,amy,
11N1395:0012004,01/29/2012 9:19:42,0,0,0,1,amy,
11N3218:0012110,01/29/2012 9:24:48,0,0,0,1,amy,
11N3255:0013001,01/29/2012 9:49:40,0,0,0,1,amy,
11N3255:0013001,01/29/2012 17:00:00,0,1,0,0,toni,
11N3255:0013004,01/29/2012 9:49:43,0,0,0,1,amy,
11N3255:0013004,01/29/2012 17:00:00,0,1,0,0,toni,
11N3257:0013504,01/29/2012 10:08:11,0,0,0,1,amy,
11N3430:0012508,01/29/2012 9:33:48,0,0,0,1,amy,
11N3430:0012511,01/29/2012 9:33:46,0,0,0,1,amy,
11N3433:0012805,01/29/2012 9:42:53,0,0,0,1,amy,
11N3433:0012811,01/29/2012 9:42:55,0,0,0,1,amy,
11N3433:0012812,01/29/2012 9:42:58,0,0,0,1,amy,
11N3437:0013302,01/29/2012 9:59:52,0,1,0,0,amy,
11N3437:0013302,01/29/2012 17:00:00,0,1,0,0,toni,
11N3437:0013304,01/29/2012 9:59:55,0,1,0,0,amy,
11N3439:0013601,01/29/2012 10:14:16,0,1,0,0,amy,
11N3439:0013601,01/29/2012 17:00:00,0,1,0,0,toni,
11N3439:0013602,01/29/2012 10:14:10,0,1,0,0,amy,
11N3439:0013602,01/29/2012 17:00:00,0,1,0,0,toni,
11N3439:0013603,01/29/2012 10:14:14,0,1,0,0,amy,
11N3439:0013603,01/29/2012 17:00:00,0,1,0,0,toni,
