plantID,kicked down for light,sacrificed,dead,too slow to cross,observer,datetime,plant_fate
11N3115:0025706,0,0,0,1,amy,01/31/2012 10:56:36,
11N3497:0025606,0,0,0,1,amy,01/31/2012 10:56:50,
11N3214:0014410,0,0,0,1,amy,01/31/2012 11:16:21,
11N3448:0015804,0,0,0,1,amy,01/31/2012 11:57:10,
11N3189:0016805,0,0,1,0,amy,01/31/2012 12:59:33,
11N3189:0016810,0,0,1,0,amy,01/31/2012 12:59:37,
11N3270:0018013,0,0,1,0,amy,01/31/2012 13:16:17,
11N3270:0018006,0,0,1,0,amy,01/31/2012 13:16:19,
11N3270:0018007,0,0,1,0,amy,01/31/2012 13:16:22,
11N3242:0018803,0,0,1,0,amy,01/31/2012 13:22:59,
11N3242:0018804,0,0,1,0,amy,01/31/2012 13:23:04,
11N3210:0019907,1,0,0,0,amy,01/31/2012 14:02:41,
11N3297:0020202,0,0,1,0,amy,01/31/2012 14:09:04,
11N3297:0020208,0,0,1,0,amy,01/31/2012 14:09:07,
11N3297:0020210,0,0,1,0,amy,01/31/2012 14:09:10,
