sample num,plantID,image num,leaf,camera,observer,datetime,microscopy_sample
e01071,13R405:M0002002,0018,e3,aleph,avi,07/31/2013 17:24:41,
e01069,13R205:S0002203,0016,e5,aleph,avi,07/31/2013 17:19:18,
e01067,13R305:W0002401,0014,e3,aleph,avi,07/31/2013 17:12:46,
e01076,13R305:W0002402,0023,e3,aleph,avi,07/31/2013 17:39:09,
e01068,13R405:M0002504,0015,e4,aleph,avi,07/31/2013 17:15:43,
e01075,13R504:B0002803,0022,e2,aleph,avi,07/31/2013 17:36:28,
e01078,13R504:B0003203,0025,e3,aleph,avi,07/31/2013 17:43:01,
e01073,13R4073:0003701,0020,e2,aleph,avi,07/31/2013 17:30:28,
e01072,13R3556:0003805,0019,e3,aleph,avi,07/31/2013 17:27:40,
e01070,13R3556:0003807,0017,e4,aleph,avi,07/31/2013 17:21:57,
e01080,13R3908:0003901,0027,e4,aleph,avi,07/31/2013 17:48:56,
e01066,13R4074:0004005,0013,e-1,aleph,avi,07/31/2013 17:10:02,
e01074,13R4074:0004009,0021,e-1,aleph,avi,07/31/2013 17:33:46,
e01065,13R4075:0004103,0012,e-2,aleph,avi,07/31/2013 17:06:29,
e01079,13R4075:0004110,0026,e-2,aleph,avi,07/31/2013 17:45:21,
e01056,13R4076:0004201,0003,e-3,aleph,toni,07/31/2013 0:00:00,
e01064,13R4076:0004202,0011,e-1,aleph,avi,07/31/2013 17:02:22,
e01060,13R3561:0004301,0007,e0,aleph,avi,07/31/2013 16:43:14,
e01061,13R3561:0004301,0008,e-5,aleph,avi,07/31/2013 16:49:36,
e01057,13R3915:0004401,0004,e1,aleph,toni,07/31/2013 16:27:13,
e01062,13R4077:0004501,0009,e-1,aleph,avi,07/31/2013 16:53:26,
e01063,13R4077:0004504,0010,e0,aleph,avi,07/31/2013 16:57:17,
e01101,13R4078:0004601,0048,e-2,aleph,avi,08/01/2013 10:26:26,
e01108,13R4078:0004602,0054,e-2,aleph,avi,08/01/2013 10:36:13,
e01099,13R4078:0004605,0046,e-1,aleph,avi,08/01/2013 10:21:08,
e01109,13R4078:0004605,0055,e-4,aleph,avi,08/01/2013 10:37:37,
e01059,13R4078:0004606,0006,e-2,aleph,avi,07/31/2013 16:36:31,
e01058,13R1012:0004701,0005,e2,aleph,avi,07/31/2013 16:31:37,
e01077,13R1012:0004701,0024,e-2,aleph,avi,07/31/2013 17:41:12,
e01103,13R4079:0004902,0050,e-1,aleph,avi,08/01/2013 10:30:06,
e01098,13R4080:0005004,0045,e-3,aleph,avi,08/01/2013 10:18:17,
e01104,13R4080:0005014,0051,e-3,aleph,avi,08/01/2013 10:31:40,
e01107,13R3571:0005101,0044,e-3,aleph,avi,08/01/2013 10:15:19,
e01111,13R4081:0005403,0057,e0,aleph,avi,08/01/2013 10:40:30,
e01095,13R4081:0005413,0042,e0,aleph,avi,08/01/2013 10:09:32,
e01110,13R4081:0005414,0056,e-3,aleph,avi,08/01/2013 10:39:03,
e01083,13R4082:0005502,0030,e0,aleph,avi,08/01/2013 9:27:31,
e01081,13R4083:0005601,0028,e0,aleph,avi,08/01/2013 9:19:11,
e01096,13R4083:0005606,0043,e0,aleph,avi,08/01/2013 10:12:10,
e01092,13R3584:0005713,0039,e0,aleph,avi,08/01/2013 9:55:52,
e01093,13R4084:0005813,0040,e0,aleph,avi,08/01/2013 9:58:41,
e01100,13R4084:0005814,0047,e0,aleph,avi,08/01/2013 10:23:44,
e01090,13R3946:0005903,0037,e1,aleph,avi,08/01/2013 9:50:08,
