ma plantID,pa plantID,sleeve,fuzzy_cl,num_cl,observer,datetime,inventory
06R200:S0I10001,06R0030:0003007,v00,fuzzy_cl,7,derek,01/15/2014 8:53:58,
06R200:S0I10003,06R0100:0010002,v00,he,,derek,01/15/2014 8:53:58,
06R200:S0I10008,06R0097:0009709,v00,qe,,derek,01/15/2014 8:53:58,
06R200:S0I10010,06R0031:0003102,v00,qe,,derek,01/15/2014 8:53:58,
06R200:S0I10011,06R0031:0003103,v00,ee,,derek,01/15/2014 8:53:58,
06R200:S0I10014,06R0032:0003204,v00,he,,derek,01/15/2014 8:53:58,
06R200:S0I10016,06R0032:0003206,v00,qe,,derek,01/15/2014 8:53:58,
06R200:S0I10017,06R0090:0009006,v00,fuzzy_cl,15,derek,01/15/2014 8:53:58,
06R200:S0I10103,06R0032:0003208,v00,qe,,derek,01/15/2014 8:53:58,
06R200:S0I10110,06R0091:0009113,v00,qe,,derek,01/15/2014 8:53:58,
06R200:S0I10114,06R0033:0003308,v00,qe,,derek,01/15/2014 8:53:58,
06R200:S0I10202,06R0090:0009001,v00,fuzzy_cl,12,derek,01/15/2014 8:53:58,
06R200:S0I10203,06R0087:0008709,v00,fuzzy_cl,31,derek,01/15/2014 8:53:58,
06R200:S0I10206,06R0035:0003506,v00,he,,derek,01/15/2014 8:53:58,
06R200:S0I10214,06R0075:0007501,v00,ee,,derek,01/15/2014 8:53:58,
06R200:S00I2516,06R0076:0007609,v00,he,,derek,01/15/2014 8:53:58,
06R200:S00I5615,06R0062:0006206,v00007,he,,derek,01/17/2014 10:42:10,
06R200:S00I5911,06R0078:0007801,v00007,fuzzy_cl,22,derek,01/17/2014 10:42:10,
06R200:S00I6309,06R0112:0011208,v00007,ee,,derek,01/17/2014 10:42:10,
06R200:S00I6312,06R0112:0011208,v00007,ee,,derek,01/17/2014 10:42:10,
06R200:S00I6602,06R0076:0007616,v00007,fuzzy_cl,17,derek,01/17/2014 10:42:10,
06R200:S00I6614,06R0003:0000304,v00007,ee,,derek,01/17/2014 10:42:10,
06R200:S00I6615,06R0085:0008510,v00007,ee,,derek,01/17/2014 10:42:10,
06R200:S00I6804,06R0103:0010307,v00007,qe,,derek,01/17/2014 10:42:10,
06R200:S00I6810,06R0054:0005404,v00007,ee,,derek,01/17/2014 10:42:10,
