Sample no.,image no,observer,source,filter,power,exposure (ms),microscopy
e01112,471,derek,bright,2,10x,250,
e01112,472,derek,uv,2,10x,167,
e01112,473,derek,uv,2,10x,250,
e01112,474,derek,uv,2,10x,333,
e01112,475,derek,uv,4,10x,333,
e01112,476,derek,uv,4,10x,250,
e01112,477,derek,uv,4,10x,167,
e01112,284,derek,bright,2,10x,250,
e01112,478,derek,bright,2,10x,2,
e01112,479,derek,uv,2,10x,167,
e01112,480,derek,uv,2,10x,250,
e01112,481,derek,uv,2,10x,333,
e01112,482,derek,uv,4,10x,333,
e01112,483,derek,uv,4,10x,250,
e01112,484,derek,uv,4,10x,167,
e01112,485,derek,bright,2,10x,2,
e01112,486,derek,uv,2,10x,167,
e01112,487,derek,uv,2,10x,250,
e01112,488,derek,uv,2,10x,333,
e01112,489,derek,uv,4,10x,333,
e01112,490,derek,uv,4,10x,250,
e01112,491,derek,uv,4,10x,167,
e01112,485,derek,bright,2,10x,2,
e01112,486,derek,uv,2,10x,167,
e01112,487,derek,uv,2,10x,250,
e01112,488,derek,uv,2,10x,333,
e01112,489,derek,uv,4,10x,333,
e01112,490,derek,uv,4,10x,250,
e01112,491,derek,uv,4,10x,167,
e01114,492,derek,bright,2,10x,2,
e01114,493,derek,uv,2,10x,167,
e01114,494,derek,uv,2,10x,250,
e01114,495,derek,uv,2,10x,333,
e01114,496,derek,uv,4,10x,333,
e01114,497,derek,uv,4,10x,250,
e01114,498,derek,uv,4,10x,167,
e01114,499,derek,bright,2,10x,2,
e01114,500,derek,uv,2,10x,167,
e01114,501,derek,uv,2,10x,250,
e01114,502,derek,uv,2,10x,333,
e01114,503,derek,uv,4,10x,333,
e01114,504,derek,uv,4,10x,250,
e01114,505,derek,uv,4,10x,167,
e01114,506,derek,bright,2,10x,2,
e01114,507,derek,uv,2,10x,167,
e01114,508,,,,,,
e01114,509,derek,uv,2,10x,250,
e01114,510,derek,uv,2,10x,333,
e01114,511,derek,uv,4,10x,333,
e01114,512,derek,uv,4,10x,250,
e01114,513,derek,uv,4,10x,167,
e01114,514,derek,bright,2,10x,2,
e01114,515,derek,uv,2,10x,167,
e01114,516,derek,uv,2,10x,250,
e01114,517,derek,uv,2,10x,333,
e01114,518,derek,uv,4,10x,333,
e01114,519,derek,uv,4,10x,250,
e01114,520,derek,uv,4,10x,167,
e01114,521,derek,bright,2,10x,2,
e01114,522,derek,uv,2,10x,167,
e01114,523,derek,uv,2,10x,250,
e01114,524,derek,uv,2,10x,333,
e01114,525,derek,uv,4,10x,333,
e01114,526,derek,uv,4,10x,250,
e01114,527,derek,uv,4,10x,167,
e01114,528,derek,bright,2,10x,2,
e01114,529,derek,uv,2,10x,167,
e01114,530,derek,uv,2,10x,250,
e01114,531,derek,uv,2,10x,333,
e01114,532,derek,uv,4,10x,333,
e01114,533,derek,uv,4,10x,250,
e01114,534,derek,uv,4,10x,167,
e01114,535,derek,bright,2,10x,2,
e01114,536,derek,uv,2,10x,167,
e01114,537,derek,uv,2,10x,250,
e01114,538,derek,uv,2,10x,333,
e01114,539,derek,uv,4,10x,333,
e01114,540,derek,uv,4,10x,250,
e01114,541,derek,uv,4,10x,167,
e01114,542,derek,bright,2,10x,2,
e01114,543,derek,uv,2,10x,167,
e01114,544,derek,uv,2,10x,250,
e01114,545,derek,uv,2,10x,333,
e01114,546,derek,uv,4,10x,333,
e01114,547,derek,uv,4,10x,250,
e01114,548,derek,uv,4,10x,167,
e01114,549,derek,bright,2,10x,2,
e01114,550,derek,uv,2,10x,167,
e01114,551,derek,uv,2,10x,250,
e01114,552,derek,uv,2,10x,333,
e01114,553,derek,uv,4,10x,333,
e01114,554,derek,uv,4,10x,250,
e01114,555,derek,uv,4,10x,167,
e01121,556,derek,bright,2,10x,2,
e01121,557,derek,uv,2,10x,167,
e01121,558,derek,uv,2,10x,250,
e01121,559,derek,uv,2,10x,333,
e01121,560,derek,uv,4,10x,333,
e01121,561,derek,uv,4,10x,250,
e01121,562,derek,uv,4,10x,167,
e01121,563,derek,bright,2,10x,2,
e01121,564,derek,uv,2,10x,167,
e01121,565,derek,uv,2,10x,250,
e01121,566,derek,uv,2,10x,333,
e01121,567,derek,uv,4,10x,333,
e01121,568,derek,uv,4,10x,250,
e01121,569,derek,uv,4,10x,167,
e01121,570,derek,bright,2,10x,2,
e01121,571,derek,uv,2,10x,167,
e01121,572,derek,uv,2,10x,250,
e01121,573,derek,uv,2,10x,333,
