Sleeves no.,Start,End,Observer,Date time,,,,,
v00230,14R4074:0006601,14R3571:0008618,linh,02/02/15 17:41:00,,,,,
v00231,14R4226:0009003,14R3590:0010207,linh,02/02/15 17:42:00,,,,,
v00232,14R4195:0010302,14R4260:0011120,linh,02/02/15 17:43:00,,,,,
v00233,14R3962:0011203,14R4089:0011612,linh,02/02/15 17:44:00,,,,,
v00234,14R4090:0011701,14R4092:0012212,linh,02/02/15 17:44:00,,,,,
v00235,14R3616:0012302,14R4000:0012914,linh,02/02/15 17:45:00,,,,,
v00236,14R4002:0013002,14R4097:0013712,linh,02/02/15 17:46:00,,,,,
v00237,14R4098:0013808,14R4100:0014217,linh,02/02/15 17:46:00,,,,,
v00238,14R3647:0014302,14R3656:0014819,linh,02/02/15 17:47:00,,,,,
v00239,14R4269:0015001,14R1666:0015706,linh,02/02/15 18:06:00,,,,,
v00240,14R1898:0015805,14R4201:0016413,linh,02/02/15 18:06:00,,,,,
v00241,14R0193:0027903,14R0193:0027915,linh,02/02/15 18:07:00,,,,,
v00242,14R205:S0000101,14R205:S0000316,linh,02/02/15 18:08:00,,,,,
v00243,14R205:S0000401,14R205:S0003614,linh,02/02/15 18:09:00,,,,,
v00244,14R305:W0000701,14R305:W0000814,linh,02/02/15 18:09:00,,,,,
v00245,14R305:W0000901,14R305:W0001016,linh,02/02/15 18:10:00,,,,,
v00246,14R305:W0002901,14R405:M0001310,linh,02/02/15 18:11:00,,,,,
v00247,14R405:M0001311,14R405:M0001705,linh,02/02/15 18:11:00,,,,,
v00248,14R405:M0001706,14R505:B0002019,linh,02/02/15 18:12:00,,,,,
v00249,14R505:B0002102,14R505:B0002518,linh,02/02/15 18:12:00,,,,,
