ma plantID,pa plantID,sleeve,fuzzy_cl,num_cl,observer,datetime,inventory
14R405:M0003304,14R4285:0021608,,qe,,linh,10/30/2014 10:46:05,
14R405:M0003305,14R4302:0024808,,qe,,linh,10/30/2014 10:46:05,
14R405:M0003306,14R4285:0021608,,xe,,linh,10/30/2014 10:46:05,
14R505:B0002417,14R4074:0006611,,fuzzy_cl,0,avi,10/30/2014 10:58:03,V/p dip flicked off worm ear with knife
14R405:M0003405,14R4285:0021608,,ee,,linh,10/30/2014 10:46:05,
14R205:S0002812,14R4236:0017206,,xe,,avi,10/30/2014 10:46:05,
14R405:M0003903,14R4162:0022908,,ee,,linh,10/30/2014 10:46:05,
14R405:M0003904,14R2507:0022406,,xe,,linh,10/30/2014 10:46:05,
14R205:S0003614,14R4209:0005425,,fuzzy_cl,3,avi,10/30/2014 10:46:05,
14R205:S0003509,14R4209:0005425,,fuzzy_cl,0,avi,10/30/2014 10:46:05,
14R405:M0003906,14R4162:0022908,,fuzzy_cl,10,linh,10/30/2014 10:46:05,can't
14R205:S0002616,14R4190:0027607,,fuzzy_cl,1,avi,10/30/2014 10:46:05,V/p
14R205:S0002609,14R4236:0017206,,fuzzy_cl,0,linh,10/30/2014 10:46:05,
14R205:S0002703,14R4236:0017206,,xe,,avi,10/30/2014 10:46:05,
14R205:S0000504,14R3722:0026809,,he,,avi,10/30/2014 10:46:05,
14R205:S0000505,14R4291:0022711,,tqe,,avi,10/30/2014 10:46:05,
14R205:S0000506,14R3722:0026809,,tqe,,avi,10/30/2014 10:46:05,
14R205:S0000508,14R4287:0022003,,tqe,,avi,10/30/2014 10:46:05,
14R205:S0000305,14R4209:0005418,,we,,linh,10/30/2014 10:46:05,
14R205:S0000507,14R4209:0005425,,tqe,,avi,10/30/2014 10:46:05,
14R205:S0000514,14R4289:0022506,,tqe,,avi,10/30/2014 10:46:05,
14R205:S0000304,14R4160:0022114,,fuzzy_cl,0,linh,10/30/2014 10:46:05,
14R205:S0000509,14R4144:0019805,,he,,avi,10/30/2014 10:46:05,"Clean more,"
14R205:S0000303,14R4287:0022003,,ee,,linh,10/30/2014 10:46:05,
14R205:S0000516,14R4309:0026303,,fuzzy_cl,33,avi,10/30/2014 10:46:05,
14R205:S0000302,14R4253:0019009,,tqe,,linh,10/30/2014 10:46:05,
14R205:S0000512,1443090026303,,fuzzy_cl,0,avi,10/30/2014 10:46:05,
14R205:S0000308,14R4126:0017703,,qe,,linh,10/30/2014 10:46:05,
confusion pile,14R4309:0026310,,xe,,avi,10/30/2014 10:46:05,
14R205:S0000307,14R4160:0022114,,tqe,,linh,10/30/2014 10:46:05,
14R205:S0000401,14R4159:0021808,,tqe,,avi,10/30/2014 11:44:31,
14R205:S0000312,14R4209:0005418,,ee,,linh,10/30/2014 11:44:31,Ls
14R205:S0000402,14R4159:0021808,,qe,,avi,10/30/2014 11:44:31,
14R205:S0000309,14R4209:0005418,,xe,,linh,10/30/2014 11:44:31,Ls
14R205:S0000407,14R4303:0024902,,tqe,,avi,10/30/2014 11:44:31,
14R205:S0000404,14R4144:0019803,,he,,avi,10/30/2014 11:44:31,
14R205:S0000310,14R4289:0022506,,tqe,,linh,10/30/2014 11:44:31,
14R205:S0000408,14R4301:0024708,,he,,avi,10/30/2014 11:44:31,Disc 5 from side cl here
14R205:S0000313,14R4205:0017703,,we,,linh,10/30/2014 11:44:31,
14R205:S0000410,14R4291:0022711,,he,,avi,10/30/2014 11:44:31,
14R205:S0000406,14R4303:0024902,,tqe,,avi,10/30/2014 11:44:31,
14R205:S0000314,14R4253:0019009,,tqe,,linh,10/30/2014 11:44:31,
14R205:S0000405,14R4303:0024904,,tqe,,avi,10/30/2014 11:44:31,
14R205:S0000311,14R4126:0017703,,tqe,,linh,10/30/2014 11:44:31,
14R205:S0000403,14R4303:0024904,,he,,avi,10/30/2014 11:44:31,
14R205:S0000316,14R4289:0022506,,we,,linh,10/30/2014 11:44:31,
14R205:S0000409,14R4301:0024703,,he,,avi,10/30/2014 11:44:31,
14R205:S0000415,14R4291:0022711,,tqe,,avi,10/30/2014 11:44:31,
14R205:S0000602,14R4160:0022114,,qe,,linh,10/30/2014 11:44:31,
