ma plantID,pa plantID,datetime,observer,inbred_pool
13R504:B0002702,13R504:B0002702,06/06/2014 14:06:43,avi,
13R504:B0002707,13R504:B0002707,06/06/2014 14:06:43,avi,
13R504:B0002708,13R504:B0002708,06/06/2014 14:06:43,avi,
13R504:B0002709,13R504:B0002709,06/06/2014 14:06:43,avi,
13R504:B0002710,13R504:B0002710,06/06/2014 14:06:43,avi,
13R504:B0002711,13R504:B0002711,06/06/2014 14:06:43,avi,
13R504:B0002712,13R504:B0002712,06/06/2014 14:06:43,avi,
13R504:B0002713,13R504:B0002713,06/06/2014 14:06:43,avi,
13R504:B0002802,13R504:B0002802,06/06/2014 14:06:43,avi,
13R504:B0002804,13R504:B0002804,06/06/2014 14:06:43,avi,
13R504:B0002901,13R504:B0002901,06/06/2014 14:06:43,avi,
13R504:B0002902,13R504:B0002902,06/06/2014 14:06:43,avi,
13R504:B0002904,13R504:B0002904,06/06/2014 14:06:43,avi,
13R504:B0002905,13R504:B0002905,06/06/2014 14:06:43,avi,
13R504:B0002906,13R504:B0002906,06/06/2014 14:06:43,avi,
13R504:B0002907,13R504:B0002907,06/06/2014 14:06:43,avi,
13R504:B0002908,13R504:B0002908,06/06/2014 14:06:43,avi,
13R504:B0002910,13R504:B0002910,06/06/2014 14:06:43,avi,
13R504:B0002911,13R504:B0002911,06/06/2014 14:06:43,avi,
13R504:B0002917,13R504:B0002917,06/06/2014 14:06:43,avi,
