Ma,Pa,Observer,Date time,
13R504:B0002702,13R504:B0002702,avi,06/06/2014 14:06:43,
13R504:B0002707,13R504:B0002707,avi,06/06/2014 14:06:43,
13R504:B0002708,13R504:B0002708,avi,06/06/2014 14:06:43,
13R504:B0002709,13R504:B0002709,avi,06/06/2014 14:06:43,
13R504:B0002710,13R504:B0002710,avi,06/06/2014 14:06:43,
13R504:B0002711,13R504:B0002711,avi,06/06/2014 14:06:43,
13R504:B0002712,13R504:B0002712,avi,06/06/2014 14:06:43,
13R504:B0002713,13R504:B0002713,avi,06/06/2014 14:06:43,
13R504:B0002802,13R504:B0002802,avi,06/06/2014 14:06:43,
13R504:B0002804,13R504:B0002804,avi,06/06/2014 14:06:43,
13R504:B0002901,13R504:B0002901,avi,06/06/2014 14:06:43,
13R504:B0002902,13R504:B0002902,avi,06/06/2014 14:06:43,
13R504:B0002904,13R504:B0002904,avi,06/06/2014 14:06:43,
13R504:B0002905,13R504:B0002905,avi,06/06/2014 14:06:43,
13R504:B0002906,13R504:B0002906,avi,06/06/2014 14:06:43,
13R504:B0002907,13R504:B0002907,avi,06/06/2014 14:06:43,
13R504:B0002908,13R504:B0002908,avi,06/06/2014 14:06:43,
13R504:B0002910,13R504:B0002910,avi,06/06/2014 14:06:43,
13R504:B0002911,13R504:B0002911,avi,06/06/2014 14:06:43,
13R504:B0002917,13R504:B0002917,avi,06/06/2014 14:06:43,
