,tassel_bagged,popped_tassel,cut_tassel,ear1_cut,ear2_cut,observer,,cross_prep
15R3877:0005004,1,0,0,0,0,toni,08/25/2015 0:00:00,
15R3878:0005215,1,0,0,0,0,toni,08/25/2015 0:00:00,
15R3321:0020202,1,0,0,0,0,toni,08/25/2015 0:00:00,
15R0667:0021109,1,0,0,0,0,toni,08/25/2015 0:00:00,
15R0669:0021307,1,0,0,0,0,toni,08/25/2015 0:00:00,
15R0670:0021405,1,0,0,0,0,toni,08/25/2015 0:00:00,
15R0670:0021406,1,0,0,0,0,toni,08/25/2015 0:00:00,
15R4334:0005405,1,0,0,0,0,toni,08/24/2015 17:06:44,
15R4217:0005808,1,0,0,0,0,toni,08/24/2015 17:08:43,
15R4217:0005818,1,0,0,0,0,toni,08/24/2015 17:10:26,
15R0685:0009103,1,0,0,0,0,toni,08/24/2015 17:12:41,
15R0685:0009107,1,0,0,0,0,toni,08/24/2015 17:12:45,
15R0685:0009108,1,0,0,0,0,toni,08/24/2015 17:12:49,
15R4289:0013205,1,0,0,0,0,toni,08/24/2015 17:18:08,
15R4289:0013207,1,0,0,0,0,toni,08/24/2015 17:18:56,
15R0686:0015302,1,0,0,0,0,toni,08/24/2015 17:22:40,
15R0686:0015307,1,0,0,0,0,toni,08/24/2015 17:22:43,
15R1129:0015401,1,0,0,0,0,toni,08/24/2015 17:24:06,
15R0669:0021311,1,0,0,0,0,toni,08/24/2015 17:28:02,
15R0671:0021508,1,0,0,0,0,toni,08/24/2015 17:30:21,
15R0672:0021602,1,0,0,0,0,toni,08/24/2015 17:31:39,
15R0675:0021910,1,0,0,0,0,toni,08/24/2015 17:33:21,
15R205:S0002511,0,0,0,1,0,toni,08/24/2015 17:00:00,
15R205:S0002601,0,0,0,1,0,toni,08/24/2015 9:00:00,
15R205:S0002603,0,0,0,1,0,toni,08/24/2015 9:00:00,
15R205:S0002604,0,0,0,1,0,toni,08/24/2015 9:00:00,
15R305:W0003016,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R305:W0003203,0,0,0,1,0,toni,08/24/2015 17:00:00,
15R405:M0003502,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003505,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003507,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003508,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003509,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003510,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003605,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003609,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003612,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003616,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003619,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003701,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003705,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003708,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003801,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003804,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003806,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003809,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003814,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003815,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003902,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003903,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003904,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003914,0,0,0,1,0,toni,08/23/2015 16:00:00,
