plantID,sample num,observer,datetime,tissue_collectn
15R4331:0004904,e02788,toni,08/24/2015 9:19:03,
15R4217:0005808,e02789,toni,08/24/2015 9:19:03,
15R0685:0009101,e02790,toni,08/24/2015 9:19:03,
15R0685:0009102,e02791,toni,08/24/2015 9:19:03,
15R0685:0009103,e02792,toni,08/24/2015 9:19:03,
15R0685:0009104,e02793,toni,08/24/2015 9:19:03,
15R0685:0009105,e02794,toni,08/24/2015 9:19:03,
15R0685:0009106,e02795,toni,08/24/2015 9:19:03,
15R0685:0009107,e02796,toni,08/24/2015 9:19:03,
15R0685:0009108,e02797,toni,08/24/2015 9:19:03,
15R4352:0010904,e02798,toni,08/24/2015 9:19:03,
15R4355:0011404,e02799,toni,08/24/2015 9:19:03,
15R4277:0011501,e02800,toni,08/24/2015 9:19:03,
15R4277:0011512,e02901,toni,08/24/2015 9:19:03,
15R4359:0012507,e02902,toni,08/24/2015 9:19:03,
15R4359:0012512,e02903,toni,08/24/2015 9:19:03,
15R3999:0013102,e02904,toni,08/24/2015 9:19:03,
15R4011:0013808,e02905,toni,08/24/2015 9:19:03,
15R4398:0013902,e02906,toni,08/24/2015 9:19:03,
15R4170:0014311,e02907,toni,08/24/2015 9:19:03,
15R0686:0015302,e02908,toni,08/24/2015 9:19:03,
15R0686:0015307,e02909,toni,08/24/2015 9:19:03,
15R4403:0015507,e02910,toni,08/24/2015 9:19:03,
15R0686:0015301,e02911,toni,08/24/2015 9:19:03,
15R0686:0015303,e02912,toni,08/24/2015 9:19:03,
15R0686:0015304,e02913,toni,08/24/2015 9:19:03,
15R0686:0015305,e02914,toni,08/24/2015 9:19:03,
15R0686:0015306,e02915,toni,08/24/2015 9:19:03,
15R1129:0015401,e02916,toni,08/24/2015 9:19:03,
15R1129:0015402,e02917,toni,08/24/2015 9:19:03,
15R1129:0015404,e02918,toni,08/24/2015 9:19:03,
15R1129:0015405,e02919,toni,08/24/2015 9:19:03,
15R1129:0015406,e02920,toni,08/24/2015 9:19:03,
15R1129:0015409,e02921,toni,08/24/2015 9:19:03,
15R1129:0015410,e02922,toni,08/24/2015 9:19:03,
15R4403:0015501,e02923,toni,08/24/2015 9:19:03,
15R4403:0015502,e02924,toni,08/24/2015 9:19:03,
15R4403:0015503,e02925,toni,08/24/2015 9:19:03,
15R4403:0015504,e02926,toni,08/24/2015 9:19:03,
15R4403:0015505,e02927,toni,08/24/2015 9:19:03,
15R4403:0015506,e02928,toni,08/24/2015 9:19:03,
15R4404:0015602,e02929,toni,08/24/2015 9:19:03,
15R4404:0015603,e02930,toni,08/24/2015 9:19:03,
15R4404:0015604,e02931,toni,08/24/2015 9:19:03,
15R4404:0015605,e02932,toni,08/24/2015 9:19:03,
15R4404:0015606,e02933,toni,08/24/2015 9:19:03,
15R4404:0015607,e02934,toni,08/24/2015 9:19:03,
15R4404:0015608,e02935,toni,08/24/2015 9:19:03,
15R3297:0015701,e02936,toni,08/24/2015 9:19:03,
15R3297:0015702,e02937,toni,08/24/2015 9:19:03,
15R4043:0015802,e02938,toni,08/23/2015 10:10:31,
15R4043:0015803,e02939,toni,08/23/2015 10:10:31,
15R4043:0015804,e02940,toni,08/23/2015 10:10:31,
15R4043:0015805,e02941,toni,08/23/2015 10:10:31,
15R4043:0015806,e02942,toni,08/23/2015 10:10:31,
15R2930:0015901,e02943,toni,08/23/2015 10:10:31,
15R2930:0015902,e02944,toni,08/23/2015 10:10:31,
15R2930:0015906,e02945,toni,08/23/2015 10:10:31,
15R2930:0015907,e02946,toni,08/23/2015 10:10:31,
15R4044:0016001,e02947,toni,08/23/2015 10:10:31,
15R4044:0016002,e02948,toni,08/23/2015 10:10:31,
15R4044:0016005,e02949,toni,08/23/2015 10:10:31,
15R4044:0016006,e02950,toni,08/23/2015 10:10:31,
15R4044:0016007,e02951,toni,08/23/2015 10:10:31,
