plantID,tassel_bagged,popped_tassel,cut_tassel,ear1_cut,ear2_cut,observer,,cross_prep
15R0685:0009103,1,0,0,0,0,toni,08/25/2015 19:03:38,
15R0685:0009108,1,0,0,0,0,toni,08/25/2015 19:05:39,
15R4247:0009302,1,0,0,0,0,toni,08/25/2015 19:07:06,
15R4100:0014408,1,0,0,0,0,toni,08/25/2015 19:09:38,
15R4406:0016801,1,0,0,0,0,toni,08/25/2015 19:10:55,
15R0668:0021201,1,0,0,0,0,toni,08/25/2015 19:12:11,
15R0668:0021202,1,0,0,0,0,toni,08/25/2015 19:12:09,
15R0672:0021602,1,0,0,0,0,toni,08/25/2015 19:15:31,
15R0675:0021907,1,0,0,0,0,toni,08/25/2015 19:17:26,
15R0675:0021910,1,0,0,0,0,toni,08/25/2015 19:17:28,
15R3877:0005004,1,0,0,0,0,toni,08/26/2015 10:00:00,
15R3878:0005215,1,0,0,0,0,toni,08/26/2015 10:00:00,
15R205:S0002205,0,0,0,1,0,toni,08/25/2015 19:30:00,
15R205:S0002207,0,0,0,1,0,toni,08/25/2015 19:30:00,
15R205:S0002211,0,0,0,1,0,toni,08/25/2015 19:30:00,
15R205:S0002506,0,0,0,1,0,toni,08/25/2015 19:30:00,
15R205:S0002602,0,0,0,1,0,toni,08/25/2015 19:30:00,
15R205:S0002605,0,0,0,1,0,toni,08/25/2015 19:30:00,
15R305:W0003203,0,0,0,1,0,toni,08/24/2015 16:00:00,
15R405:M0003701,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003705,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003708,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003801,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003804,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003806,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003809,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003814,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003815,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003902,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003903,0,0,0,1,0,toni,08/23/2015 16:00:00,
15R405:M0003904,1,0,0,0,0,toni,08/23/2015 16:00:00,
15R405:M0003914,1,0,0,0,0,toni,08/23/2015 16:00:00,
