plantID,ht cm,observer,datetime,plant_anatomy
15R3999:0013101,132,toni,08/27/2015 0:00:00,
15R3999:0013102,111,toni,08/27/2015 0:00:00,
15R3999:0013103,137,toni,08/27/2015 0:00:00,
15R3999:0013104,142,toni,08/27/2015 0:00:00,
15R3999:0013105,146,toni,08/27/2015 0:00:00,
15R3999:0013106,207,toni,08/27/2015 0:00:00,
15R3999:0013108,101,toni,08/27/2015 0:00:00,
15R3999:0013107,135,toni,08/27/2015 0:00:00,
15R3999:0013109,197,toni,08/27/2015 0:00:00,
15R3999:0013110,196,toni,08/27/2015 0:00:00,
15R3999:0013111,203,toni,08/27/2015 0:00:00,
15R3999:0013112,202,toni,08/27/2015 0:00:00,
15R3999:0013113,66,toni,08/27/2015 0:00:00,
15R3999:0013114,124,toni,08/27/2015 0:00:00,
15R4289:0013201,137,toni,08/27/2015 0:00:00,
15R4289:0013202,97,toni,08/27/2015 0:00:00,
15R4289:0013203,106,toni,08/27/2015 0:00:00,
15R4289:0013204,101,toni,08/27/2015 0:00:00,
15R4289:0013205,122,toni,08/27/2015 0:00:00,
15R4289:0013206,121,toni,08/27/2015 0:00:00,
15R4289:0013207,132,toni,08/27/2015 0:00:00,
15R4289:0013208,88,toni,08/27/2015 0:00:00,
15R4289:0013209,139,toni,08/27/2015 0:00:00,
15R4289:0013210,68,toni,08/27/2015 0:00:00,
15R4289:0013211,105,toni,08/27/2015 0:00:00,
15R4395:0013301,85,toni,08/27/2015 0:00:00,
15R4395:0013302,120,toni,08/27/2015 0:00:00,
15R4395:0013303,103,toni,08/27/2015 0:00:00,
15R4395:0013305,150,toni,08/27/2015 0:00:00,
15R4395:0013304,77,toni,08/27/2015 0:00:00,
15R4395:0013306,53,toni,08/27/2015 0:00:00,
15R4395:0013307,63,toni,08/27/2015 0:00:00,
15R4395:0013308,148,toni,08/27/2015 0:00:00,
15R4395:0013309,85,toni,08/27/2015 0:00:00,
15R4395:0013310,133,toni,08/27/2015 0:00:00,
15R4395:0013311,147,toni,08/27/2015 0:00:00,
15R4395:0013312,143,toni,08/27/2015 0:00:00,
15R4396:0013501,116,toni,08/27/2015 0:00:00,
15R4396:0013502,142,toni,08/27/2015 0:00:00,
15R4396:0013503,144,toni,08/27/2015 0:00:00,
15R4396:0013504,125,toni,08/27/2015 0:00:00,
15R4396:0013505,87,toni,08/27/2015 0:00:00,
15R4396:0013506,79,toni,08/27/2015 0:00:00,
15R4396:0013507,126,toni,08/27/2015 0:00:00,
15R4396:0013508,70,toni,08/27/2015 0:00:00,
15R4396:0013509,138,toni,08/27/2015 0:00:00,
15R4396:0013510,70,toni,08/27/2015 0:00:00,
15R4396:0013511,145,toni,08/27/2015 0:00:00,
15R4396:0013512,147,toni,08/27/2015 0:00:00,
15R4397:0013601,120,toni,08/27/2015 0:00:00,
15R4397:0013602,64,toni,08/27/2015 0:00:00,
15R4397:0013603,148,toni,08/27/2015 0:00:00,
15R4397:0013604,86,toni,08/27/2015 0:00:00,
15R4397:0013605,141,toni,08/27/2015 0:00:00,
15R4397:0013606,134,toni,08/27/2015 0:00:00,
15R4397:0013607,125,toni,08/27/2015 0:00:00,
15R4397:0013608,91,toni,08/27/2015 0:00:00,
15R4397:0013609,124,toni,08/27/2015 0:00:00,
15R4397:0013610,122,toni,08/27/2015 0:00:00,
15R4397:0013611,85,toni,08/27/2015 0:00:00,
15R4397:0013612,127,toni,08/27/2015 0:00:00,
15R4007:0013701,66,toni,08/27/2015 0:00:00,
15R4007:0013702,49,toni,08/27/2015 0:00:00,
15R4007:0013703,115,toni,08/27/2015 0:00:00,
15R4007:0013704,120,toni,08/27/2015 0:00:00,
15R4007:0013705,29,toni,08/27/2015 0:00:00,
15R4007:0013706,124,toni,08/27/2015 0:00:00,
15R4007:0013707,140,toni,08/27/2015 0:00:00,
15R4007:0013708,45,toni,08/27/2015 0:00:00,
15R4007:0013709,124,toni,08/27/2015 0:00:00,
15R4007:0013710,136,toni,08/27/2015 0:00:00,
15R4007:0013711,146,toni,08/27/2015 0:00:00,
15R4398:0013901,31,toni,08/27/2015 0:00:00,
15R4398:0013902,69,toni,08/27/2015 0:00:00,
15R4398:0013903,133,toni,08/27/2015 0:00:00,
15R4398:0013904,82,toni,08/27/2015 0:00:00,
15R4398:0013905,54,toni,08/27/2015 0:00:00,
15R4398:0013906,77,toni,08/27/2015 0:00:00,
15R4398:0013907,62,toni,08/27/2015 0:00:00,
15R4398:0013908,34,toni,08/27/2015 0:00:00,
15R4398:0013909,154,toni,08/27/2015 0:00:00,
15R4398:0013910,151,toni,08/27/2015 0:00:00,
15R4398:0013911,127,toni,08/27/2015 0:00:00,
15R4290:0014101,149,toni,08/27/2015 0:00:00,
15R4290:0014102,49,toni,08/27/2015 0:00:00,
15R4290:0014103,55,toni,08/27/2015 0:00:00,
15R1129:0015401,66,toni,08/27/2015 0:00:00,
15R1129:0015402,214,toni,08/27/2015 0:00:00,
15R1129:0015403,38,toni,08/27/2015 0:00:00,
15R1129:0015404,224,toni,08/27/2015 0:00:00,
15R1129:0015405,25,toni,08/27/2015 0:00:00,
15R1129:0015406,221,toni,08/27/2015 0:00:00,
15R1129:0015407,26,toni,08/27/2015 0:00:00,
15R1129:0015408,69,toni,08/27/2015 0:00:00,
15R1129:0015409,214,toni,08/27/2015 0:00:00,
15R1129:0015410,228,toni,08/27/2015 0:00:00,
15R4403:0015501,149,toni,08/27/2015 0:00:00,
15R4403:0015502,161,toni,08/27/2015 0:00:00,
15R4403:0015503,173,toni,08/27/2015 0:00:00,
15R4403:0015504,20,toni,08/27/2015 0:00:00,
