plantID,ht cm,datetime,observer,num_leaves,leaf_num_first_ear,num_tillers,plant_anatomy
15R4177:0016101,165,08/28/2015 10:00:00,toni,,,,
15R4177:0016102,193,08/28/2015 10:00:00,toni,,,,
15R4177:0016103,193,08/28/2015 10:00:00,toni,,,,
15R4177:0016104,207,08/28/2015 10:00:00,toni,,,,
15R4177:0016105,194,08/28/2015 10:00:00,toni,,,,
15R4177:0016106,194,08/28/2015 10:00:00,toni,,,,
15R4177:0016107,177,08/28/2015 10:00:00,toni,,,,
15R4177:0016108,66,08/28/2015 10:00:00,toni,,,,
15R4177:0016109,201,08/28/2015 10:00:00,toni,,,,
15R4177:0016110,204,08/28/2015 10:00:00,toni,,,,
15R4177:0016111,161,08/28/2015 10:00:00,toni,,,,
15R4177:0016112,165,08/28/2015 10:00:00,toni,,,,
15R4177:0016113,208,08/28/2015 10:00:00,toni,,,,
15R4177:0016114,173,08/28/2015 10:00:00,toni,,,,
15R4405:0016201,215,08/28/2015 10:00:00,toni,,,,
15R4405:0016202,179,08/28/2015 10:00:00,toni,,,,
15R4405:0016203,186,08/28/2015 10:00:00,toni,,,,
15R4405:0016204,141,08/28/2015 10:00:00,toni,,,,
15R4405:0016205,197,08/28/2015 10:00:00,toni,,,,
15R4405:0016206,151,08/28/2015 10:00:00,toni,,,,
15R4405:0016207,168,08/28/2015 10:00:00,toni,,,,
15R4405:0016208,165,08/28/2015 10:00:00,toni,,,,
15R4405:0016210,189,08/28/2015 10:00:00,toni,,,,
15R4405:0016211,176,08/28/2015 10:00:00,toni,,,,
15R4405:0016212,160,08/28/2015 10:00:00,toni,,,,
15R4405:0016213,156,08/28/2015 10:00:00,toni,,,,
15R3053:0016301,171,08/28/2015 10:00:00,toni,,,,
15R3053:0016302,188,08/28/2015 10:00:00,toni,,,,
15R3053:0016303,201,08/28/2015 10:00:00,toni,,,,
15R3053:0016304,191,08/28/2015 10:00:00,toni,,,,
15R3053:0016305,202,08/28/2015 10:00:00,toni,,,,
15R3053:0016306,201,08/28/2015 10:00:00,toni,,,,
15R3053:0016307,205,08/28/2015 10:00:00,toni,,,,
15R3053:0016308,213,08/28/2015 10:00:00,toni,,,,
15R3053:0016309,191,08/28/2015 10:00:00,toni,,,,
15R3053:0016310,192,08/28/2015 10:00:00,toni,,,,
15R3053:0016311,227,08/28/2015 10:00:00,toni,,,,
15R3053:0016312,198,08/28/2015 10:00:00,toni,,,,
15R3053:0016313,205,08/28/2015 10:00:00,toni,,,,
15R3654:0016401,208,08/28/2015 10:00:00,toni,,,,
15R3654:0016402,195,08/28/2015 10:00:00,toni,,,,
15R3654:0016403,200,08/28/2015 10:00:00,toni,,,,
15R3654:0016404,199,08/28/2015 10:00:00,toni,,,,
15R3654:0016405,201,08/28/2015 10:00:00,toni,,,,
15R3654:0016406,197,08/28/2015 10:00:00,toni,,,,
15R3654:0016407,194,08/28/2015 10:00:00,toni,,,,
15R3654:0016409,206,08/28/2015 10:00:00,toni,,,,
15R3654:0016411,213,08/28/2015 10:00:00,toni,,,,
15R3654:0016410,209,08/28/2015 10:00:00,toni,,,,
15R3654:0016412,191,08/28/2015 10:00:00,toni,,,,
15R3654:0016413,204,08/28/2015 10:00:00,toni,,,,
15R4045:0016501,186,08/28/2015 10:00:00,toni,,,,
15R4045:0016502,188,08/28/2015 10:00:00,toni,,,,
15R4045:0016503,190,08/28/2015 10:00:00,toni,,,,
15R4045:0016504,196,08/28/2015 10:00:00,toni,,,,
15R4045:0016505,187,08/28/2015 10:00:00,toni,,,,
15R4045:0016506,196,08/28/2015 10:00:00,toni,,,,
15R4045:0016507,188,08/28/2015 10:00:00,toni,,,,
15R4183:0017101,135,08/28/2015 10:00:00,toni,,,,
15R4183:0017102,123,08/28/2015 10:00:00,toni,,,,
15R4183:0017103,113,08/28/2015 10:00:00,toni,,,,
15R4183:0017104,139,08/28/2015 10:00:00,toni,,,,
15R4183:0017105,114,08/28/2015 10:00:00,toni,,,,
15R4183:0017106,128,08/28/2015 10:00:00,toni,,,,
15R4183:0017107,134,08/28/2015 10:00:00,toni,,,,
15R4183:0017108,123,08/28/2015 10:00:00,toni,,,,
15R4183:0017109,100,08/28/2015 10:00:00,toni,,,,
15R4183:0017110,124,08/28/2015 10:00:00,toni,,,,
15R4183:0017111,109,08/28/2015 10:00:00,toni,,,,
15R4183:0017112,130,08/28/2015 10:00:00,toni,,,,
15R4183:0017113,134,08/28/2015 10:00:00,toni,,,,
15R4183:0017114,125,08/28/2015 10:00:00,toni,,,,
15R4309:0017201,108,08/28/2015 10:00:00,toni,,,,
15R4309:0017202,128,08/28/2015 10:00:00,toni,,,,
15R4309:0017203,117,08/28/2015 10:00:00,toni,,,,
15R4309:0017204,132,08/28/2015 10:00:00,toni,,,,
15R4309:0017205,150,08/28/2015 10:00:00,toni,,,,
15R4309:0017206,113,08/28/2015 10:00:00,toni,,,,
15R4309:0017207,129,08/28/2015 10:00:00,toni,,,,
15R4309:0017208,122,08/28/2015 10:00:00,toni,,,,
15R4309:0017209,109,08/28/2015 10:00:00,toni,,,,
15R4309:0017210,139,08/28/2015 10:00:00,toni,,,,
15R4309:0017211,143,08/28/2015 10:00:00,toni,,,,
15R4309:0017212,104,08/28/2015 10:00:00,toni,,,,
15R4309:0017213,112,08/28/2015 10:00:00,toni,,,,
15R4309:0017214,125,08/28/2015 10:00:00,toni,,,,
15R4409:0017301,92,08/28/2015 10:00:00,toni,,,,
15R4409:0017302,91,08/28/2015 10:00:00,toni,,,,
15R4409:0017303,118,08/28/2015 10:00:00,toni,,,,
15R4409:0017304,119,08/28/2015 10:00:00,toni,,,,
15R4409:0017305,129,08/28/2015 10:00:00,toni,,,,
15R4409:0017306,118,08/28/2015 10:00:00,toni,,,,
15R4409:0017307,119,08/28/2015 10:00:00,toni,,,,
15R4409:0017308,95,08/28/2015 10:00:00,toni,,,,
15R4366:0020001,102,08/28/2015 10:00:00,toni,,,,
15R4366:0020002,95,08/28/2015 10:00:00,toni,,,,
15R4366:0020003,145,08/28/2015 10:00:00,toni,,,,
15R4366:0020004,150,08/28/2015 10:00:00,toni,,,,
15R4366:0020006,156,08/28/2015 10:00:00,toni,,,,
15R4366:0020005,77,08/28/2015 10:00:00,toni,,,,
15R4366:0020007,137,08/28/2015 10:00:00,toni,,,,
15R4366:0020008,97,08/28/2015 10:00:00,toni,,,,
15R4366:0020009,114,08/28/2015 10:00:00,toni,,,,
15R4366:0020010,92,08/28/2015 10:00:00,toni,,,,
15R4366:0020011,72,08/28/2015 10:00:00,toni,,,,
15R4366:0020012,140,08/28/2015 10:00:00,toni,,,,
15R4417:0020101,57,08/28/2015 10:00:00,toni,,,,
15R4417:0020102,91,08/28/2015 10:00:00,toni,,,,
15R4417:0020103,145,08/28/2015 10:00:00,toni,,,,
15R4417:0020104,125,08/28/2015 10:00:00,toni,,,,
15R4417:0020105,39,08/28/2015 10:00:00,toni,,,,
15R4417:0020106,152,08/28/2015 10:00:00,toni,,,,
15R4417:0020107,145,08/28/2015 10:00:00,toni,,,,
15R4417:0020108,122,08/28/2015 10:00:00,toni,,,,
15R4417:0020109,22,08/28/2015 10:00:00,toni,,,,
15R4417:0020110,140,08/28/2015 10:00:00,toni,,,,
15R3321:0020201,127,08/28/2015 10:00:00,toni,,,,
15R3321:0020202,90,08/28/2015 10:00:00,toni,,,,
15R3321:0020203,138,08/28/2015 10:00:00,toni,,,,
15R3321:0020204,161,08/28/2015 10:00:00,toni,,,,
15R3321:0020205,155,08/28/2015 10:00:00,toni,,,,
15R3321:0020206,136,08/28/2015 10:00:00,toni,,,,
15R3321:0020207,61,08/28/2015 10:00:00,toni,,,,
15R3321:0020208,77,08/28/2015 10:00:00,toni,,,,
15R3321:0020209,122,08/28/2015 10:00:00,toni,,,,
15R4190:0020301,126,08/28/2015 10:00:00,toni,,,,
15R4190:0020302,140,08/28/2015 10:00:00,toni,,,,
15R4190:0020303,25,08/28/2015 10:00:00,toni,,,,
15R4190:0020304,42,08/28/2015 10:00:00,toni,,,,
15R4190:0020306,33,08/28/2015 10:00:00,toni,,,,
15R4190:0020307,140,08/28/2015 10:00:00,toni,,,,
15R4190:0020308,151,08/28/2015 10:00:00,toni,,,,
15R4190:0020309,156,08/28/2015 10:00:00,toni,,,,
15R4190:0020310,148,08/28/2015 10:00:00,toni,,,,
15R4367:0020401,105,08/28/2015 10:00:00,toni,,,,
15R4367:0020402,72,08/28/2015 10:00:00,toni,,,,
15R4367:0020403,162,08/28/2015 10:00:00,toni,,,,
15R4367:0020404,164,08/28/2015 10:00:00,toni,,,,
15R4367:0020405,171,08/28/2015 10:00:00,toni,,,,
15R4367:0020406,184,08/28/2015 10:00:00,toni,,,,
15R4367:0020407,185,08/28/2015 10:00:00,toni,,,,
15R4367:0020408,168,08/28/2015 10:00:00,toni,,,,
15R4367:0020409,74,08/28/2015 10:00:00,toni,,,,
15R4367:0020410,165,08/28/2015 10:00:00,toni,,,,
15R4367:0020411,87,08/28/2015 10:00:00,toni,,,,
15R4368:0020501,187,08/28/2015 10:00:00,toni,,,,
15R4368:0020502,188,08/28/2015 10:00:00,toni,,,,
15R4368:0020503,185,08/28/2015 10:00:00,toni,,,,
15R4368:0020504,192,08/28/2015 10:00:00,toni,,,,
