plantID,postn b0,observer,datetime,leaf_alignmt
15R4328:0004409,t-7,avi,08/26/2015 8:42:02,
15R4329:0004515,t-5,avi,08/26/2015 8:42:02,
15R4330:0004712,t-4,avi,08/26/2015 8:42:02,
15R4207:0004818,t-5,avi,08/26/2015 8:42:02,
15R4331:0004903,t-4,avi,08/26/2015 8:42:02,
15R3877:0005004,t-5,avi,08/26/2015 8:42:02,
15R3877:0005014,t0,avi,08/26/2015 8:42:02,
15R4333:0005303,t-5,avi,08/26/2015 8:42:02,
15R4334:0005405,t-6,avi,08/26/2015 8:42:02,
15R4211:0005503,t-6,avi,08/26/2015 8:42:02,
15R4211:0005517,t-5,avi,08/26/2015 8:42:02,
15R4213:0005602,t-6,avi,08/26/2015 8:42:02,
15R4213:0005604,t-6,avi,08/26/2015 8:42:02,
15R4213:0005618,t-8,avi,08/26/2015 8:42:02,
15R4213:0005620,t-9,avi,08/26/2015 8:42:02,
15R4216:0005711,t-6,avi,08/26/2015 8:42:02,
15R4216:0005713,t-7,avi,08/26/2015 8:42:02,
15R4217:0005804,t-6,avi,08/26/2015 8:42:02,
15R4217:0005816,t-5,avi,08/26/2015 8:42:02,
15R4217:0005818,t-6,avi,08/26/2015 8:42:02,
15R4218:0005908,t-6,avi,08/26/2015 8:42:02,
15R4218:0005911,t-7,avi,08/26/2015 8:42:02,
15R0685:0009103,e1,avi,08/26/2015 8:42:02,
15R0685:0009107,e0,avi,08/26/2015 8:42:02,
15R0685:0009108,e0,avi,08/26/2015 8:42:02,
15R4231:0009207,e0,avi,08/26/2015 8:42:02,
15R4247:0009302,t-7,avi,08/26/2015 8:42:02,
15R4384:0009402,e-4,avi,08/26/2015 8:42:02,
15R4384:0009403,e-4,avi,08/26/2015 8:42:02,
15R4384:0009404,e-4,avi,08/26/2015 8:42:02,
15R4351:0010008,e0,avi,08/26/2015 8:42:02,
15R4354:0011306,t-3,avi,08/26/2015 8:42:02,
15R4355:0011403,t-4,avi,08/26/2015 8:42:02,
15R4277:0011510,t-4,avi,08/26/2015 8:42:02,
15R4359:0012510,t-3,avi,08/26/2015 8:42:02,
15R4360:0012605,t-2,avi,08/26/2015 8:42:02,
15R4360:0012608,t-3,avi,08/26/2015 8:42:02,
15R4360:0012612,t-2,avi,08/26/2015 8:42:02,
15R4391:0012704,e3,avi,08/26/2015 8:42:02,
15R4391:0012711,e2,avi,08/26/2015 8:42:02,
15R4393:0012908,e0,avi,08/26/2015 8:42:02,
15R3999:0013103,t-6,avi,08/26/2015 8:42:02,
15R3999:0013105,t-6,avi,08/26/2015 8:42:02,
15R3999:0013108,t-5,avi,08/26/2015 8:42:02,
15R4289:0013205,t-6,avi,08/26/2015 8:42:02,
15R4289:0013207,e-1,avi,08/26/2015 8:42:02,
15R4395:0013301,t-5,avi,08/26/2015 8:42:02,
15R4395:0013304,t-7,avi,08/26/2015 8:42:02,
15R4361:0013407,e-3,avi,08/26/2015 8:42:02,
15R4361:0013408,e-2,avi,08/26/2015 8:42:02,
15R4396:0013505,t-6,avi,08/26/2015 8:42:02,
15R4396:0013506,t-6,avi,08/26/2015 8:42:02,
15R4396:0013508,t-6,avi,08/26/2015 8:42:02,
15R4397:0013602,t-5,avi,08/26/2015 8:42:02,
15R4397:0013604,t-6,avi,08/26/2015 8:42:02,
15R4397:0013608,t-4,avi,08/26/2015 8:42:02,
15R4007:0013702,t-6,avi,08/26/2015 8:42:02,
15R4007:0013703,t-5,avi,08/26/2015 8:42:02,
15R4011:0013801,t-6,avi,08/26/2015 8:42:02,
15R4011:0013804,t-5,avi,08/26/2015 8:42:02,
15R4011:0013805,t-6,avi,08/26/2015 8:42:02,
15R4398:0013904,t-5,avi,08/26/2015 8:42:02,
15R4398:0013906,t-5,avi,08/26/2015 8:42:02,
15R4398:0013907,t-6,avi,08/26/2015 8:42:02,
15R4290:0014102,t-5,avi,08/26/2015 8:42:02,
15R4295:0014208,t-3,avi,08/26/2015 8:42:02,
15R4100:0014408,e1,avi,08/26/2015 8:42:02,
15R4300:0014602,t-4,avi,08/26/2015 8:42:02,
15R4300:0014604,t-3,avi,08/26/2015 8:42:02,
15R4402:0015101,e1,avi,08/26/2015 8:42:02,
15R1715:0015202,e2,avi,08/26/2015 8:42:02,
15R1715:0015205,e2,avi,08/26/2015 8:42:02,
15R0686:0015302,e-2,avi,08/26/2015 8:42:02,
15R1129:0015401,t-9,avi,08/26/2015 8:42:02,
15R1129:0015403,t-6,avi,08/26/2015 8:42:02,
15R1129:0015408,t-5,avi,08/26/2015 8:42:02,
15R4404:0015601,t-6,avi,08/26/2015 8:42:02,
15R3297:0015703,t-5,avi,08/26/2015 8:42:02,
15R2930:0015903,e0,avi,08/26/2015 8:42:02,
15R2930:0015904,e-1,avi,08/26/2015 8:42:02,
15R2930:0015905,e-2,avi,08/26/2015 8:42:02,
15R4044:0016003,e-1,avi,08/26/2015 8:42:02,
15R4044:0016004,e1,avi,08/26/2015 8:42:02,
15R4177:0016101,e-2,avi,08/26/2015 8:42:02,
15R4177:0016107,e0,avi,08/26/2015 8:42:02,
15R4177:0016111,e-2,avi,08/26/2015 8:42:02,
15R4177:0016112,e-2,avi,08/26/2015 8:42:02,
15R4405:0016202,e-2,avi,08/26/2015 8:42:02,
15R4405:0016211,e-2,avi,08/26/2015 8:42:02,
15R4405:0016213,e0,avi,08/26/2015 8:42:02,
15R3654:0016401,e-1,avi,08/26/2015 8:42:02,
15R3654:0016406,e-3,avi,08/26/2015 8:42:02,
15R4046:0016604,t-6,avi,08/26/2015 8:42:02,
15R2931:0016704,e-3,avi,08/26/2015 8:42:02,
15R4406:0016801,e-2,avi,08/26/2015 8:42:02,
15R4412:0018105,e2,avi,08/26/2015 8:42:02,
15R4413:0018203,t-4,avi,08/26/2015 8:42:02,
15R4414:0018304,t-4,avi,08/26/2015 8:42:02,
15R4414:0018308,e1,avi,08/26/2015 8:42:02,
15R4414:0018310,e1,avi,08/26/2015 8:42:02,
15R4312:0018403,t-6,avi,08/26/2015 8:42:02,
15R4312:0018407,t-4,avi,08/26/2015 8:42:02,
15R4415:0018707,e2,avi,08/26/2015 8:42:02,
15R4415:0018708,e-1,avi,08/26/2015 10:02:02,
15R4365:0019903,t-2,avi,08/26/2015 10:02:02,
15R4365:0019907,t-2,avi,08/26/2015 10:02:02,
