plantID,tassel_bagged,ear1_cut,datetime,observer,popped_tassel,cut_tassel,ear2_cut,cross_prep
16R4472:0004811,07/26/2016 15:16:08,1,0,toni,0,0,0,
16R4474:0005001,07/26/2016 14:42:01,1,0,toni,0,0,0,
16R4476:0005210,07/26/2016 14:42:01,1,0,toni,0,0,0,
16R4481:0005706,07/26/2016 14:42:01,1,0,toni,0,0,0,
16R4482:0005803,07/26/2016 14:42:01,1,0,toni,0,0,0,
16R4222:0009407,07/26/2016 14:42:01,1,0,toni,0,0,0,
16R4499:0009607,07/26/2016 14:42:01,1,0,toni,0,0,0,
16R4356:0010005,07/26/2016 14:42:43,1,0,toni,0,0,0,
16R4356:0010008,07/26/2016 14:42:01,1,0,toni,0,0,0,
16R4390:0010609,07/26/2016 14:42:01,1,0,toni,0,0,0,
16R4390:0010611,07/26/2016 14:42:01,1,0,toni,0,0,0,
16R4391:0010711,07/26/2016 14:42:01,1,0,toni,0,0,0,
16R4507:0010905,07/27/2016 9:00:00,1,0,toni,0,0,0,
16R4508:0011011,07/27/2016 9:00:00,1,0,toni,0,0,0,
16R4509:0011102,07/27/2016 9:00:00,1,0,toni,0,0,0,
16R4509:0011103,07/27/2016 9:00:00,1,0,toni,0,0,0,
16R4510:0011204,07/26/2016 14:42:01,1,0,toni,0,0,0,
16R4513:0011503,07/26/2016 14:42:01,1,0,toni,0,0,0,
16R4027:0012203,07/26/2016 14:42:01,1,0,toni,0,0,0,
16R4297:0012301,07/26/2016 14:42:01,1,0,toni,0,0,0,
16R4297:0012305,07/26/2016 14:42:01,1,0,toni,0,0,0,
16R4298:0012401,07/27/2016 9:00:00,1,0,toni,0,0,0,
16R4298:0012406,07/27/2016 9:00:00,1,0,toni,0,0,0,
16R4300:0012601,07/27/2016 9:00:00,1,0,toni,0,0,0,
16R4300:0012604,07/27/2016 9:00:00,1,0,toni,0,0,0,
16R4300:0012606,07/26/2016 14:42:01,1,0,toni,0,0,0,
16R4520:0012911,07/26/2016 14:42:01,1,0,toni,0,0,0,
16R4522:0013106,07/27/2016 9:00:00,1,0,toni,0,0,0,
16R4531:0014001,07/26/2016 14:42:01,1,0,toni,0,0,0,
16R4531:0014005,07/26/2016 14:42:01,1,0,toni,0,0,0,
16R4531:0014008,07/26/2016 14:42:01,1,0,toni,0,0,0,
16R4532:0014101,07/26/2016 14:42:01,1,0,toni,0,0,0,
16R4532:0014102,07/26/2016 14:42:01,1,0,toni,0,0,0,
16R4534:0014307,07/26/2016 14:42:01,1,0,toni,0,0,0,
