plantID,tassel_bagged,ear1_cut,datetime,popped_tassel,cut_tassel,ear2_cut,observer,cross_prep
16R4472:0004811,1,0,0,0,0,toni,07/26/2016 15:16:08,
16R4474:0005001,1,0,0,0,0,toni,07/26/2016 14:42:01,
16R4476:0005210,1,0,0,0,0,toni,07/26/2016 14:42:01,
16R4481:0005706,1,0,0,0,0,toni,07/26/2016 14:42:01,
16R4482:0005803,1,0,0,0,0,toni,07/26/2016 14:42:01,
16R4222:0009407,1,0,0,0,0,toni,07/26/2016 14:42:01,
16R4499:0009607,1,0,0,0,0,toni,07/26/2016 14:42:01,
16R4356:0010005,1,0,0,0,0,toni,07/26/2016 14:42:43,
16R4356:0010008,1,0,0,0,0,toni,07/26/2016 14:42:01,
16R4390:0010609,1,0,0,0,0,toni,07/26/2016 14:42:01,
16R4390:0010611,1,0,0,0,0,toni,07/26/2016 14:42:01,
16R4391:0010711,1,0,0,0,0,toni,07/26/2016 14:42:01,
16R4507:0010905,1,0,0,0,0,toni,07/27/2016 9:00:00,
16R4508:0011011,1,0,0,0,0,toni,07/27/2016 9:00:00,
16R4509:0011102,1,0,0,0,0,toni,07/27/2016 9:00:00,
16R4509:0011103,1,0,0,0,0,toni,07/27/2016 9:00:00,
16R4510:0011204,1,0,0,0,0,toni,07/26/2016 14:42:01,
16R4513:0011503,1,0,0,0,0,toni,07/26/2016 14:42:01,
16R4027:0012203,1,0,0,0,0,toni,07/26/2016 14:42:01,
16R4297:0012301,1,0,0,0,0,toni,07/26/2016 14:42:01,
16R4297:0012305,1,0,0,0,0,toni,07/26/2016 14:42:01,
16R4298:0012401,1,0,0,0,0,toni,07/27/2016 9:00:00,
16R4298:0012406,1,0,0,0,0,toni,07/27/2016 9:00:00,
16R4300:0012601,1,0,0,0,0,toni,07/27/2016 9:00:00,
16R4300:0012604,1,0,0,0,0,toni,07/27/2016 9:00:00,
16R4300:0012606,1,0,0,0,0,toni,07/26/2016 14:42:01,
16R4520:0012911,1,0,0,0,0,toni,07/26/2016 14:42:01,
16R4522:0013106,1,0,0,0,0,toni,07/27/2016 9:00:00,
16R4531:0014001,1,0,0,0,0,toni,07/26/2016 14:42:01,
16R4531:0014005,1,0,0,0,0,toni,07/26/2016 14:42:01,
16R4531:0014008,1,0,0,0,0,toni,07/26/2016 14:42:01,
16R4532:0014101,1,0,0,0,0,toni,07/26/2016 14:42:01,
16R4532:0014102,1,0,0,0,0,toni,07/26/2016 14:42:01,
16R4534:0014307,1,0,0,0,0,toni,07/26/2016 14:42:01,
