ma plantID,pa plantID,datetime,ear1,ear2,repeat,bee,pilot,cross
16R305:W0000714,16R4475:0005105,07/29/2016 11:16:47,1,0,0,toni,toni,
16R305:W0001515,16R4475:0005105,07/29/2016 11:17:24,1,0,0,toni,toni,
16R405:M0003302,16R4482:0005809,07/29/2016 11:43:20,0,1,0,toni,toni,
16R205:S0002702,16R4390:0010605,07/29/2016 11:52:43,1,0,0,toni,toni,
16R205:S0002709,16R4390:0010605,07/29/2016 11:53:18,1,0,0,toni,toni,
16R205:S0002711,16R4507:0010903,07/29/2016 11:10:37,1,0,0,toni,toni,
16R205:S0002710,16R4507:0010905,07/29/2016 11:10:03,1,0,0,toni,toni,
16R205:S0002619,16R4507:0010908,07/29/2016 14:31:32,1,0,0,toni,toni,
16R405:M0003312,16R4027:0012203,07/29/2016 11:44:08,1,0,0,toni,toni,
16R405:M0003309,16R4297:0012305,07/29/2016 11:43:51,1,0,0,toni,toni,
16R405:M0002307,16R4300:0012606,07/29/2016 11:46:19,1,0,0,toni,toni,
16R205:S0002712,16R4519:0012801,07/29/2016 11:10:19,1,0,0,toni,toni,
16R205:S0002715,16R4519:0012802,07/29/2016 11:10:54,1,0,0,toni,toni,
16R205:S0002716,16R4519:0012802,07/29/2016 11:11:12,1,0,0,toni,toni,
16R205:S0002604,16R0687:0014708,07/29/2016 12:13:40,1,0,0,toni,toni,
16R205:S0002606,16R0687:0014708,07/29/2016 12:13:23,1,0,0,toni,toni,
16R205:S0002701,16R0691:0015106,07/29/2016 12:05:19,1,0,0,toni,toni,
16R0693:0015303,16R0693:0015303,07/29/2016 12:00:55,1,0,0,toni,toni,
16R205:S0002607,16R0693:0015303,07/29/2016 12:13:25,1,0,0,toni,toni,
16R205:S0002608,16R0693:0015303,07/29/2016 12:12:36,1,0,0,toni,toni,
16R205:S0002602,16R0697:0015711,07/29/2016 12:14:12,1,0,0,toni,toni,
16R205:S0002603,16R0697:0015711,07/29/2016 12:13:55,1,0,0,toni,toni,
