ma plantID,pa plantID,datetime,ear1,ear2,repeat,bee,pilot,cross
16R205:S0000612,16R4445:0009809,1,0,0,toni,toni,07/30/2016 10:42:00,
16R205:S0000609,16R4445:0009809,1,0,0,toni,toni,07/30/2016 10:42:18,
16R205:S0000608,16R4445:0009809,1,0,0,toni,toni,07/30/2016 10:42:44,
16R205:S0000610,16R4519:0012802,1,0,0,toni,toni,07/30/2016 10:43:11,
16R205:S0000611,16R4007:0011605,1,0,0,toni,toni,06/30/2016 10:51:55,
16R205:S0000607,16R4507:0010908,1,0,0,toni,toni,07/30/2016 10:52:21,
16R205:S0000602,16R4007:0011605,1,0,0,toni,toni,07/30/2016 10:52:47,
16R205:S0000605,16R4007:0011605,1,0,0,toni,toni,07/30/2016 10:53:32,
16R205:S0001306,16R6970:0015711,1,0,0,toni,toni,07/30/2016 12:11:20,
16R205:S0001103,16R6970:0015710,1,0,0,toni,toni,07/30/2016 12:11:54,
16R205:S0001111,16R6980:0015802,1,0,0,toni,toni,07/30/2016 12:12:13,
16R205:S0001113,16R6980:0015801,1,0,0,toni,toni,07/30/2016 12:12:27,
16R205:S0002612,16R6930:0015304,1,0,0,toni,toni,07/30/2016 12:16:02,
16R205:S0002714,16R6930:0015309,1,0,0,toni,toni,07/30/2016 12:16:31,
16R205:S0000604,16R4011:0011703,1,0,0,toni,toni,08/02/2016 12:41:50,
16R205:S0000613,16R4513:0011501,1,0,0,toni,toni,08/02/2016 12:46:33,
16R205:S0002609,16R4445:0009808,1,0,0,toni,toni,08/02/2016 12:51:23,
16R205:S0002611,16R4391:0010703,1,0,0,toni,toni,08/02/2016 12:51:48,
16R205:S0002616,16R4445:0009807,1,0,0,toni,toni,08/02/2016 12:52:32,
16R0693:0015309,16R0693:0015309,1,0,0,toni,toni,08/02/2016 12:58:38,
16R0694:0015406,16R0694:0015406,1,0,0,toni,toni,08/02/2016 13:00:50,
16R0697:0015708,16R0697:0015708,1,0,0,toni,toni,08/02/2016 13:02:39,
16R0698:0015811,16R0698:0015811,1,0,0,toni,toni,08/02/2016 13:09:27,
16R0698:0015808,16R0698:0015808,1,0,0,toni,toni,08/02/2016 13:09:50,
16R0698:0015804,16R0698:0015804,1,0,0,toni,toni,08/02/2016 13:10:23,
16R0702:0016201,16R0702:0016201,1,0,0,toni,toni,08/02/2016 13:12:01,
16R0687:0014708,16R0687:0014708,1,0,0,toni,toni,08/03/2016 11:00:00,
16R0687:0014709,16R0687:0014709,1,0,0,toni,toni,08/03/2016 11:02:31,
16R0688:0014805,16R0688:0014805,1,0,0,toni,toni,08/03/2016 11:06:27,
16R0689:0014903,16R0689:0014903,1,0,0,toni,toni,08/03/2016 11:06:49,
16R0689:0014910,16R0689:0014910,1,0,0,toni,toni,08/03/2016 11:07:06,
16R0689:0014913,16R0689:0014913,1,0,0,toni,toni,08/03/2016 11:07:27,
16R0688:0014802,16R0688:0014802,1,0,0,toni,toni,08/03/2016 11:41:13,
16R0688:0014804,16R0688:0014804,1,0,0,toni,toni,08/03/2016 11:41:29,
16R0691:0015107,16R0691:0015107,1,0,0,toni,toni,08/03/2016 11:44:14,
16R0691:0015106,16R0691:0015106,1,0,0,toni,toni,08/03/2016 11:44:42,
16R0690:0015003,16R0690:0015003,1,0,0,toni,toni,08/03/2016 11:44:59,
16R0693:0015306,16R0693:0015306,1,0,0,toni,toni,08/03/2016 11:48:39,
16R0693:0015304,16R0693:0015304,1,0,0,toni,toni,08/03/2016 11:49:26,
16R0693:0015303,16R0693:0015303,1,0,0,toni,toni,08/03/2016 11:49:44,
16R0692:0015202,16R0692:0015202,1,0,0,toni,toni,08/03/2016 11:50:13,
16R0692:0015201,16R0692:0015201,1,0,0,toni,toni,08/03/2016 11:50:38,
16R0697:0015710,16R0697:0015710,1,0,0,toni,toni,08/03/2016 11:52:44,
16R0697:0015711,16R0697:0015711,1,0,0,toni,toni,08/03/2016 11:54:14,
16R0699:0015908,16R0699:0015908,1,0,0,toni,toni,08/03/2016 11:55:14,
16R0699:0015909,16R0699:0015909,1,0,0,toni,toni,08/03/2016 11:56:06,
16R0699:0015910,16R0699:0015910,1,0,0,toni,toni,08/03/2016 11:56:41,
16R0694:0015401,16R0694:0015401,1,0,0,toni,toni,08/03/2016 11:57:52,
16R0694:0015402,16R0694:0015402,1,0,0,toni,toni,08/03/2016 11:58:42,
