rowID,num_emerged,ave_leaf_num,num_wild_type,num mutant,healthy,other phe,observer,datetime,row_status
r00001,36,,,,,_,toni,06/18/2016 10:15:00,
r00002,36,,,,,,toni,06/18/2016 10:15:00,
r00003,32,,,,,,toni,06/18/2016 10:15:00,
r00004,30,,,,,,toni,06/18/2016 10:15:00,
r00005,27,,,,,,toni,06/18/2016 10:15:00,
r00006,13,,,,,,toni,06/18/2016 10:15:00,
r00007,16,,,,,,toni,06/18/2016 10:15:00,
r00008,15,,,,1,,toni,06/18/2016 10:15:00,
r00009,19,,,,,,toni,06/18/2016 10:15:00,
r00010,18,,,,,,toni,06/18/2016 10:15:00,
r00011,19,,,,,,toni,06/18/2016 10:15:00,
r00012,13,,,,,,toni,06/18/2016 10:15:00,
r00013,14,,,,2,,toni,06/18/2016 10:15:00,
r00014,17,,,,1,,toni,06/18/2016 10:15:00,
r00015,18,,,,,,toni,06/18/2016 10:15:00,
r00016,21,,,,,,toni,06/18/2016 10:15:00,
r00017,13,,,,2,,toni,06/18/2016 10:15:00,
r00018,13,,,,,,toni,06/18/2016 10:15:00,
r00019,7,,,,,,toni,06/18/2016 10:15:00,
r00020,10,,,,1,,toni,06/18/2016 10:15:00,
r00021,11,,,,1,,toni,06/18/2016 10:15:00,
r00022,13,,,,1,,toni,06/18/2016 10:15:00,
r00023,9,,,,2,,toni,06/18/2016 10:15:00,
r00024,19,,,,,,toni,06/18/2016 10:15:00,
r00025,20,,,,,,toni,06/18/2016 10:15:00,
r00026,21,,,,,,toni,06/18/2016 10:15:00,
r00027,17,,,,,,toni,06/18/2016 10:15:00,
r00028,15,,,,,,toni,06/18/2016 10:15:00,
r00029,17,,,,,,toni,06/18/2016 10:15:00,
r00030,18,,,,,,toni,06/18/2016 10:15:00,
r00031,14,,,,,,toni,06/18/2016 10:15:00,
r00032,16,,,,,,toni,06/18/2016 10:15:00,
r00033,16,,,,,,toni,06/18/2016 10:15:00,
r00034,19,,,,,,toni,06/18/2016 10:15:00,
r00035,16,,,,1,,toni,06/18/2016 10:15:00,
r00036,14,,,,,,toni,06/18/2016 10:15:00,
r00037,15,,,,,,toni,06/18/2016 10:15:00,
r00039,14,,,,,,toni,06/18/2016 10:15:00,
r00038,12,,,,,,toni,06/18/2016 10:15:00,
r00040,11,,,,1,,toni,06/18/2016 10:15:00,
r00041,14,,,,,,toni,06/18/2016 10:15:00,
r00043,15,,,,,,toni,06/18/2016 10:15:00,
r00042,14,,,,,,toni,06/18/2016 10:15:00,
r00044,13,,,,,,toni,06/18/2016 10:15:00,
r00045,15,,,,,,toni,06/18/2016 10:15:00,
r00047,14,,,,,,toni,06/18/2016 10:15:00,
r00046,8,,,,1,,toni,06/18/2016 10:15:00,
r00048,14,,,,,,toni,06/18/2016 10:15:00,
r00049,12,,,,,,toni,06/18/2016 10:15:00,
r00051,13,,,,,,toni,06/18/2016 10:15:00,
r00050,13,,,,,,toni,06/18/2016 10:15:00,
r00052,14,,,,,,toni,06/18/2016 10:15:00,
r00053,12,,,,,,toni,06/18/2016 10:15:00,
r00055,11,,,,,,toni,06/18/2016 10:15:00,
r00054,13,,,,1,,toni,06/18/2016 10:15:00,
r00056,11,,,,,,toni,06/18/2016 10:15:00,
r00057,12,,,,,,toni,06/18/2016 10:15:00,
r00058,11,,,,,,toni,06/18/2016 10:15:00,
r00059,11,,,,,,toni,06/18/2016 10:15:00,
r00061,13,,,,,,toni,06/18/2016 10:15:00,
r00060,14,,,,,,toni,06/18/2016 10:15:00,
r00062,14,,,,,,toni,06/18/2016 10:15:00,
r00063,14,,,,,,toni,06/18/2016 10:15:00,
r00065,12,,,,,,toni,06/18/2016 10:15:00,
r00064,14,,,,,,toni,06/18/2016 10:15:00,
r00066,11,,,,,,toni,06/18/2016 10:15:00,
r00067,12,,,,,,toni,06/18/2016 10:15:00,
r00069,19,,,,,,toni,06/18/2016 10:15:00,
r00068,16,,,,,,toni,06/18/2016 10:15:00,
r00070,10,,,,,,toni,06/18/2016 10:15:00,
r00071,13,,,,,,toni,06/18/2016 10:15:00,
r00073,10,,,,,,toni,06/18/2016 10:15:00,
r00072,7,,,,,,toni,06/18/2016 10:15:00,
r00074,8,,,,,,toni,06/18/2016 10:15:00,
r00075,12,,,,,,toni,06/18/2016 10:15:00,
r00077,14,,,,,,toni,06/18/2016 10:15:00,
r00076,12,,,,,,toni,06/18/2016 10:15:00,
r00078,14,,,,,,toni,06/18/2016 10:15:00,
r00079,13,,,,,,toni,06/18/2016 10:15:00,
r00081,13,,,,,,toni,06/18/2016 10:15:00,
r00080,12,,,,,,toni,06/18/2016 10:15:00,
r00082,11,,,,,,toni,06/18/2016 10:15:00,
r00083,9,,,,,,toni,06/18/2016 10:15:00,
r00085,8,,,,,,toni,06/18/2016 10:15:00,
r00084,7,,,,1,,toni,06/18/2016 10:15:00,
r00086,10,,,,,,toni,06/18/2016 10:15:00,
r00087,14,,,,,,toni,06/18/2016 10:15:00,
r00088,11,,,,,,toni,06/18/2016 10:15:00,
r00089,14,,,,,,toni,06/18/2016 10:15:00,
r00090,11,,,,1,,toni,06/18/2016 10:15:00,
r00091,14,,,,1,,toni,06/18/2016 10:15:00,
r00092,15,,,,,,toni,06/18/2016 10:15:00,
r00093,11,,,,1,,toni,06/18/2016 10:15:00,
r00094,11,,,,,,toni,06/18/2016 10:15:00,
r00095,14,,,,,,toni,06/18/2016 10:15:00,
r00096,13,,,,,,toni,06/18/2016 10:15:00,
r00097,5,,,,,,toni,06/18/2016 10:15:00,
r00098,9,,,,,,toni,06/18/2016 10:15:00,
r00099,15,,,,,,toni,06/18/2016 10:15:00,
r00100,12,,,,1,,toni,06/18/2016 10:15:00,
r00101,14,,,,,,toni,06/18/2016 10:15:00,
r00102,12,,,,,,toni,06/18/2016 10:15:00,
r00103,14,,,,,,toni,06/18/2016 10:15:00,
r00104,12,,,,,,toni,06/18/2016 10:15:00,
r00105,11,,,,,,toni,06/18/2016 10:15:00,
r00106,11,,,,,,toni,06/18/2016 10:15:00,
r00107,12,,,,,,toni,06/18/2016 10:15:00,
r00108,7,,,,1,,toni,06/18/2016 10:15:00,
r00109,13,,,,,,toni,06/18/2016 10:15:00,
r00110,11,,,,,,toni,06/18/2016 10:15:00,
r00111,11,,,,1,,toni,06/18/2016 10:15:00,
r00112,7,,,,,,toni,06/18/2016 10:15:00,
r00113,11,,,,,,toni,06/18/2016 10:15:00,
r00114,4,,,,1,,toni,06/18/2016 10:15:00,
r00115,6,,,,2,,toni,06/18/2016 10:15:00,
r00116,12,,,,,,toni,06/18/2016 10:15:00,
r00117,13,,,,,,toni,06/18/2016 10:15:00,
r00118,11,,,,,,toni,06/18/2016 10:15:00,
r00119,11,,,,,,toni,06/18/2016 10:15:00,
r00120,8,,,,2,,toni,06/18/2016 10:15:00,
r00121,3,,,,1,,toni,06/18/2016 10:15:00,
r00122,9,,,,1,,toni,06/18/2016 10:15:00,
r00123,9,,,,,,toni,06/18/2016 10:15:00,
r00124,8,,,,1,,toni,06/18/2016 10:15:00,
r00125,10,,,,1,,toni,06/18/2016 10:15:00,
r00126,8,,,,,,toni,06/18/2016 10:15:00,
r00127,4,,,,,,toni,06/18/2016 10:15:00,
r00128,6,,,,3,,toni,06/18/2016 10:15:00,
r00129,11,,,,,,toni,06/18/2016 10:15:00,
r00130,6,,,,2,,toni,06/18/2016 10:15:00,
r00131,11,,,,,,toni,06/18/2016 10:15:00,
r00132,11,,,,,,toni,06/18/2016 10:15:00,
r00133,10,,,,,,toni,06/18/2016 10:15:00,
r00134,2,,,,,,toni,06/18/2016 10:15:00,
r00135,11,,,,,,toni,06/18/2016 10:15:00,
r00136,6,,,,,,toni,06/18/2016 10:15:00,
r00137,13,,,,,,toni,06/18/2016 10:15:00,
r00138,12,,,,1,,toni,06/18/2016 10:15:00,
r00139,6,,,,,,toni,06/18/2016 10:15:00,
r00140,8,,,,1,,toni,06/18/2016 10:15:00,
r00141,6,,,,,,toni,06/18/2016 10:15:00,
r00142,10,,,,,,toni,06/18/2016 10:15:00,
r00143,11,,,,,,toni,06/18/2016 10:15:00,
r00144,16,,,,,,toni,06/18/2016 10:15:00,
r00145,13,,,,1,,toni,06/18/2016 10:15:00,
r00146,12,,,,,,toni,06/18/2016 10:15:00,
r00147,8,,,,,,toni,06/18/2016 10:15:00,
r00148,12,,,,,,toni,06/18/2016 10:15:00,
r00149,14,,,,,,toni,06/18/2016 10:15:00,
r00150,9,,,,2,,toni,06/18/2016 10:15:00,
r00151,10,,,,,,toni,06/18/2016 10:15:00,
r00152,8,,,,,,toni,06/18/2016 10:15:00,
r00153,12,,,,1,,toni,06/18/2016 10:15:00,
r00154,14,,,,,,toni,06/18/2016 10:15:00,
r00155,10,,,,,,toni,06/18/2016 10:15:00,
r00156,14,,,,,,toni,06/18/2016 10:15:00,
r00157,15,,,,,,toni,06/18/2016 10:15:00,
r00158,11,,,,,,toni,06/18/2016 10:15:00,
r00159,13,,,,,,toni,06/18/2016 10:15:00,
r00160,7,,,,,,toni,06/18/2016 10:15:00,
r00161,3,,,,,,toni,06/18/2016 10:15:00,
r00162,99,,,,,,toni,06/18/2016 10:15:00,
