packetID,rowID,ft,observer,datetime,planted
p00001,r00011,20,avi,05/25/2016 10:18:44,
p00001,r00012,20,avi,05/25/2016 10:21:23,
p00001,r00013,20,avi,05/25/2016 10:22:46,
p00002,r00014,20,avi,05/25/2016 10:23:54,
p00002,r00015,20,avi,05/25/2016 10:25:19,
p00002,r00016,20,avi,05/25/2016 10:26:34,
p00003,r00017,20,avi,05/25/2016 10:27:47,
p00003,r00018,20,avi,05/25/2016 10:29:08,
p00003,r00019,20,avi,05/25/2016 10:30:25,
p00003,r00020,20,avi,05/25/2016 10:31:38,
p00003,r00021,20,avi,05/25/2016 10:33:00,
p00003,r00022,20,avi,05/25/2016 10:34:30,
p00003,r00023,20,avi,05/25/2016 10:35:30,
p00004,r00024,20,avi,05/25/2016 10:37:20,
p00004,r00025,20,avi,05/25/2016 10:38:31,
p01032,r00105,10,avi,05/25/2016 10:40:52,
p01071,r00107,10,avi,05/25/2016 10:41:42,
p01078,r00109,10,avi,05/25/2016 10:42:42,
p01052,r00113,10,avi,05/25/2016 10:44:00,
p01053,r00114,10,avi,05/25/2016 10:45:07,
p01007,r00115,10,avi,05/25/2016 10:46:21,
p01092,r00118,10,avi,05/25/2016 10:47:03,
p01020,r00121,10,avi,05/25/2016 10:47:54,
p01018,r00122,10,avi,05/25/2016 10:49:26,
p01019,r00123,10,avi,05/25/2016 10:50:22,
p01021,r00124,10,avi,05/25/2016 10:51:18,
p01017,r00125,10,avi,05/25/2016 10:52:15,
p01029,r00126,10,avi,05/25/2016 10:53:22,
p01101,r00127,10,avi,05/25/2016 10:54:21,
p01050,r00142,10,avi,05/25/2016 10:55:38,
p01070,r00143,10,avi,05/25/2016 10:56:37,
p01081,r00144,10,avi,05/25/2016 10:57:46,
p01082,r00145,10,avi,05/25/2016 10:59:04,
p01073,r00146,10,avi,05/25/2016 11:00:17,
