plantID,sample num,observer,datetime,tissue_collectn
16R4476:0005202:0005202,e03127,avi,07/26/2016 13:18:06,
16R4478:0005401,e03128,avi,07/26/2016 13:23:36,
16R4471:0004707,e03129,avi,07/26/2016 13:27:27,
16R4479:0005504,e03130,avi,07/26/2016 13:31:34,
16R4474:0005001,e03131,avi,07/26/2016 13:31:34,
16R4474:0005001:0005009,e03132,avi,07/26/2016 13:31:34,
16R4477:0005312,e03133,avi,07/26/2016 13:31:34,
16R4470:0004603,E03134,avi,07/26/2016 13:31:34,
16R4470:0004603:0004604,e03135,avi,07/26/2016 13:31:34,
16R4467:0004309,E03136,avi,07/26/2016 13:31:34,
16R4477:0005312:0005303,e03137,avi,07/26/2016 13:31:34,
16R4468:0004410,e03138,avi,07/26/2016 13:31:34,
16R4472:0004806,e03139,avi,07/26/2016 13:31:34,
16R4483:0005910,e03140,avi,07/26/2016 13:31:34,
16R4468:0004410:0004411,e03141,avi,07/26/2016 13:31:34,
16R4481:0005709,e03142,avi,07/26/2016 13:31:34,
16R4472:0004806:0004811,e03143,avi,07/26/2016 13:31:34,
16R4470:0004603:0004602,e03144,avi,07/26/2016 14:32:30,
16R4477:0005312:0005311,e03145,avi,07/26/2016 14:32:30,
16R4467:0004309:0004315,e03146,avi,07/26/2016 14:32:30,
16R4476:0005202:0005211,e03147,avi,07/26/2016 14:32:30,
16R4473:0004912,e03148,avi,07/26/2016 14:32:30,
4904,E03149,avi,07/26/2016 14:32:30,
16R4467:0004309:0004307,e03150,avi,07/26/2016 14:32:30,
16R4476:0005202:0005210,e03151,avi,07/26/2016 14:32:30,
16R4479:0005504:0005503,e03152,avi,07/26/2016 14:32:30,
16R4479:0005504:0005506,e03153,avi,07/26/2016 14:32:30,
16R4445:0009808,e03154,avi,07/26/2016 16:58:01,
16R4498:0009514,e03155,avi,07/26/2016 16:58:01,
16R4227:0006706,e03156,avi,07/26/2016 16:58:01,
16R4356:0010008,e03157,avi,07/26/2016 16:58:01,
16R3590:0007804,e03158,avi,07/26/2016 16:58:01,
16R4227:0006706:0006601,e03159,avi,07/26/2016 16:58:01,
16R3192:0010101:0010101,e03160,avi,07/26/2016 16:58:01,
16R4393:0009907,e03161,avi,07/26/2016 16:58:01,
16R4393:0009907:0009904,e03162,avi,07/26/2016 16:58:01,
9902,E03163,avi,07/26/2016 16:58:01,
16R3192:0010101:0010105,e03164,avi,07/26/2016 16:58:01,
16R4086:0007610,e03165,avi,07/26/2016 16:58:01,
16R4491:0008008,e03166,avi,07/26/2016 16:58:01,
16R4356:0010008:0010002,e03167,avi,07/26/2016 17:42:28,
16R4445:0009808:0009809,e03168,avi,07/26/2016 18:11:38,
16R4445:0009808:0009807,E03169,avi,07/26/2016 18:11:38,
16R4227:0006706:0006610,e03170,avi,07/26/2016 18:11:38,
16R4356:0010008:0010005,e03171,avi,07/26/2016 18:11:38,
16R4092:0008811,e03172,avi,07/26/2016 18:11:38,
16R3192:0010101:0010108,e03173,avi,07/26/2016 18:11:38,
16R4227:0006706:0006707,e03174,avi,07/26/2016 18:11:38,
16R4227:0006706:0006608,e03175,avi,07/26/2016 18:11:38,
16R4227:0006706:0006606,e03176,avi,07/26/2016 18:11:38,
16R4227:0006706:0006703,e03177,avi,07/26/2016 18:11:38,
16R4227:0006706:0006712,e03178,avi,07/26/2016 18:11:38,
