plantID,sample num,observer,datetime,tissue_collectn
16R4392:0010801,e03179,avi,07/27/2016 16:19:05,
16R3607:0010412,e03180,avi,07/27/2016 16:19:05,
16R3607:0010412:0010402,e03181,avi,07/27/2016 16:19:05,
16R3607:0010412:0010407,e03182,avi,07/27/2016 16:19:05,
16R4507:0010905,e03183,avi,07/27/2016 16:19:05,
16R4507:0010905:0010908,e03184,avi,07/27/2016 16:19:05,
10611,E03185,avi,07/27/2016 16:19:05,
16R3607:0010412:0010409,e03186,avi,07/27/2016 16:19:05,
16R4508:0011011,e03187,avi,07/27/2016 16:19:05,
16R4391:0010711,e03188,avi,07/27/2016 16:19:05,
16R4509:0011103,e03189,avi,07/27/2016 16:19:05,
16R4509:0011103:0011102,e03190,avi,07/27/2016 16:19:05,
10609,E03191,avi,07/27/2016 16:19:05,
16R4279:0010503,e03192,avi,07/27/2016 16:19:05,
16R4507:0010905:0010901,e03193,avi,07/27/2016 16:19:05,
16R4391:0010711:0010710,e03194,avi,07/27/2016 16:19:05,
16R3974:0010303,e03195,avi,07/27/2016 16:19:05,
16R3607:0010412:0010408,e03196,avi,07/27/2016 16:19:05,
16R3607:0010412:0010403,e03197,avi,07/27/2016 16:19:05,
16R4391:0010711:0010703,e03198,avi,07/27/2016 16:19:05,
16R3974:0010303:0010307,e03199,avi,07/27/2016 16:19:05,
16R4503:0010210,e03200,avi,07/27/2016 16:19:05,
16R4503:0010210:0010205,e03201,avi,07/27/2016 16:19:05,
10807,E03202,avi,07/27/2016 16:19:05,
16R4503:0010210:0010203,e03203,avi,07/27/2016 16:05:43,
16R3974:0010303:0010314,e03204,avi,07/27/2016 16:05:43,
16R4390:0010605,e03205,avi,07/27/2016 16:05:43,
16R4503:0010210:0010212,e03206,avi,07/27/2016 16:05:43,
16R4007:0011605,e03207,avi,07/27/2016 19:15:29,
16R4510:0011204,e03208,avi,07/27/2016 19:15:29,
16R4515:0011903,e03209,avi,07/27/2016 19:15:29,
16R4515:0011903:0011909,e03210,avi,07/27/2016 19:15:29,
16R4511:0011304,e03211,avi,07/27/2016 19:15:29,
12007,E03212,avi,07/27/2016 19:15:29,
16R4510:0011204:0011201,e03213,avi,07/27/2016 20:01:34,
16R4511:0011304:0011305,e03214,avi,07/27/2016 20:01:34,
16R4514:0011809,e03215,avi,07/27/2016 20:01:34,
16R4011:0011707,e03216,avi,07/27/2016 20:01:34,
16R4514:0011809:0011806,e03217,avi,07/27/2016 20:01:34,
16R4515:0011903:0011911,e03218,avi,07/27/2016 20:01:34,
16R4513:0011501,e03219,avi,07/27/2016 20:01:34,
16R4513:0011501:0011503,e03220,avi,07/27/2016 20:01:34,
16R4011:0011707:0011703,e03221,avi,07/27/2016 20:01:34,
16R4007:0011605:0011608,e03222,avi,07/27/2016 20:01:34,
16R4011:0011707:0011710,e03223,avi,07/27/2016 20:01:34,
12008,E03224,avi,07/27/2016 20:01:34,
