plantID,image no,rel_leaf_num,section,datetime,observer,camera,conditions,abs_leaf_num,image
16R4027:0012203,204,t-2,middle,07/28/2016 11:52:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4027:0012204,217,t-2,middle,07/28/2016 11:52:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4027:0012205,235,t-4,middle,07/28/2016 13:29:21,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4297:0012301,228,t-2,middle,07/28/2016 13:29:21,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4297:0012303,227,e3,middle,07/28/2016 13:29:21,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4297:0012305,220,t-1,middle,07/28/2016 11:52:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4298:0012401,237,t0,whole,07/28/2016 13:29:21,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4298:0012401,238,t-2,middle,07/28/2016 13:29:21,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4298:0012403,203,t-2,middle,07/28/2016 11:07:59,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4298:0012406,236,t-2,tip,07/28/2016 13:29:21,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4399:0012502,234,e1,middle,07/28/2016 13:29:21,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4399:0012509,222,t-4,middle,07/28/2016 11:52:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4300:0012601,230,e1,middle,07/28/2016 13:29:21,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4300:0012602,215,e0,middle,07/28/2016 11:52:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4300:0012604,223,e0,middle,07/28/2016 11:52:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4300:0012606,233,e1,middle,07/28/2016 13:29:21,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4518:0012703,231,e-2,tip,07/28/2016 13:29:21,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4519:0012801,199,t-6,tip,07/28/2016 11:07:59,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4519:0012802,190,t-7,middle,07/28/2016 11:07:59,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4519:0012806,229,t-8,middle,07/28/2016 13:29:21,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4520:0012908,218,e1,tip,07/28/2016 11:52:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4520:0012909,205,e0,middle,07/28/2016 11:52:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4520:0012911,221,e-1,middle,07/28/2016 11:52:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4523:0013207,214,e1,middle,07/28/2016 11:52:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4526:0013502,219,e0,middle,07/28/2016 11:52:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4526:0013504,193,t-5,middle,07/28/2016 11:07:59,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4526:0013508,206,e1,middle,07/28/2016 11:52:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4528:0013704,216,t-4,middle,07/28/2016 11:52:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4528:0013706,197,e2,middle,07/28/2016 11:07:59,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4531:0014001,194,e-1,tip,07/28/2016 11:07:59,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4531:0014005,192,e-1,tip,07/28/2016 11:07:59,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4532:0014102,195,e-2,middle,07/28/2016 11:07:59,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4532:0014103,198,e-1,middle,07/28/2016 11:07:59,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4532:0014106,191,e-1,tip,07/28/2016 11:07:59,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4534:0014307,196,e3,middle,07/28/2016 11:07:59,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4537:0014607,225,t-3,stem,07/28/2016 11:52:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4537:0014608,226,e4,middle,07/28/2016 11:52:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4537:0014611,232,e4,middle,07/28/2016 13:29:21,avi,gimmel,"ex situ ambient reflected, field",unk,
16R6870:0014701,189,e1,tip,07/28/2016 11:07:59,avi,gimmel,"ex situ ambient reflected, field",unk,
16R6870:0014708,224,e-1,middle,07/28/2016 11:52:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R6880:0014802,200,e2,middle,07/28/2016 11:07:59,avi,gimmel,"ex situ ambient reflected, field",unk,
16R6880:0014804,201,e1,tip,07/28/2016 11:07:59,avi,gimmel,"ex situ ambient reflected, field",unk,
