plantID,sample num,observer,datetime,tissue_collectn
16R4027:0012203,e03240,avi,07/28/2016 11:53:05,
16R4027:0012204,e03253,avi,07/28/2016 11:53:05,
16R4027:0012205,e03271,avi,07/28/2016 13:29:45,
16R4297:0012305,e03256,avi,07/28/2016 11:53:05,
16R4298:0012403,e03239,avi,07/28/2016 11:08:58,
16R4298:0012401,e03273,avi,07/28/2016 13:29:45,
16R4298:0012406,e03272,avi,07/28/2016 13:29:45,
16R4399:0012502,E03270,avi,07/28/2016 13:29:45,
16R4399:0012509,e03258,avi,07/28/2016 11:53:05,
16R4300:0012602,e03251,avi,07/28/2016 11:53:05,
16R4300:0012601,e03266,avi,07/28/2016 12:57:49,
16R4300:0012604,e03259,avi,07/28/2016 11:53:05,
16R4300:0012606,e03269,avi,07/28/2016 12:57:49,
16R4518:0012703,e03267,avi,07/28/2016 12:57:49,
16R4519:0012802,e03226,avi,07/28/2016 11:08:58,
16R4519:0012801,e03235,avi,07/28/2016 11:08:58,
16R4520:0012909,e03241,avi,07/28/2016 11:53:05,
16R4520:0012908,e03254,avi,07/28/2016 11:53:05,
16R4520:0012911,e03257,avi,07/28/2016 11:53:05,
16R4523:0013207,e03250,avi,07/28/2016 11:53:05,
16R4526:0013504,E03229,avi,07/28/2016 11:08:58,
16R4526:0013502,e03255,avi,07/28/2016 11:53:05,
16R4526:0013508,e03242,avi,07/28/2016 11:53:05,
16R4528:0013706,e03233,avi,07/28/2016 11:08:58,
16R4528:0013704,E03252,avi,07/28/2016 11:53:05,
16R4531:0014005,e03228,avi,07/28/2016 11:08:58,
16R4531:0014001,e03230,avi,07/28/2016 11:08:58,
16R4532:0014106,e03227,avi,07/28/2016 11:08:58,
16R4532:0014102,e03231,avi,07/28/2016 11:08:58,
16R4532:0014103,e03234,avi,07/28/2016 11:08:58,
16R4534:0014307,e03232,avi,07/28/2016 11:08:58,
16R4537:0014607,e03261,avi,07/28/2016 11:53:05,
16R4537:0014608,e03262,avi,07/28/2016 11:53:05,
16R4537:0014611,e03268,avi,07/28/2016 12:57:49,
16R6870:0014701,e03225,avi,07/28/2016 11:08:58,
16R6870:0014708,e03260,avi,07/28/2016 11:53:05,
16R6880:0014802,e03236,avi,07/28/2016 11:08:58,
16R6880:0014804,e03237,avi,07/28/2016 11:08:58,
16R6880:0014806,e03243,avi,07/28/2016 11:53:05,
16R6890:0014911,e03246,avi,07/28/2016 11:53:05,
16R6890:0014913,e03247,avi,07/28/2016 11:53:05,
16R6910:0015110,e03238,avi,07/28/2016 11:08:58,
16R6910:0015106,e03244,avi,07/28/2016 11:53:05,
16R6910:0015109,e03245,avi,07/28/2016 11:53:05,
16R6930:0015303,e03288,avi,07/28/2016 16:16:13,
16R6930:0015304,e03275,avi,07/28/2016 12:57:49,
16R6930:0015309,e03276,avi,07/28/2016 12:57:49,
16R6950:0015505,e03282,avi,07/28/2016 12:57:49,
16R6950:0015507,e03279,avi,07/28/2016 12:57:49,
16R6950:0015510,e03287,avi,07/28/2016 16:16:13,
16R6960:0015601,e03281,avi,07/28/2016 12:57:49,
16R6960:0015603,e03277,avi,07/28/2016 12:57:49,
16R6960:0015604,e03278,avi,07/28/2016 12:57:49,
16R6970:0015708,e03289,avi,07/28/2016 16:16:13,
16R6970:0015710,e03280,avi,07/28/2016 12:57:49,
16R6970:0015711,e03286,avi,07/28/2016 12:57:49,
16R6980:0015801,e03296,avi,07/28/2016 16:16:13,
16R6980:0015802,e03294,avi,07/28/2016 16:16:13,
16R6980:0015803,e03284,avi,07/28/2016 12:57:49,
16R6980:0015804,e03274,avi,07/28/2016 12:57:49,
16R6980:0015808,e03285,avi,07/28/2016 12:57:49,
16R7000:0016002,e03291,avi,07/28/2016 16:16:13,
16R7000:0016004,e03283,avi,07/28/2016 12:57:49,
16R7000:0016006,e03292,avi,07/28/2016 16:16:13,
16R7010:0016101,e03295,avi,07/28/2016 16:16:13,
16R7020:0016201,e03293,avi,07/28/2016 16:16:13,
16R7020:0016203,e03290,avi,07/28/2016 16:16:13,
16R6890:0014908,E03248,avi,07/28/2016 11:53:05,
16R4531:0014008,E03249,avi,07/28/2016 11:53:05,
16R4297:0012303,E03263,avi,07/28/2016 12:57:49,
16R4297:0012301,E03264,avi,07/28/2016 12:57:49,
16R4519:0012806,E03265,avi,07/28/2016 12:57:49,
