plantID,wild_type,lesion,cross,photograph,sample,stature,tassel,ear,other_phes,observer,datetime,mutanta
16R4460:0003601,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4460:0003602,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4460:0003603,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4460:0003604,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4460:0003606,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4460:0003605,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4460:0003607,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4460:0003608,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4460:0003610,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4460:0003609,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4460:0003612,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4460:0003611,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4460:0003613,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4461:0003701,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4461:0003702,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4461:0003703,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4461:0003704,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4461:0003706,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4461:0003705,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4461:0003707,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4461:0003708,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4461:0003709,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4461:0003710,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4461:0003715,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4461:0003711,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4461:0003713,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4461:0003712,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4461:0003714,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4463:0003913,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4463:0003912,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4463:0003911,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4463:0003910,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4463:0003909,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4463:0003908,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4463:0003907,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4463:0003906,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4463:0003905,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4463:0003904,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4463:0003903,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4463:0003902,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4463:0003901,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4462:0003811,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4462:0003810,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4462:0003809,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4462:0003808,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4462:0003807,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4462:0003806,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4462:0003812,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4462:0003805,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4462:0003804,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4462:0003803,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4462:0003802,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4462:0003801,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
