plantID,image no,abs_leaf_num,e0,section,camera,conditions,observer,datetime,image
16R4535:0014412,263,unk,t-1,middle,gimmel,"ex situ ambient reflected, field",avi,07/30/2016 14:27:35,
16R4473:0004903,264,unk,e3,middle,gimmel,"ex situ ambient reflected, field",avi,07/30/2016 14:27:35,
16R4477:0005309,265,unk,e3,stem,gimmel,"ex situ ambient reflected, field",avi,07/30/2016 14:27:35,
16R4477:0005309:0005311,266,unk,e4,middle,gimmel,"ex situ ambient reflected, field",avi,07/30/2016 14:27:35,
16R4498:0009503,267,unk,e-2,middle,gimmel,"ex situ ambient reflected, field",avi,07/30/2016 14:27:35,
16R4477:0005309:0005305,268,unk,e3,middle,gimmel,"ex situ ambient reflected, field",avi,07/30/2016 14:27:35,
16R4478:0005404,269,unk,t-11,tip,gimmel,"ex situ ambient reflected, field",avi,07/30/2016 14:27:35,
16R4535:0014412:0014404,270,unk,t-1,whole,gimmel,"ex situ ambient reflected, field",avi,07/30/2016 14:27:35,
16R4515:0011901,271,unk,e-1,middle,gimmel,"ex situ ambient reflected, field",avi,07/30/2016 14:27:35,
16R6940:0015404,272,unk,e-2,middle,gimmel,"ex situ ambient reflected, field",avi,07/30/2016 14:27:35,
16R4498:0009503:0009508,273,unk,e-1,middle,gimmel,"ex situ ambient reflected, field",avi,07/30/2016 15:30:44,
16R4499:0009605,274,unk,e0,middle,gimmel,"ex situ ambient reflected, field",avi,07/30/2016 15:30:44,
16R4491:0008006,275,unk,e0,middle,gimmel,"ex situ ambient reflected, field",avi,07/30/2016 15:30:44,
16R4499:0009605:0009607,276,unk,e0,middle,gimmel,"ex situ ambient reflected, field",avi,07/30/2016 15:30:44,
16R4496:0009201,277,unk,e-2,middle,gimmel,"ex situ ambient reflected, field",avi,07/30/2016 15:30:44,
16R4468:0004411,278,unk,e2,tip,gimmel,"ex situ ambient reflected, field",avi,07/30/2016 15:30:44,
16R4483:0005906,279,unk,e-4,middle,gimmel,"ex situ ambient reflected, field",avi,07/30/2016 15:30:44,
16R6980:0015801:0015811,280,unk,e-1,stem,gimmel,"ex situ ambient reflected, field",avi,07/30/2016 15:30:44,
16R4468:0004411:0004410,281,unk,e2,middle,gimmel,"ex situ ambient reflected, field",avi,07/30/2016 15:30:44,
16R4498:0009503:0009505,282,unk,e-1,middle,gimmel,"ex situ ambient reflected, field",avi,07/30/2016 15:30:44,
16R4279:0010511,283,unk,e2,middle,gimmel,"ex situ ambient reflected, field",avi,07/30/2016 15:30:44,
16R6940:0015404:0015406,284,unk,e-2,tip,gimmel,"ex situ ambient reflected, field",avi,07/30/2016 15:30:44,
16R4515:0011901:0011904,285,unk,e-1,middle,gimmel,"ex situ ambient reflected, field",avi,07/30/2016 15:30:44,
16R4535:0014412:0014401,286,unk,t-1,whole,gimmel,"ex situ ambient reflected, field",avi,07/30/2016 15:30:44,
16R4228:0006811,287,unk,e0,middle,gimmel,"ex situ ambient reflected, field",avi,07/30/2016 15:30:44,
9614,288,unk,e-1,middle,gimmel,"ex situ ambient reflected, field",avi,07/30/2016 15:30:44,
