plantID,wild_type,lesion,cross,photograph,sample,stature,tassel,ear,other_phes,datetime,observer,mutanta
16R4445:0009801,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4445:0009802,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4445:0009803,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4445:0009804,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4445:0009805,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4445:0009806,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4445:0009807,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4445:0009808,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4445:0009809,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4393:0009901,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4393:0009902,0,1,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4393:0009903,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4393:0009904,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4393:0009905,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4393:0009906,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4393:0009907,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4393:0009908,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4393:0009912,0,1,0,1,1,,,,,07/17/2016 12:00:00,toni,
16R4393:0009913,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4393:0009914,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4393:0009915,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4393:0009916,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4393:0009917,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4393:0009918,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4356:0010001,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4356:0010003,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4356:0010006,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4356:0010007,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4356:0010009,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4356:0010010,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3192:0010101,0,1,0,1,1,,,,,07/17/2016 12:00:00,toni,
16R3192:0010102,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3192:0010103,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3192:0010104,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3192:0010105,0,1,0,1,1,,,,,07/17/2016 12:00:00,toni,
16R3192:0010106,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3192:0010107,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3192:0010109,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3192:0010110,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3192:0010111,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3192:0010112,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3192:0010113,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3192:0010114,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4503:0010201,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4503:0010202,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4503:0010203,0,1,0,1,1,,,,,07/17/2016 12:00:00,toni,
16R4503:0010204,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4503:0010205,0,1,0,1,1,,,,,07/17/2016 12:00:00,toni,
16R4503:0010206,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4503:0010207,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4503:0010208,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4503:0010209,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4503:0010210,0,1,0,1,1,,,,,07/17/2016 12:00:00,toni,
16R4503:0010211,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4503:0010212,0,1,0,1,1,,,,,07/17/2016 12:00:00,toni,
16R3974:0010301,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3974:0010302,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3974:0010303,0,1,0,1,1,,,,,07/17/2016 12:00:00,toni,
16R3974:0010304,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3974:0010305,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3974:0010306,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3974:0010307,0,1,0,1,1,,,,,07/17/2016 12:00:00,toni,
16R3974:0010308,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3974:0010309,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3974:0010310,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3974:0010311,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3974:0010312,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3974:0010313,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3974:0010314,0,1,0,1,1,,,,,07/17/2016 12:00:00,toni,
16R3607:0010401,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3607:0010402,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R3607:0010403,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R3607:0010404,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3607:0010405,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3607:0010406,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3607:0010408,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R3607:0010410,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3607:0010411,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R3607:0010412,0,1,0,1,1,,,,,07/17/2016 12:00:00,toni,
16R4279:0010501,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4279:0010502,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4279:0010503,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4279:0010504,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4279:0010505,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4279:0010506,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4279:0010507,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4279:0010508,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4279:0010509,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4279:0010510,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4279:0010511,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4390:0010601,0,1,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4390:0010602,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4390:0010603,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4390:0010604,0,1,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4390:0010605,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4390:0010606,0,1,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4390:0010607,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4390:0010608,0,1,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4390:0010609,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4390:0010610,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4390:0010611,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4391:0010701,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4391:0010702,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4391:0010703,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4391:0010704,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4391:0010705,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4391:0010706,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4391:0010707,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4391:0010708,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4391:0010709,0,1,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4391:0010710,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4391:0010711,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4391:0010712,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4392:0010801,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4392:0010802,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4392:0010803,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4392:0010804,0,1,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4392:0010805,0,1,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4392:0010806,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4392:0010807,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4507:0010902,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4507:0010904,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4507:0010907,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4507:0010909,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
