plantID,datetime,tassel_bagged,ear1_cut,observer,popped_tassel,cut_tassel,ear2_cut,cross_prep
17R4085:0007106,08/01/2017 15:42:14,1,0,toni,0,0,0,
17R4577:0009308,08/01/2017 15:37:23,1,0,toni,0,0,0,
17R2252:0011014,08/01/2017 15:34:41,1,0,toni,0,0,0,
17R2252:0011020,08/01/2017 15:10:43,1,0,toni,0,0,0,
17R4419:0011112,08/01/2017 15:09:05,1,0,toni,0,0,0,
17R4419:0011113,08/01/2017 15:07:39,1,0,toni,0,0,0,
17R4548:0011508,08/01/2017 15:06:26,1,0,toni,0,0,0,
17R4548:0011515,08/01/2017 15:05:16,1,0,toni,0,0,0,
17R4550:0012019,08/01/2017 15:03:13,1,0,toni,0,0,0,
17R4636:0014607,08/01/2017 15:26:10,1,0,toni,0,0,0,
17R4540:0017604,08/01/2017 15:00:02,1,0,toni,0,0,0,
17R4011:0018010,08/01/2017 15:22:20,1,0,toni,0,0,0,
17R4533:0019703,08/01/2017 15:20:11,1,0,toni,0,0,0,
17R4579:0019811,08/01/2017 09:47:33,1,1,toni,0,0,0,
17R4580:0019907,08/01/2017 09:53:25,1,1,toni,0,0,0,
17R4580:0019910,08/01/2017 09:53:25,1,1,toni,0,0,0,
17R4595:0020011,08/01/2017 09:53:29,1,1,toni,0,0,0,
17R4604:0020906,08/01/2017 09:57:05,1,1,toni,0,0,0,
17R4604:0020907,08/01/2017 09:57:05,1,1,toni,0,0,0,
17R4604:0020914,08/01/2017 09:57:05,1,1,toni,0,0,0,
17R4608:0021301,08/01/2017 10:05:07,1,1,toni,0,0,0,
17R4608:0021303,08/01/2017 10:05:07,1,1,toni,0,0,0,
17R4608:0021308,08/01/2017 10:05:07,1,1,toni,0,0,0,
17R4608:0021309,08/01/2017 10:05:07,1,1,toni,0,0,0,
17R4585:0021905,08/01/2017 10:13:55,1,1,toni,0,0,0,
17R4585:0021907,08/01/2017 10:13:55,1,1,toni,0,0,0,
17R4585:0021913,08/01/2017 10:13:55,1,1,toni,0,0,0,
17R4586:0022007,08/01/2017 10:17:40,1,1,toni,0,0,0,
17R4586:0022008,08/01/2017 10:17:40,1,1,toni,0,0,0,
17R4586:0022010,08/01/2017 10:17:40,1,1,toni,0,0,0,
17R4587:0022111,08/01/2017 10:34:07,1,1,toni,0,0,0,
17R4587:0022112,08/01/2017 10:34:07,1,1,toni,0,0,0,
17R4587:0022113,08/01/2017 10:34:07,1,1,toni,0,0,0,
17R4588:0022201,08/01/2017 10:29:05,1,1,toni,0,0,0,
17R4588:0022204,08/01/2017 10:29:05,1,1,toni,0,0,0,
17R4588:0022212,08/01/2017 10:29:05,1,1,toni,0,0,0,
17R4589:0022302,08/01/2017 10:40:31,1,1,toni,0,0,0,
17R4589:0022303,08/01/2017 10:40:31,1,1,toni,0,0,0,
17R4589:0022304,08/01/2017 10:40:31,1,1,toni,0,0,0,
17R4590:0022403,08/01/2017 10:45:09,1,1,toni,0,0,0,
17R4590:0022404,08/01/2017 10:45:09,1,1,toni,0,0,0,
17R4590:0022405,08/01/2017 10:45:09,1,1,toni,0,0,0,
17R4591:0022506,08/01/2017 10:54:27,1,1,toni,0,0,0,
17R4591:0022509,08/01/2017 10:54:27,1,1,toni,0,0,0,
17R4591:0022511,08/01/2017 10:54:27,1,1,toni,0,0,0,
17R4592:0022609,08/01/2017 10:49:55,1,1,toni,0,0,0,
17R4592:0022611,08/01/2017 10:49:55,1,1,toni,0,0,0,
17R4592:0022613,08/01/2017 10:49:55,1,1,toni,0,0,0,
17R4615:0022701,08/01/2017 10:59:33,1,1,toni,0,0,0,
17R4615:0022706,08/01/2017 10:59:33,1,1,toni,0,0,0,
17R4615:0022708,08/01/2017 10:59:33,1,1,toni,0,0,0,
17R4593:0022802,08/01/2017 11:04:09,1,1,toni,0,0,0,
17R4593:0022803,08/01/2017 11:04:09,1,1,toni,0,0,0,
17R4593:0022807,08/01/2017 11:30:00,1,1,toni,0,0,0,
17R4594:0022902,08/01/2017 14:16:42,1,1,toni,0,0,0,
17R4594:0022903,08/01/2017 14:16:42,1,1,toni,0,0,0,
17R4594:0022909,08/01/2017 14:16:42,1,1,toni,0,0,0,
17R4610:0023002,08/01/2017 14:22:40,1,1,toni,0,0,0,
17R4610:0023003,08/01/2017 14:22:40,1,1,toni,0,0,0,
17R4610:0023006,08/01/2017 14:22:40,1,1,toni,0,0,0,
17R4611:0023402,08/01/2017 14:31:40,1,1,toni,0,0,0,
17R4611:0023403,08/01/2017 14:31:40,1,1,toni,0,0,0,
17R4611:0023405,08/01/2017 14:31:40,1,1,toni,0,0,0,
17R4612:0023502,08/01/2017 14:37:51,1,1,toni,0,0,0,
17R4612:0023509,08/01/2017 14:37:51,1,1,toni,0,0,0,
17R4612:0023513,08/01/2017 14:37:51,1,1,toni,0,0,0,
17R4613:0023603,08/01/2017 14:43:03,1,1,toni,0,0,0,
17R4613:0023606,08/01/2017 14:43:03,1,1,toni,0,0,0,
17R4613:0023611,08/01/2017 14:43:03,1,1,toni,0,0,0,
17R4614:0023802,08/01/2017 14:49:11,1,1,toni,0,0,0,
17R4614:0023807,08/01/2017 14:49:11,1,1,toni,0,0,0,
17R4614:0023815,08/01/2017 14:49:11,1,1,toni,0,0,0,
