packetID,ma plantID,pa plantID,num_cl,datetime,observer,packed_packet
p00073,09R201:S0040305,09R1416:0025907,40,05/23/2017 14:51:44,toni,
p00072,09R201:S0056209,09R1416:0025907,40,05/23/2017 14:54:04,toni,
p00080,09R401:M0040909,09R1416:0025906,40,05/23/2017 14:50:11,toni,
p00074,10R205:S0002302,10R2252:0031702,40,05/23/2017 15:04:19,toni,
p00132,10R305:W0001502,10R1035:0021906,15,05/23/2017 15:07:22,toni,
p00133,10R305:W0001511,10R1035:0021903,15,05/23/2017 15:10:27,toni,
p00081,10R405:M0000715,10R2254:0032002,40,05/23/2017 15:12:17,toni,
p00082,10R405:M0001010,10R2254:0032002,40,05/23/2017 15:14:43,toni,
p00083,10R405:M0006607,10R2254:0032003,40,05/23/2017 15:26:16,toni,
p00084,10R405:M0006610,10R2254:0032010,40,05/23/2017 15:30:07,toni,
p00134,11N305:W0039501,11N3192:0013810,15,05/23/2017 15:32:15,toni,
p00036,11N405:M0032808,11N3419:0010704,20,05/23/2017 15:34:14,toni,
p00037,11N405:M0032808,11N3419:0010704,20,05/23/2017 15:35:42,toni,
p00032,12N205:S0036705,12N3948:0017506,20,05/23/2017 16:05:42,toni,
p00033,12N205:S0036705,12N3948:0017506,20,05/23/2017 16:05:52,toni,
p00034,12N305:W0038301,12N3916:0010408,20,05/23/2017 16:09:05,toni,
p00035,12N305:W0038301,12N3916:0010408,20,05/23/2017 16:09:10,toni,
p00050,12N305:W0039207,12N3614:0024110,20,05/23/2017 16:12:16,toni,
p00051,12N305:W0039207,12N3614:0024110,20,05/23/2017 16:11:58,toni,
p00142,12R205:S0002217,12R3454:0028708,20,05/23/2017 15:42:15,toni,
p00075,12R205:S0008815,12R3270:0014314,40,05/23/2017 15:43:57,toni,
p00076,12R205:S0009109,12R3270:0014314,40,05/23/2017 15:45:42,toni,
p00030,12R405:M0000310,12R3587:0023110,20,05/23/2017 15:47:58,toni,
p00031,12R405:M0000310,12R3587:0023110,20,05/23/2017 15:48:17,toni,
p00085,12R405:M0009302,12R3486:0014708,40,05/23/2017 15:51:03,toni,
p00086,12R405:M0011707,12R3486:0014708,40,05/23/2017 15:54:40,toni,
p00024,13R205:S0002205,13R4082:0005502,20,05/23/2017 16:15:20,toni,
p00025,13R205:S0002205,13R4082:0005502,20,05/23/2017 16:15:29,toni,
p00026,13R305:W0000702,13R4083:0005603,20,05/23/2017 16:18:49,toni,
p00027,13R305:W0000702,13R4083:0005603,20,05/23/2017 16:18:59,toni,
p00129,13R405:M0002605,13R4148:0019101,30,05/23/2017 16:21:42,toni,
p00048,14R205:S0000105,14R4284:0021512,20,05/23/2017 16:30:46,toni,
p00049,14R205:S0000105,14R4284:0021512,20,05/23/2017 16:30:54,toni,
p00028,14R205:S0000215,14R4229:0009701,20,05/23/2017 16:33:34,toni,
p00029,14R205:S0000215,14R4229:0009701,20,05/23/2017 16:33:47,toni,
p00122,14R205:S0002812,14R4236:0017206,15,05/23/2017 16:36:25,toni,
p00077,14R305:W0000703,14R4137:0004215,40,05/23/2017 16:37:58,toni,
p00126,14R305:W0000704,14R4220:0006819,15,05/23/2017 16:39:47,toni,
p00079,14R305:W0000705,14R4137:0004215,40,05/23/2017 16:41:15,toni,
p00078,14R305:W0000716,14R4137:0004215,40,05/23/2017 16:43:31,toni,
p00039,14R305:W0000803,14R3958:0010412,20,05/23/2017 16:46:34,toni,
p00052,14R405:M0001103,14R4285:0021603,20,05/23/2017 16:48:58,toni,
p00053,14R405:M0001103,14R4285:0021603,20,05/23/2017 16:49:08,toni,
