rowID,num_emerged,num_wild_type,num mutant,ave_leaf_num,healthy,datetime,other phe,observer,row_status
R00001,71,71,0,10,71,06/28/2017 0:00:00,0,toni,
R00002,78,78,0,10,78,06/28/2017 0:00:00,0,toni,
R00003,76,76,0,9,76,06/28/2017 0:00:00,0,toni,
R00004,77,77,0,9,77,06/28/2017 0:00:00,0,toni,
R00005,80,80,0,9,80,06/28/2017 0:00:00,0,toni,
R00006,72,72,0,11,72,06/28/2017 0:00:00,0,toni,
R00007,68,68,0,10,68,06/28/2017 0:00:00,0,toni,
R00008,67,67,0,10,67,06/28/2017 0:00:00,0,toni,
R00009,60,60,0,10,60,06/28/2017 0:00:00,0,toni,
R00010,72,72,0,11,72,06/28/2017 0:00:00,0,toni,
R00011,17,17,0,10,17,06/28/2017 0:00:00,0,toni,
R00012,20,20,0,11,20,06/28/2017 0:00:00,0,toni,
R00013,18,18,0,11,18,06/28/2017 0:00:00,0,toni,
R00014,18,18,0,12,18,06/28/2017 0:00:00,0,toni,
R00015,18,18,0,11,18,06/28/2017 0:00:00,0,toni,
R00016,26,26,0,8,26,06/28/2017 0:00:00,0,toni,
R00017,20,20,0,8,20,06/28/2017 0:00:00,0,toni,
R00018,20,20,0,9,20,06/28/2017 0:00:00,0,toni,
R00019,20,20,0,9,20,06/28/2017 0:00:00,0,toni,
R00020,17,17,0,9,17,06/28/2017 0:00:00,0,toni,
R00021,14,14,0,8,14,06/28/2017 0:00:00,0,toni,
R00022,16,16,0,8,16,06/28/2017 0:00:00,0,toni,
R00023,15,15,0,9,15,06/28/2017 0:00:00,0,toni,
R00024,15,15,0,9,15,06/28/2017 0:00:00,0,toni,
R00025,13,13,0,8,13,06/28/2017 0:00:00,0,toni,
R00026,12,12,0,7,12,06/28/2017 0:00:00,0,toni,
R00027,16,16,0,8,16,06/28/2017 0:00:00,0,toni,
R00028,18,18,0,10,18,06/28/2017 0:00:00,0,toni,
R00029,20,20,0,10,20,06/28/2017 0:00:00,0,toni,
R00030,19,19,0,10,19,06/28/2017 0:00:00,0,toni,
R00031,13,13,0,10,13,06/28/2017 0:00:00,0,toni,
R00032,18,18,0,10,18,06/28/2017 0:00:00,0,toni,
R00033,18,18,0,9,18,06/28/2017 0:00:00,0,toni,
R00034,19,19,0,7,19,06/28/2017 0:00:00,0,toni,
R00035,19,19,0,7,19,06/28/2017 0:00:00,0,toni,
R00036,17,17,0,9,17,06/28/2017 0:00:00,0,toni,
R00037,19,19,0,9,19,06/28/2017 0:00:00,0,toni,
R00038,19,19,0,7,19,06/28/2017 0:00:00,0,toni,
R00039,20,20,0,9,20,06/28/2017 0:00:00,0,toni,
R00040,17,17,0,8,17,06/28/2017 0:00:00,0,toni,
R00041,15,15,0,7,15,06/28/2017 0:00:00,0,toni,
R00042,17,17,0,7,17,06/28/2017 0:00:00,0,toni,
R00043,12,12,0,5,12,06/28/2017 0:00:00,0,toni,
R00044,17,17,0,7,17,06/28/2017 0:00:00,0,toni,
R00045,16,16,0,7,10,06/28/2017 0:00:00,0,toni,
R00046,15,15,0,7,14,06/28/2017 0:00:00,0,toni,
R00047,14,14,0,6,14,06/28/2017 0:00:00,0,toni,
R00048,14,14,0,6,14,06/28/2017 0:00:00,0,toni,
R00049,15,15,0,7,15,06/28/2017 0:00:00,0,toni,
R00050,17,17,0,7,17,06/28/2017 0:00:00,0,toni,
R00051,19,19,0,7,19,06/28/2017 0:00:00,0,toni,
R00052,14,14,0,2,14,06/28/2017 0:00:00,0,toni,
R00053,11,11,0,2,11,06/28/2017 0:00:00,0,toni,
R00054,18,18,0,2,18,06/28/2017 0:00:00,0,toni,
R00055,18,18,0,2,18,06/28/2017 0:00:00,0,toni,
R00056,16,16,0,2,16,06/28/2017 0:00:00,0,toni,
R00057,12,12,0,2,12,06/28/2017 0:00:00,0,toni,
R00058,6,6,0,6,6,06/28/2017 0:00:00,0,toni,
R00059,9,7,2,7,9,06/28/2017 0:00:00,0,toni,
R00060,17,10,7,7,17,06/28/2017 0:00:00,0,toni,
R00061,13,5,8,7,13,06/28/2017 0:00:00,0,toni,
R00062,20,20,0,9,20,06/28/2017 0:00:00,0,toni,
R00063,20,19,1,9,20,06/28/2017 0:00:00,0,toni,
R00064,20,20,0,9,20,06/28/2017 0:00:00,0,toni,
R00065,20,20,0,5,20,06/28/2017 0:00:00,0,toni,
R00066,20,20,0,9,20,06/28/2017 0:00:00,0,toni,
R00067,19,19,0,8,19,06/28/2017 0:00:00,0,toni,
R00068,13,9,4,8,13,06/28/2017 0:00:00,0,toni,
R00069,14,12,2,5,14,06/28/2017 0:00:00,0,toni,
R00070,20,20,0,11,20,06/28/2017 0:00:00,0,toni,
R00071,18,18,0,7,18,06/28/2017 0:00:00,0,toni,
R00072,19,10,9,10,19,06/28/2017 0:00:00,0,toni,
R00073,19,8,11,7,19,06/28/2017 0:00:00,0,toni,
R00074,20,20,0,10,20,06/28/2017 0:00:00,0,toni,
R00075,20,20,0,7,20,06/28/2017 0:00:00,0,toni,
R00076,20,20,0,9,20,06/28/2017 0:00:00,0,toni,
R00077,20,19,1,7,20,06/28/2017 0:00:00,0,toni,
R00078,18,15,0,8,18,06/28/2017 0:00:00, 3,toni,
R00079,11,9,2,7,11,06/28/2017 0:00:00,0,toni,
R00080,18,12,6,8,18,06/28/2017 0:00:00,0,toni,
R00081,17,13,4,7,17,06/28/2017 0:00:00,0,toni,
R00082,20,20,0,9,20,06/28/2017 0:00:00,0,toni,
R00083,19,18,1,8,19,06/28/2017 0:00:00,0,toni,
R00084,10,6,4,7,8,06/28/2017 0:00:00,0,toni,
R00085,16,9,7,7,16,06/28/2017 0:00:00,0,toni,
R00086,18,16,0,9,18,06/28/2017 0:00:00, 2,toni,
R00087,20,19,0,7,20,06/28/2017 0:00:00,1,toni,
R00088,18,18,0,8,18,06/28/2017 0:00:00,0,toni,
R00089,18,18,0,8,18,06/28/2017 0:00:00,0,toni,
R00090,11,6,5,7,11,06/28/2017 0:00:00,0,toni,
R00091,15,9,6,6,13,06/28/2017 0:00:00,0,toni,
R00092,16,16,0,12,16,06/28/2017 0:00:00,0,toni,
R00093,19,19,0,10,19,06/28/2017 0:00:00,0,toni,
R00094,15,8,7,8,15,06/28/2017 0:00:00,0,toni,
R00095,15,9,4,6,15,06/28/2017 0:00:00, 2,toni,
R00096,16,9,6,8,16,06/28/2017 0:00:00, 1,toni,
R00097,13,6,7,6,12,06/28/2017 0:00:00,0,toni,
R00098,12,4,3,9,12,06/28/2017 0:00:00, 3,toni,
R00099,13,13,0,8,13,06/28/2017 0:00:00,0,toni,
R00100,9,6,3,7,9,06/28/2017 0:00:00,0,toni,
R00101,13,11,2,7,13,06/28/2017 0:00:00,0,toni,
R00102,10,4,5,8,9,06/28/2017 0:00:00,1,toni,
R00103,15,8,6,7,15,06/28/2017 0:00:00,1,toni,
