plantID,datetime,tassel_bagged,ear1_cut,observer,popped_tassel,cut_tassel,ear2_cut,cross_prep
17R4561:0006004,07/29/2017 15:49:15,1,0,toni,0,0,0,
17R4491:0007610,07/29/2017 16:15:52,1,0,toni,0,0,0,
17R4453:0008402,07/29/2017 16:22:41,1,0,toni,0,0,0,
17R4494:0008601,07/29/2017 16:24:52,1,0,toni,0,0,0,
17R4092:0008802,07/29/2017 16:31:34,1,0,toni,0,0,0,
17R4452:0009007,07/29/2017 16:31:29,1,0,toni,0,0,0,
17R4577:0009210,07/29/2017 16:32:54,1,0,toni,0,0,0,
17R4555:0009810,07/29/2017 16:35:43,1,0,toni,0,0,0,
17R4554:0010009,07/29/2017 16:37:40,1,0,toni,0,0,0,
17R4534:0010403,07/29/2017 16:39:37,1,0,toni,0,0,0,
17R4538:0010801,07/29/2017 16:45:34,1,0,toni,0,0,0,
17R4538:0010807,07/29/2017 16:43:35,1,0,toni,0,0,0,
17R4626:0015706,07/29/2017 16:57:40,1,0,toni,0,0,0,
17R4625:0015804,07/29/2017 17:39:11,1,0,toni,0,0,0,
17R4625:0015809,07/29/2017 17:39:56,1,0,toni,0,0,0,
17R4474:0016104,07/29/2017 17:35:47,1,0,toni,0,0,0,
17R4474:0016106,07/29/2017 17:36:55,1,0,toni,0,0,0,
17R4477:0016203,07/29/2017 17:33:22,1,0,toni,0,0,0,
17R4477:0016204,07/29/2017 17:32:23,1,0,toni,0,0,0,
17R4538:0016302,07/29/2017 16:59:38,1,0,toni,0,0,0,
17R4538:0016306,07/29/2017 17:00:44,1,0,toni,0,0,0,
17R4538:0016311,07/29/2017 17:01:36,1,0,toni,0,0,0,
17R4497:0016409,07/29/2017 17:03:47,1,0,toni,0,0,0,
17R4557:0016502,07/29/2017 17:02:50,1,0,toni,0,0,0,
17R4558:0016602,07/29/2017 17:27:29,1,0,toni,0,0,0,
17R4578:0017401,07/29/2017 17:04:55,1,0,toni,0,0,0,
17R4578:0017406,07/29/2017 17:25:01,1,0,toni,0,0,0,
17R4539:0017501,07/29/2017 17:07:10,1,0,toni,0,0,0,
17R4540:0017604,07/29/2017 17:06:12,1,0,toni,0,0,0,
17R4509:0017712,07/29/2017 17:23:03,1,0,toni,0,0,0,
17R4543:0017901,07/29/2017 17:08:08,1,0,toni,0,0,0,
17R4543:0017909,07/29/2017 17:20:14,1,0,toni,0,0,0,
17R4543:0017914,07/29/2017 17:19:29,1,0,toni,0,0,0,
17R4011:0018002,07/29/2017 17:17:42,1,0,toni,0,0,0,
17R4545:0018105,07/29/2017 17:17:46,1,0,toni,0,0,0,
17R4546:0018201,07/29/2017 17:08:58,1,0,toni,0,0,0,
17R4546:0018205,07/29/2017 17:15:06,1,0,toni,0,0,0,
17R4568:0018611,07/29/2017 17:10:51,1,0,toni,0,0,0,
17R4561:0006001,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4561:0006002,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4561:0006005,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4561:0006007,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4561:0006014,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4491:0007603,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4491:0007603,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4491:0007607,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4491:0007608,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4491:0007619,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4573:0007711,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4453:0008402,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4494:0008604,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4494:0008610,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4494:0008612,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4494:0008615,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4577:0009211,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4577:0009212,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4577:0009213,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4555:0009808,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4555:0009809,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4554:0010003,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4554:0010004,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4554:0010005,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4534:0010401,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4534:0010407,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4534:0010409,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4534:0010410,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4534:0010413,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4538:0010804,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4538:0010811,07/29/2017 18:00:00,0,1,toni,0,0,0,
17R4538:0010813,07/29/2017 18:00:00,0,1,toni,0,0,0,
