packetID,rowID,datetime,ft,observer,planted
p00001,r00011,05/30/2017 14:48:04,20,toni,
p00001,r00012,05/30/2017 14:50:17,20,toni,
p00001,r00013,05/30/2017 14:53:19,20,toni,
p00001,r00014,05/30/2017 14:55:31,20,toni,
p00001,r00015,05/30/2017 14:58:13,20,toni,
p00002,r00016,05/30/2017 15:00:47,20,toni,
p00020,r00058,05/30/2017 15:03:30,20,toni,
p00022,r00060,05/30/2017 15:05:26,20,toni,
p00024,r00062,05/30/2017 15:07:24,20,toni,
p00026,r00064,05/30/2017 15:09:29,20,toni,
p00028,r00066,05/30/2017 15:11:34,20,toni,
p00030,r00068,05/30/2017 15:13:44,20,toni,
p00032,r00070,05/30/2017 15:15:50,20,toni,
p00034,r00072,05/30/2017 15:17:51,20,toni,
p00036,r00074,05/30/2017 15:19:53,20,toni,
p00038,r00076,05/30/2017 15:22:09,20,toni,
p00040,r00078,05/30/2017 15:24:13,20,toni,
p00042,r00080,05/30/2017 15:26:48,20,toni,
p00044,r00082,05/30/2017 15:28:54,20,toni,
p00046,r00084,05/30/2017 15:30:54,20,toni,
p00048,r00086,05/30/2017 15:33:19,20,toni,
p00050,r00088,05/30/2017 15:35:34,20,toni,
p00052,r00090,05/30/2017 15:37:47,20,toni,
p00054,r00092,05/30/2017 15:39:42,20,toni,
p00056,r00094,05/30/2017 15:41:48,20,toni,
p00058,r00096,05/30/2017 15:43:54,20,toni,
p00082,r00120,05/30/2017 16:41:07,20,toni,
p00083,r00121,05/30/2017 16:37:46,20,toni,
p00084,r00122,05/30/2017 16:34:24,20,toni,
p00085,r00123,05/30/2017 16:30:13,20,toni,
p00086,r00124,05/30/2017 16:26:42,20,toni,
p00087,r00125,05/30/2017 16:23:23,10,toni,
p00088,r00126,05/30/2017 16:24:59,10,toni,
p00089,r00127,05/30/2017 16:19:10,10,toni,
p00090,r00128,05/30/2017 16:20:46,10,toni,
p00091,r00129,05/30/2017 16:15:54,10,toni,
p00092,r00130,05/30/2017 16:17:28,10,toni,
p00093,r00131,05/30/2017 16:12:07,10,toni,
p00094,r00132,05/30/2017 16:14:08,10,toni,
p00095,r00133,05/30/2017 16:08:26,10,toni,
p00096,r00134,05/30/2017 16:10:25,10,toni,
p00097,r00135,05/30/2017 16:05:23,10,toni,
p00098,r00136,05/30/2017 16:06:44,10,toni,
p00099,r00137,05/30/2017 16:02:25,10,toni,
p00100,r00138,05/30/2017 16:03:46,10,toni,
p00101,r00139,05/30/2017 15:59:31,10,toni,
p00102,r00140,05/30/2017 16:00:46,10,toni,
p00103,r00141,05/30/2017 15:56:17,10,toni,
p00104,r00142,05/30/2017 15:57:43,10,toni,
p00105,r00143,05/30/2017 15:53:06,10,toni,
p00106,r00144,05/30/2017 15:54:39,10,toni,
p00109,r00147,05/30/2017 15:49:31,10,toni,
p00110,r00148,05/30/2017 15:51:16,10,toni,
p00999,r00001,05/30/2017 16:52:01,20,toni,
p00999,r00002,05/30/2017 16:52:01,20,toni,
p00999,r00003,05/30/2017 16:52:01,20,toni,
p00999,r00004,05/30/2017 16:52:01,20,toni,
p00999,r00005,05/30/2017 16:52:01,20,toni,
p00998,r00006,05/30/2017 16:52:01,20,toni,
p00998,r00007,05/30/2017 16:52:01,20,toni,
p00998,r00008,05/30/2017 16:52:01,20,toni,
p00998,r00009,05/30/2017 16:52:01,20,toni,
p00998,r00010,05/30/2017 16:52:01,20,toni,
