plantID,sample num,datetime,observer,tissue_collectn
17R4227:0006204,e03487,08/05/2017 11:57:29,toni,
17R4227:0006310,e03488,08/05/2017 11:58:04,toni,
17R4227:0006317,e03489,08/05/2017 11:59:11,toni,
17R4228:0006415,e03490,08/05/2017 12:00:01,toni,
17R4228:0006405,e03491,08/05/2017 12:00:56,toni,
17R4228:0006413,e03492,08/05/2017 12:01:43,toni,
17R3946:0006913,e03493,08/05/2017 12:02:55,toni,
17R3946:0006801,e03494,08/05/2017 12:04:01,toni,
17R3946:0006804,e03495,08/05/2017 12:05:28,toni,
17R3946:0006807,e03496,08/05/2017 12:07:01,toni,
17R3946:0006810,e03497,08/05/2017 12:09:13,toni,
17R3946:0006904,e03498,08/05/2017 12:10:13,toni,
17R3946:0006911,e03499,08/05/2017 12:12:53,toni,
17R4559:0007203,e03500,08/05/2017 12:14:12,toni,
17R4559:0007207,e03501,08/05/2017 12:15:21,toni,
17R4559:0007209,e03502,08/05/2017 12:16:05,toni,
17R3590:0007403,e03503,08/05/2017 12:16:58,toni,
17R3590:0007412,e03504,08/05/2017 12:18:58,toni,
17R4491:0007610,e03505,08/05/2017 12:20:13,toni,
17R4491:0007611,e03506,08/05/2017 12:20:58,toni,
17R4491:0007617,e03507,08/05/2017 12:22:01,toni,
17R4491:0007618,e03508,08/05/2017 12:22:53,toni,
17R4492:0007803,e03509,08/05/2017 12:24:29,toni,
17R4492:0007811,e03510,08/05/2017 12:25:47,toni,
17R4492:0007816,e03511,08/05/2017 12:27:11,toni,
17R4452:0009007,e03512,08/05/2017 12:28:35,toni,
17R4452:0009006,e03513,08/05/2017 12:31:20,toni,
17R4452:0009005,e03514,08/05/2017 12:32:27,toni,
17R4577:0009210,e03515,08/05/2017 12:33:52,toni,
17R4577:0009308,e03516,08/05/2017 12:35:09,toni,
17R4577:0009303,e03517,08/05/2017 12:36:25,toni,
17R4535:0010609,e03518,08/05/2017 12:37:52,toni,
17R4535:0010610,e03519,08/05/2017 12:38:41,toni,
17R4538:0010801,e03520,08/05/2017 12:39:50,toni,
17R4538:0010807,e03521,08/05/2017 12:41:14,toni,
17R2252:0011002,e03522,08/05/2017 12:42:49,toni,
17R2252:0011012,e03523,08/05/2017 12:43:44,toni,
17R2252:0011014,e03524,08/05/2017 12:45:18,toni,
17R2252:0011020,e03525,08/05/2017 12:46:36,toni,
17R4419:0011112,e03526,08/05/2017 12:48:22,toni,
17R4419:0011113,e03527,08/05/2017 12:49:03,toni,
17R4419:0011128,e03528,08/05/2017 12:50:15,toni,
17R4419:0011132,e03529,08/05/2017 12:51:39,toni,
17R4548:0011505,e03530,08/05/2017 12:53:27,toni,
17R4548:0011508,e03531,08/05/2017 12:54:31,toni,
17R4550:0012019,e03532,08/05/2017 12:58:43,toni,
17R4550:0012024,e03533,08/05/2017 13:00:16,toni,
17R4552:0012209,e03534,08/05/2017 13:01:52,toni,
17R4552:0012206,e03535,08/05/2017 13:02:50,toni,
17R4552:0012208,e03536,08/05/2017 13:04:13,toni,
17R4554:0013608,e03537,08/05/2017 13:06:49,toni,
17R4554:0013609,e03538,08/05/2017 13:08:57,toni,
17R4554:0013611,e03539,08/05/2017 13:09:13,toni,
17R4638:0014702,e03540,08/05/2017 13:13:13,toni,
17R4625:0015804,e03541,08/05/2017 13:15:50,toni,
17R4625:0015808,e03542,08/05/2017 13:17:36,toni,
17R4477:0016203,e03543,08/05/2017 13:19:01,toni,
17R4544:0017802,e03544,08/05/2017 13:20:40,toni,
17R4544:0017812,e03545,08/05/2017 13:21:45,toni,
17R4569:0018706,e03546,08/05/2017 13:23:01,toni,
17R4569:0018709,e03547,08/05/2017 13:23:58,toni,
17R4569:0018712,e03548,08/05/2017 13:24:38,toni,
