plantID,sample num,datetime,observer,tissue_collectn
17R4227:0006204,E03487,08/05/2017 11:57:29,toni,
17R4227:0006310,E03488,08/05/2017 11:58:04,toni,
17R4227:0006317,E03489,08/05/2017 11:59:11,toni,
17R4228:0006415,E03490,08/05/2017 12:00:01,toni,
17R4228:0006405,E03491,08/05/2017 12:00:56,toni,
17R4228:0006413,E03492,08/05/2017 12:01:43,toni,
17R3946:0006913,E03493,08/05/2017 12:02:55,toni,
17R3946:0006801,E03494,08/05/2017 12:04:01,toni,
17R3946:0006804,E03495,08/05/2017 12:05:28,toni,
17R3946:0006807,E03496,08/05/2017 12:07:01,toni,
17R3946:0006810,E03497,08/05/2017 12:09:13,toni,
17R3946:0006904,E03498,08/05/2017 12:10:13,toni,
17R3946:0006911,E03499,08/05/2017 12:12:53,toni,
17R4559:0007203,E03500,08/05/2017 12:14:12,toni,
17R4559:0007207,E03501,08/05/2017 12:15:21,toni,
17R4559:0007209,E03502,08/05/2017 12:16:05,toni,
17R3590:0007403,E03503,08/05/2017 12:16:58,toni,
17R3590:0007412,E03504,08/05/2017 12:18:58,toni,
17R4491:0007610,E03505,08/05/2017 12:20:13,toni,
17R4491:0007611,E03506,08/05/2017 12:20:58,toni,
17R4491:0007617,E03507,08/05/2017 12:22:01,toni,
17R4491:0007618,E03508,08/05/2017 12:22:53,toni,
17R4492:0007803,E03509,08/05/2017 12:24:29,toni,
17R4492:0007811,E03510,08/05/2017 12:25:47,toni,
17R4492:0007816,E03511,08/05/2017 12:27:11,toni,
17R4452:0009007,E03512,08/05/2017 12:28:35,toni,
17R4452:0009006,E03513,08/05/2017 12:31:20,toni,
17R4452:0009005,E03514,08/05/2017 12:32:27,toni,
17R4577:0009210,E03515,08/05/2017 12:33:52,toni,
17R4577:0009308,E03516,08/05/2017 12:35:09,toni,
17R4577:0009303,E03517,08/05/2017 12:36:25,toni,
17R4535:0010609,E03518,08/05/2017 12:37:52,toni,
17R4535:0010610,E03519,08/05/2017 12:38:41,toni,
17R4538:0010801,E03520,08/05/2017 12:39:50,toni,
17R4538:0010807,E03521,08/05/2017 12:41:14,toni,
17R2252:0011002,E03522,08/05/2017 12:42:49,toni,
17R2252:0011012,E03523,08/05/2017 12:43:44,toni,
17R2252:0011014,E03524,08/05/2017 12:45:18,toni,
17R2252:0011020,E03525,08/05/2017 12:46:36,toni,
17R4419:0011112,E03526,08/05/2017 12:48:22,toni,
17R4419:0011113,E03527,08/05/2017 12:49:03,toni,
17R4419:0011128,E03528,08/05/2017 12:50:15,toni,
17R4419:0011132,E03529,08/05/2017 12:51:39,toni,
17R4548:0011505,E03530,08/05/2017 12:53:27,toni,
17R4548:0011508,E03531,08/05/2017 12:54:31,toni,
17R4550:0012019,E03532,08/05/2017 12:58:43,toni,
17R4550:0012024,E03533,08/05/2017 13:00:16,toni,
17R4552:0012209,E03534,08/05/2017 13:01:52,toni,
17R4552:0012206,E03535,08/05/2017 13:02:50,toni,
17R4552:0012208,E03536,08/05/2017 13:04:13,toni,
17R4554:0013608,E03537,08/05/2017 13:06:49,toni,
17R4554:0013609,E03538,08/05/2017 13:08:57,toni,
17R4554:0013611,E03539,08/05/2017 13:09:13,toni,
17R4638:0014702,E03540,08/05/2017 13:13:13,toni,
17R4625:0015804,E03541,08/05/2017 13:15:50,toni,
17R4625:0015808,E03542,08/05/2017 13:17:36,toni,
17R4477:0016203,E03543,08/05/2017 13:19:01,toni,
17R4544:0017802,E03544,08/05/2017 13:20:40,toni,
17R4544:0017812,E03545,08/05/2017 13:21:45,toni,
17R4569:0018706,E03546,08/05/2017 13:23:01,toni,
17R4569:0018709,E03547,08/05/2017 13:23:58,toni,
17R4569:0018712,E03548,08/05/2017 13:24:38,toni,
