plantID,wild_type,lesion,cross,photograph,sample,sample,stature,tassel,ear,other_phes,datetime,observer,mutanta
17R4474:0016115,0,1,0,0,0,0,semi_dwarf,no tassel,no ear,,07/25/2017 12:00:00,toni,
17R4474:0016108,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4474:0016109,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4474:0016110,0,1,0,0,0,0,semi_dwarf,rudimentary tassel,no ear,,07/25/2017 12:00:00,toni,
17R4474:0016111,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4474:0016112,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4474:0016113,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4474:0016114,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4477:0016201,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4477:0016202,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4477:0016203,0,1,1,1,0,0,shorter_by_1_ft, ,small ear,,07/25/2017 12:00:00,toni,
17R4477:0016204,0,1,1,1,0,0, , ,small ear,,07/25/2017 12:00:00,toni,
17R4477:0016205,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4477:0016206,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4477:0016207,0,1,0,0,0,0,shorter_by_3_ft, ,no ear,,08/09/2017 12:00:00,toni,
17R4477:0016209,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4477:0016208,0,1,1,1,0,0,shorter_by_1_ft, ,small ear,,07/25/2017 12:00:00,toni,
17R4477:0016210,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4477:0016211,0,1,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4477:0016212,0,1,0,0,0,0, , ,small ear,,07/25/2017 12:00:00,toni,
17R4477:0016213,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4477:0016214,0,1,0,0,0,0,shorter_by_3_ft, ,no ear,,07/25/2017 12:00:00,toni,
17R4538:0016301,1,0,0,0,0,0, , , ,,07/26/2017 12:00:00,toni,
17R4538:0016302,0,1,1,1,0,0,shorter_by_2_ft, , ,,07/26/2017 12:00:00,toni,
17R4538:0016303,1,0,0,0,0,0, , , ,,07/26/2017 12:00:00,toni,
17R4538:0016304,1,0,0,0,0,0, , , ,,07/26/2017 12:00:00,toni,
17R4538:0016306,0,1,1,1,0,0,shorter_by_1_ft, , ,,07/26/2017 12:00:00,toni,
17R4538:0016307,1,0,0,0,0,0, , , ,,07/26/2017 12:00:00,toni,
17R4538:0016308,1,0,0,0,0,0, , , ,,07/26/2017 12:00:00,toni,
17R4538:0016309,1,0,0,0,0,0, , , ,,07/26/2017 12:00:00,toni,
17R4538:0016310,1,0,0,0,0,0, , , ,,07/26/2017 12:00:00,toni,
17R4538:0016311,0,1,1,1,0,0,shorter_by_3_ft, ,small ear,,07/26/2017 12:00:00,toni,
17R4538:0016305,1,0,0,0,0,0, , , ,,07/26/2017 12:00:00,toni,
17R4538:0016312,1,0,0,0,0,0,shorter_by_2_ft, ,small ear,,07/26/2017 12:00:00,toni,
17R4497:0016401,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4497:0016402,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4497:0016403,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4497:0016404,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4497:0016405,0,1,1,1,0,0, , ,small ear,,07/25/2017 12:00:00,toni,
17R4497:0016406,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4497:0016407,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4497:0016408,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4497:0016409,0,1,1,1,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4497:0016410,1,0,0,0,0,0,shorter_by_2_ft, , ,,07/25/2017 12:00:00,toni,
17R4497:0016411,0,1,1,1,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4497:0016412,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4497:0016413,0,1,0,0,0,0,semi_dwarf,no tassel,no ear,,08/09/2017 12:00:00,toni,
17R4557:0016501,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
17R4557:0016502,0,1,1,1,0,0,shorter_by_1_ft, , ,,07/25/2017 12:00:00,toni,
17R4557:0016503,1,0,0,0,0,0, , , ,,07/25/2017 12:00:00,toni,
