plantID,image no,rel_leaf_num,section,datetime,observer,camera,conditions,abs_leaf_num,image
17R2252:0011012,0303,t-2,middle,08/02/17 10:16:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4494:0008601,0304,t-2,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4441:0006706,0305,t-2,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4453:0008402,0306,t-1,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4534:0010403,0307,e3,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R2252:0011002,0308,t-2,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4227:0006317,0309,e4,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R3946:0006913,0310,t-2,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4452:0009007,0311,t-1,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4227:0006310,0312,e4,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4577:0009308,0313,e3,tip,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R3946:0006911,0314,e3,stem,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R3946:0006904,0315,t-2,tip,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R2252:0011014,0316,t-2,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R2252:0011020,0317,t-2,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4535:0010609,0318,e2,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4577:0009210,0319,e3,tip,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4452:0009006,0320,t-1,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4452:0009005,0321,t-1,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4538:0010801,0322,t-3,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4085:0007106,0323,e3,stem,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4535:0010610,0324,e2,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4577:0009303,0325,e3,tip,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4538:0010807,0326,t-2,stem,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R3946:0006810,0327,e3,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R3946:0006807,0328,e3,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4092:0008802,0329,e3,tip,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4228:0006415,0330,e1,tip,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4228:0006404,0331,e1,tip,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4228:0006413,0332,e1,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R3946:0006804,0333,e3,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
