plantID,sample num,datetime,observer,tissue_collectn
17R2252:0011012,e03338,08/02/2017 10:17:00,avi,
17R4494:0008601,e03339,08/02/2017 09:50:00,avi,
17R4441:0006706,e03340,08/02/2017 09:50:00,avi,
17R4453:0008402,e03341,08/02/2017 09:50:00,avi,
17R4534:0010403,e03342,08/02/2017 09:50:00,avi,
17R2252:0011012:0011002,e03343,08/02/2017 09:50:00,avi,
17R4227:0006317,e03344,08/02/2017 09:50:00,avi,
17R3946:0006913,e03345,08/02/2017 09:50:00,avi,
17R4452:0009007,e03346,08/02/2017 09:50:00,avi,
17R4227:0006317:0006310,e03347,08/02/2017 09:50:00,avi,
17R4577:0009308,e03348,08/02/2017 09:50:00,avi,
17R3946:0006913:0006911,e03349,08/02/2017 09:50:00,avi,
17R3946:0006913:0006904,e03350,08/02/2017 09:50:00,avi,
17R2252:0011012:0011014,e03351,08/02/2017 09:50:00,josh,
17R2252:0011012:0011020,e03352,08/02/2017 09:50:00,josh,
17R4535:0010609:0010609,e03353,08/02/2017 09:50:00,josh,
17R4577:0009308:0009210,e03354,08/02/2017 09:50:00,josh,
17R4452:0009007:0009006,e03355,08/02/2017 09:50:00,josh,
17R4452:0009007:0009005,e03356,08/02/2017 09:50:00,josh,
17R4538:0010801,e03357,08/02/2017 09:50:00,josh,
17R4085:0007106,e03358,08/02/2017 09:50:00,josh,
17R4535:0010609:0010610,e03359,08/02/2017 09:50:00,josh,
17R4577:0009308:0009303,e03360,08/02/2017 09:50:00,josh,
17R4538:0010801:0010807,e03361,08/02/2017 09:50:00,josh,
17R3946:0006913:0006810,e03362,08/02/2017 12:47:00,josh,
17R3946:0006913:0006807,e03363,08/02/2017 12:47:00,josh,
17R4092:0008802,e03364,08/02/2017 12:47:00,josh,
17R4228:0006415:0006404,e03365,08/02/2017 12:47:00,josh,
17R4228:0006415:0006413,e03367,08/02/2017 12:47:00,avi,
17R3946:0006913:0006804,e03368,08/02/2017 12:47:00,avi,
17R4548:0011508,e03369,08/02/2017 12:47:00,avi,
17R4492:0007811,e03370,08/02/2017 12:47:00,avi,
17R4548:0011508:0011505,e03371,08/02/2017 12:47:00,avi,
17R3946:0006913:0006801,e03372,08/02/2017 12:47:00,avi,
17R4552:0012209,e03373,08/02/2017 12:47:00,avi,
17R3486:0011907,e03374,08/02/2017 12:47:00,avi,
17R4552:0012209:0012206,e03375,08/02/2017 12:47:00,avi,
17R3270:0011211,e03376,08/02/2017 12:47:00,avi,
17R4552:0012209:0012208,e03377,08/02/2017 12:47:00,avi,
17R4492:0007811:0007816,e03378,08/02/2017 12:47:00,avi,
17R4492:0007811:0007803,e03379,08/02/2017 12:47:00,avi,
17R4227:0006317:0006204,e03380,08/02/2017 12:47:00,avi,
17R4054:0012308,e03381,08/02/2017 12:47:00,avi,
17R4419:0011128,e03382,08/02/2017 12:47:00,avi,
17R4551:0012130,e03383,08/02/2017 12:47:00,avi,
17R4550:0012019,e03384,08/02/2017 12:47:00,avi,
17R4419:0011128:0011132,e03385,08/02/2017 12:47:00,avi,
17R4419:0011128:0011113,e03386,08/02/2017 12:47:00,avi,
17R4550:0012019:0012024,e03387,08/02/2017 12:47:00,avi,
17R4419:0011128:0011112,e03388,08/02/2017 12:47:00,avi,
17R2254:0011812,e03389,08/02/2017 12:47:00,avi,
17R3486:0011902,e03390,08/02/2017 12:47:00,avi,
17R4553:0012404,e03391,08/02/2017 13:39:00,avi,
17R4419:0011134,e03392,08/02/2017 13:39:00,avi,
17R3270:0011221,e03393,08/02/2017 13:39:00,avi,
17R4554:0013611,e03394,08/02/2017 15:03:00,avi,
17R4636:0014607,e03395,08/02/2017 15:03:00,avi,
17R4638:0014702:0014702,e03396,08/02/2017 15:03:00,avi,
17R4625:0015804,e03397,08/02/2017 15:03:00,avi,
