plantID,sample num,datetime,observer,tissue_collectn
17R2252:0011012,e03338,8/2/17 10:17 AM,avi,
17R4494:0008601,e03339,8/2/17 9:50 AM,avi,
17R4441:0006706,e03340,8/2/17 9:50 AM,avi,
17R4453:0008402,e03341,8/2/17 9:50 AM,avi,
17R4534:0010403,e03342,8/2/17 9:50 AM,avi,
17R2252:0011012:0011002,e03343,8/2/17 9:50 AM,avi,
17R4227:0006317,e03344,8/2/17 9:50 AM,avi,
17R3946:0006913,e03345,8/2/17 9:50 AM,avi,
17R4452:0009007,e03346,8/2/17 9:50 AM,avi,
17R4227:0006317:0006310,e03347,8/2/17 9:50 AM,avi,
17R4577:0009308,e03348,8/2/17 9:50 AM,avi,
17R3946:0006913:0006911,e03349,8/2/17 9:50 AM,avi,
17R3946:0006913:0006904,e03350,8/2/17 9:50 AM,avi,
17R2252:0011012:0011014,e03351,8/2/17 9:50 AM,josh,
17R2252:0011012:0011020,e03352,8/2/17 9:50 AM,josh,
17R4535:0010609:0010609,e03353,8/2/17 9:50 AM,josh,
17R4577:0009308:0009210,e03354,8/2/17 9:50 AM,josh,
17R4452:0009007:0009006,e03355,8/2/17 9:50 AM,josh,
17R4452:0009007:0009005,e03356,8/2/17 9:50 AM,josh,
17R4538:0010801,e03357,8/2/17 9:50 AM,josh,
17R4085:0007106,e03358,8/2/17 9:50 AM,josh,
17R4535:0010609:0010610,e03359,8/2/17 9:50 AM,josh,
17R4577:0009308:0009303,E03360,8/2/17 9:50 AM,josh,
17R4538:0010801:0010807,e03361,8/2/17 9:50 AM,josh,
17R3946:0006913:0006810,e03362,8/2/17 12:47 PM,josh,
17R3946:0006913:0006807,e03363,8/2/17 12:47 PM,josh,
17R4092:0008802,e03364,8/2/17 12:47 PM,josh,
17R4228:0006415:0006404,e03365,8/2/17 12:47 PM,josh,
17R4228:0006415:0006413,e03367,8/2/17 12:47 PM,avi,
17R3946:0006913:0006804,e03368,8/2/17 12:47 PM,avi,
17R4548:0011508,e03369,8/2/17 12:47 PM,avi,
17R4492:0007811,e03370,8/2/17 12:47 PM,avi,
17R4548:0011508:0011505,E03371,8/2/17 12:47 PM,avi,
17R3946:0006913:0006801,e03372,8/2/17 12:47 PM,avi,
17R4552:0012209,E03373,8/2/17 12:47 PM,avi,
17R3486:0011907,e03374,8/2/17 12:47 PM,avi,
17R4552:0012209:0012206,e03375,8/2/17 12:47 PM,avi,
17R3270:0011211,e03376,8/2/17 12:47 PM,avi,
17R4552:0012209:0012208,e03377,8/2/17 12:47 PM,avi,
17R4492:0007811:0007816,e03378,8/2/17 12:47 PM,avi,
17R4492:0007811:0007803,e03379,8/2/17 12:47 PM,avi,
17R4227:0006317:0006204,e03380,8/2/17 12:47 PM,avi,
