ma plantID,pa plantID,ok,failed,fuzzy_cl,num_cl,fungus,polltn_note,datetime,observer
17R505:B0002906,17R4534:0010403,0,1,we,0,,205,09/26/2017 12:00:00,josh
16R305:W0001604,16R3607:0010408,0,1,we,5,,,09/26/2017 12:00:00,josh
16R305:W0002913,16R4279:0010503,0,1,we,6,,,09/26/2017 12:00:00,josh
1417,16R4470:0004603,0,1,we,0,,,09/26/2017 12:00:00,josh
16R305:W0001518,16R4535:0014401,0,1,we,0,,,09/26/2017 12:00:00,josh
17R505:B0002805,8402,0,1,we,0,,206,09/26/2017 12:00:00,josh
16R305:W0000716,16R4520:0012911,0,1,we,0,,207,09/26/2017 12:00:00,josh
16R505:B0000912,16R4534:0014307,0,1,we,0,,208,09/26/2017 12:00:00,josh
16R305:W0001402,16R305:W0001402,0,1,we,0,,,09/26/2017 12:00:00,josh
16R305:W0001508,16R4535:0014412,0,1,we,0,,,09/26/2017 12:00:00,josh
16R305:W0001615,16R4535:0014404,0,1,we,0,,,09/26/2017 12:00:00,josh
16R305:W0001410,16R4470:0004604,0,1,we,0,,,09/26/2017 12:00:00,josh
16R305:W0001517,16R4470:0004603,0,1,we,0,,,09/26/2017 12:00:00,josh
16R6980:0015808,1669800015808,1,0,we,27,,208,09/26/2017 12:00:00,josh
16R4086:0007610,7610,0,1,we,0,,,09/26/2017 12:00:00,josh
16R4227:0006605,16R4227:0006601,0,1,we,0,,,09/26/2017 12:00:00,josh
16R6970:0015710,16R6970:0015710,0,1,we,0,,,09/26/2017 12:00:00,josh
15201,15201,0,1,we,12,,209,09/26/2017 12:00:00,josh
16R6940:0015402,16R6940:0015402,0,1,we,0,,,09/26/2017 12:00:00,josh
16R4460:0003610,16R4460:0003610,0,1,we,14,,,09/26/2017 12:00:00,josh
16R6880:0014802,16R6880:0014802,0,1,we,4,,,09/26/2017 12:00:00,josh
16R6870:0014708,16R6870:0014708,0,1,we,7,,300,09/26/2017 12:00:00,josh
16R6940:0015406,16R6940:0015406,0,1,we,1,,301,09/26/2017 12:00:00,josh
16R6940:0015401,16R6940:0015401,0,1,we,1,,302,09/26/2017 12:00:00,josh
15106,15106,0,1,we,11,,,09/26/2017 12:00:00,josh
16R6900:0015003,16R6900:0015003,0,1,we,0,,,09/26/2017 12:00:00,josh
16R405:M0003301,16R4300:0012605,0,1,we,9,,,09/26/2017 12:00:00,josh
16R4227:0006602,16R4227:0006601,0,1,we,0,,,09/26/2017 12:00:00,josh
16R6990:0015910,16R6990:0015910,0,1,we,15,,,09/26/2017 12:00:00,josh
16R4086:0007607,16R4086:0007610,0,1,we,0,,,09/26/2017 12:00:00,josh
16R4228:0006811,16R4228:0006811,0,1,we,0,,,09/26/2017 12:00:00,josh
16R4227:0006601,16R4227:0006601,0,1,we,0,,,09/26/2017 12:00:00,josh
16R6920:0015202,16R6920:0015202,0,1,we,0,,,09/26/2017 12:00:00,josh
16R405:M0000804,16R4300:0012605,0,1,we,8,,303,09/26/2017 12:00:00,josh
16R405:M0003309,16R4297:0012305,0,1,we,7,,,09/26/2017 12:00:00,josh
16R405:M0002110,16R4511:0011305,0,1,we,13,,,09/26/2017 12:00:00,josh
16R405:M0001703,16R4474:0005001,0,1,we,0,,,09/26/2017 12:00:00,josh
16R405:M0000803,16R4298:0012406,0,1,we,0,,,09/26/2017 12:00:00,josh
16R405:M0002001,16R4474:0005009,0,1,we,10,,,09/26/2017 12:00:00,josh
16R405:M0000807,16R4300:0012604,0,1,we,0,,,09/26/2017 12:00:00,josh
