rowID,num_emerged,num_wild_type,num_mutant,ave_leaf_num,healthy,datetime,other_phe,observer,row_status
r00145,15,13,2,9,15,06/28/2017 11:00:00,,toni,
r00146,12,6,6,9,12,06/28/2017 11:00:00,,toni,
r00147,14,8,5,9,14,06/28/2017 11:00:00,,toni,
r00148,15,4,10,9,15,06/28/2017 11:00:00,1,toni,
r00149,11,2,0,7,11,06/28/2017 11:00:00,9,toni,
r00150,11,7,0,7,11,06/28/2017 11:00:00,4,toni,
r00151,14,14,0,10,14,06/28/2017 11:00:00,,toni,
r00152,15,15,0,9,15,06/28/2017 11:00:00,,toni,
r00153,13,11,0,8,13,06/28/2017 11:00:00,2,toni,
r00154,14,12,0,10,14,06/28/2017 11:00:00,2,toni,
r00155,11,11,0,8,11,06/28/2017 11:00:00,,toni,
r00156,15,14,1,9,15,06/28/2017 11:00:00,,toni,
r00157,10,10,0,12,10,06/28/2017 11:00:00,,toni,
r00158,10,5,4,13,10,06/28/2017 11:00:00,1,toni,
r00159,8,6,0,10,8,06/28/2017 11:00:00,2,toni,
r00160,10,7,0,9,10,06/28/2017 11:00:00,3,toni,
r00161,14,10,2,9,14,06/28/2017 11:00:00,2,toni,
r00162,14,11,0,8,14,06/28/2017 11:00:00,3,toni,
r00163,11,3,5,10,11,06/28/2017 11:00:00,3,toni,
r00164,12,4,1,9,12,06/28/2017 11:00:00,7,toni,
r00165,10,6,2,11,10,06/28/2017 11:00:00,2,toni,
r00166,7,4,2,9,7,06/28/2017 11:00:00,1,toni,
r00167,14,9,0,8,14,06/28/2017 11:00:00,5,toni,
r00168,12,7,0,12,12,06/28/2017 11:00:00,5,toni,
r00169,12,9,0,8,12,06/28/2017 11:00:00,3,toni,
r00170,7,4,0,10,7,06/28/2017 11:00:00,3,toni,
r00171,5,4,0,9,5,06/28/2017 11:00:00,1,toni,
r00172,11,4,0,10,11,06/28/2017 11:00:00,7,toni,
r00173,5,3,0,8,5,06/28/2017 11:00:00,2,toni,
r00174,11,6,0,10,11,06/28/2017 11:00:00,5,toni,
r00175,8,4,1,12,8,06/28/2017 11:00:00,3,toni,
r00176,7,3,3,7,7,06/28/2017 11:00:00,1,toni,
r00177,12,6,5,10,12,06/28/2017 11:00:00,1,toni,
r00178,18,4,5,13,18,06/28/2017 11:00:00,9,toni,
r00179,15,4,7,12,15,06/28/2017 11:00:00,4,toni,
