rowID,num_emerged,num_wild_type,,ave_leaf_num,healthy,datetime,other phe,observer,row_status
R00145,15,13,2,9,15,06/28/2017 16:34:40,0,toni,
R00146,12,6,6,9,12,06/28/2017 16:34:40,0,toni,
R00147,14,8,5,9,14,06/28/2017 16:34:40,0,toni,
R00148,15,4,10,9,15,06/28/2017 16:34:40,1,toni,
R00149,11,2,0,7,11,06/28/2017 16:34:40,9,toni,
R00150,11,7,0,7,11,06/28/2017 16:34:40,4,toni,
R00151,14,14,0,10,14,06/28/2017 16:34:40,0,toni,
R00152,15,15,0,9,15,06/28/2017 16:34:40,0,toni,
R00153,13,11,0,8,13,06/28/2017 16:34:40,2,toni,
R00154,14,12,0,10,14,06/28/2017 16:34:40,2,toni,
R00155,11,11,0,8,11,06/28/2017 16:34:40,0,toni,
R00156,15,14,1,9,15,06/28/2017 16:34:40,0,toni,
R00157,10,10,0,12,10,06/28/2017 16:34:40,0,toni,
R00158,10,5,4,13,10,06/28/2017 16:34:40,1,toni,
R00159,8,6,0,10,8,06/28/2017 16:34:40,2,toni,
R00160,10,7,0,9,10,06/28/2017 16:34:40,3,toni,
R00161,14,10,2,9,14,06/28/2017 16:34:40,2,toni,
R00162,14,11,0,8,14,06/28/2017 16:34:40,3,toni,
R00163,11,3,5,10,11,06/28/2017 16:34:40,3,toni,
R00164,12,4,1,9,12,06/28/2017 16:34:40,7,toni,
R00165,10,6,2,11,10,06/28/2017 16:34:40,2,toni,
R00166,7,4,2,9,7,06/28/2017 16:34:40,1,toni,
R00167,14,9,0,8,14,06/28/2017 16:34:40,5,toni,
R00168,12,7,0,12,12,06/28/2017 16:34:40,5,toni,
R00169,12,9,0,8,12,06/28/2017 16:34:40,3,toni,
R00170,7,4,0,10,7,06/28/2017 16:34:40,3,toni,
R00171,5,4,0,9,5,06/28/2017 16:34:40,1,toni,
R00172,11,4,0,10,11,06/28/2017 16:34:40,7,toni,
R00173,5,3,0,8,5,06/28/2017 16:34:40,2,toni,
R00174,11,6,0,10,11,06/28/2017 16:34:40,5,toni,
R00175,8,4,1,12,8,06/28/2017 16:34:40,3,toni,
R00176,7,3,3,7,7,06/28/2017 16:34:40,1,toni,
R00177,12,6,5,10,12,06/28/2017 16:34:40,1,toni,
R00178,18,4,5,13,18,06/28/2017 16:34:40,9,toni,
R00179,15,4,7,12,15,06/28/2017 16:34:40,4,toni,
R00180,11,3,4,11,11,06/28/2017 16:34:40,4,toni,
R00181,7,3,2,11,7,06/28/2017 16:34:40,2,toni,
R00182,5,3,0,7,5,06/28/2017 16:34:40,2,toni,
R00183,9,4,3,8,9,06/28/2017 16:34:40,2,toni,
R00184,20,7,5,8,20,06/28/2017 16:34:40,8,toni,
R00185,4,1,0,7,4,06/28/2017 16:34:40,3,toni,
R00186,13,9,0,6,12,06/28/2017 16:34:40,4,toni,
R00187,15,11,0,9,15,06/28/2017 16:34:40,4,toni,
R00188,4,3,0,8,4,06/28/2017 16:34:40,1,toni,
R00189,11,6,0,8,11,06/28/2017 16:34:40,5,toni,
R00190,6,4,0,8,6,06/28/2017 16:34:40,2,toni,
R00191,28,17,3,8,28,06/28/2017 16:34:40,8,toni,
R00192,27,23,0,6,27,06/28/2017 16:34:40,4,toni,
R00193,8,5,1,9,8,06/28/2017 16:34:40,2,toni,
R00194,28,20,0,11,28,06/28/2017 16:34:40,8,toni,
R00195,25,24,0,8,25,06/28/2017 16:34:40,1,toni,
R00196,27,13,7,9,27,06/28/2017 16:34:40,7,toni,
R00197,12,5,5,8,12,06/28/2017 16:34:40,2,toni,
R00198,14,13,0,12,14,06/28/2017 16:34:40,1,toni,
R00199,12,11,0,8,12,06/28/2017 16:34:40,1,toni,
R00200,15,15,0,10,15,06/28/2017 16:34:40,0,toni,
R00201,15,14,0,8,15,06/28/2017 16:34:40,1,toni,
R00202,14,11,0,11,14,06/28/2017 16:34:40,3,toni,
R00203,15,11,0,9,15,06/28/2017 16:34:40,4,toni,
R00204,15,13,0,8,15,06/28/2017 16:34:40,2,toni,
R00205,13,13,0,10,13,06/28/2017 16:34:40,0,toni,
R00206,15,15,0,11,15,06/28/2017 16:34:40,0,toni,
R00207,15,15,0,9,15,06/28/2017 16:34:40,0,toni,
R00208,14,12,0,9,14,06/28/2017 16:34:40,2,toni,
R00209,15,15,0,9,15,06/28/2017 16:34:40,0,toni,
R00210,14,14,0,9,14,06/28/2017 16:34:40,0,toni,
R00211,15,10,0,8,15,06/28/2017 16:34:40,5,toni,
R00212,15,12,0,8,15,06/28/2017 16:34:40,3,toni,
R00213,14,11,0,10,14,06/28/2017 16:34:40,3,toni,
R00214,15,14,0,9,15,06/28/2017 16:34:40,1,toni,
R00215,15,15,0,9,15,06/28/2017 16:34:40,0,toni,
R00216,15,15,0,9,15,06/28/2017 16:34:40,0,toni,
R00217,15,15,0,9,15,06/28/2017 16:34:40,0,toni,
R00218,15,14,0,8,15,06/28/2017 16:34:40,1,toni,
R00219,14,10,0,9,14,06/28/2017 16:34:40,4,toni,
R00220,12,12,0,8,12,06/28/2017 16:34:40,0,toni,
R00221,14,12,0,9,14,06/28/2017 16:34:40,2,toni,
R00222,13,13,0,10,13,06/28/2017 16:34:40,0,toni,
R00223,15,14,0,10,15,06/28/2017 16:34:40,1,toni,
R00224,15,14,0,11,15,06/28/2017 16:34:40,1,toni,
R00225,11,11,0,9,11,06/28/2017 16:34:40,0,toni,
R00226,14,14,0,9,14,06/28/2017 16:34:40,0,toni,
R00227,8,7,0,11,8,06/28/2017 16:34:40,1,toni,
R00228,9,8,0,9,9,06/28/2017 16:34:40,1,toni,
R00229,15,14,0,8,15,06/28/2017 16:34:40,1,toni,
R00230,14,14,0,10,14,06/28/2017 16:34:40,0,toni,
R00231,15,13,0,7,15,06/28/2017 16:34:40,2,toni,
R00232,15,13,0,7,15,06/28/2017 16:34:40,2,toni,
R00233,9,4,0,6,9,06/28/2017 16:34:40,5,toni,
R00234,13,13,0,9,13,06/28/2017 16:34:40,0,toni,
R00235,15,15,0,8,15,06/28/2017 16:34:40,0,toni,
R00236,15,15,0,10,15,06/28/2017 16:34:40,0,toni,
R00237,10,10,0,8,10,06/28/2017 16:34:40,0,toni,
R00238,15,13,0,9,15,06/28/2017 16:34:40,2,toni,
R00239,14,12,0,8,14,06/28/2017 16:34:40,2,toni,
R00240,11,10,0,8,11,06/28/2017 16:34:40,1,toni,
