packetID,rowID,datetime,ft,observer,planted
p00002,r00017,05/30/2017 14:58:01,20,avi,
p00002,r00018,05/30/2017 14:58:01,20,avi,
p00002,r00019,05/30/2017 14:58:01,20,avi,
p00002,r00020,05/30/2017 14:58:01,20,avi,
p00003,r00021,05/30/2017 14:58:01,20,avi,
p00003,r00022,05/30/2017 14:58:01,20,avi,
p00003,r00023,05/30/2017 14:58:01,20,avi,
p00003,r00024,05/30/2017 14:58:01,20,avi,
p00003,r00025,05/30/2017 14:58:01,20,avi,
p00003,r00026,05/30/2017 14:58:01,20,avi,
p00003,r00027,05/30/2017 14:58:01,20,avi,
p00004,r00028,05/30/2017 14:58:01,20,avi,
p00004,r00029,05/30/2017 14:58:01,20,avi,
p00004,r00030,05/30/2017 14:58:01,20,avi,
p00004,r00031,05/30/2017 14:58:01,20,avi,
p00004,r00032,05/30/2017 14:58:01,20,avi,
p00060,r00098,05/30/2017 14:58:01,20,avi,
p00062,r00100,05/30/2017 14:58:01,20,avi,
p00064,r00102,05/30/2017 14:58:01,20,avi,
p00066,r00104,05/30/2017 14:58:01,20,avi,
p00068,r00106,05/30/2017 14:58:01,20,avi,
p00070,r00108,05/30/2017 14:58:01,20,avi,
p00072,r00110,05/30/2017 14:58:01,20,avi,
p00073,r00111,05/30/2017 14:58:01,20,avi,
p00074,r00112,05/30/2017 14:58:01,20,avi,
p00075,r00113,05/30/2017 14:58:01,20,avi,
p00076,r00114,05/30/2017 14:58:01,20,avi,
p00077,r00115,05/30/2017 14:58:01,20,avi,
p00078,r00116,05/30/2017 14:58:01,20,avi,
p00079,r00117,05/30/2017 14:58:01,20,avi,
p00149,r00187,05/30/2017 14:58:01,10,avi,
p00150,r00188,05/30/2017 14:58:01,10,avi,
p00147,r00185,05/30/2017 14:58:01,10,avi,
p00148,r00186,05/30/2017 14:58:01,10,avi,
p00146,r00184,05/30/2017 14:58:01,10,avi,
p00145,r00183,05/30/2017 14:58:01,10,avi,
p00143,r00181,05/30/2017 14:58:01,10,avi,
p00144,r00182,05/30/2017 14:58:01,10,avi,
p00141,r00179,05/30/2017 14:58:01,10,avi,
p00142,r00180,05/30/2017 14:58:01,10,avi,
p00139,r00177,05/30/2017 14:58:01,10,avi,
p00140,r00178,05/30/2017 14:58:01,10,avi,
p00137,r00175,05/30/2017 14:58:01,10,avi,
p00138,r00176,05/30/2017 14:58:01,10,avi,
p00135,r00173,05/30/2017 14:58:01,10,avi,
p00136,r00174,05/30/2017 14:58:01,10,avi,
p00133,r00171,05/30/2017 14:58:01,10,avi,
p00134,r00172,05/30/2017 14:58:01,10,avi,
p00131,r00169,05/30/2017 14:58:01,10,avi,
p00132,r00170,05/30/2017 14:58:01,10,avi,
p00129,r00167,05/30/2017 14:58:01,10,avi,
p00130,r00168,05/30/2017 14:58:01,10,avi,
p00127,r00165,05/30/2017 14:58:01,10,avi,
p00128,r00166,05/30/2017 14:58:01,10,avi,
p00125,r00163,05/30/2017 14:58:01,10,avi,
p00126,r00164,05/30/2017 14:58:01,10,avi,
p00123,r00161,05/30/2017 14:58:01,10,avi,
p00121,r00159,05/30/2017 14:58:01,10,avi,
p00122,r00160,05/30/2017 14:58:01,10,avi,
p00119,r00157,05/30/2017 14:58:01,10,avi,
p00120,r00158,05/30/2017 14:58:01,10,avi,
p00111,r00149,05/30/2017 14:58:01,10,avi,
p00112,r00150,05/30/2017 14:58:01,10,avi,
p00159,r00197,05/30/2017 14:58:01,10,avi,
p00151,r00189,05/30/2017 14:58:01,10,avi,
p00152,r00190,05/30/2017 14:58:01,10,avi,
p00080,r00118,05/30/2017 14:58:01,20,avi,
p00081,r00119,05/30/2017 14:58:01,20,avi,
