packetID,rowID,ft,observer,datetime,planted
P00002,r00017,20,avi,05/30/2017 14:58:01,
P00002,r00018,20,avi,05/30/2017 14:58:01,
P00002,r00019,20,avi,05/30/2017 14:58:01,
P00002,r00020,20,avi,05/30/2017 14:58:01,
P00003,R00021,20,avi,05/30/2017 14:58:01,
P00003,r00022,20,avi,05/30/2017 14:58:01,
P00003,r00023,20,avi,05/30/2017 14:58:01,
P00003,R00024,20,avi,05/30/2017 14:58:01,
P00003,r00025,20,avi,05/30/2017 14:58:01,
P00003,r00026,20,avi,05/30/2017 14:58:01,
P00003,r00027,20,avi,05/30/2017 14:58:01,
P00004,r00028,20,avi,05/30/2017 14:58:01,
P00004,R00029,20,avi,05/30/2017 14:58:01,
P00004,r00030,20,avi,05/30/2017 14:58:01,
P00004,R00031,20,avi,05/30/2017 14:58:01,
P00004,r00032,20,avi,05/30/2017 14:58:01,
P00060,R00098,20,avi,05/30/2017 14:58:01,
P00062,r00100,20,avi,05/30/2017 14:58:01,
P00064,r00102,20,avi,05/30/2017 14:58:01,
P00066,r00104,20,avi,05/30/2017 14:58:01,
P00068,r00106,20,avi,05/30/2017 14:58:01,
P00070,r00108,20,avi,05/30/2017 14:58:01,
P00072,r00110,20,avi,05/30/2017 14:58:01,
P00073,r00111,20,avi,05/30/2017 14:58:01,
P00074,r00112,20,avi,05/30/2017 14:58:01,
P00075,r00113,20,avi,05/30/2017 14:58:01,
P00076,r00114,20,avi,05/30/2017 14:58:01,
P00077,r00115,20,avi,05/30/2017 14:58:01,
P00078,r00116,20,avi,05/30/2017 14:58:01,
P00079,r00117,20,avi,05/30/2017 14:58:01,
P00149,R00187,10,avi,05/30/2017 14:58:01,
P00150,r00188,10,avi,05/30/2017 14:58:01,
P00147,R00185,10,avi,05/30/2017 14:58:01,
P00148,r00186,10,avi,05/30/2017 14:58:01,
P00146,r00184,10,avi,05/30/2017 14:58:01,
P00145,r00183,10,avi,05/30/2017 14:58:01,
P00143,R00181,10,avi,05/30/2017 14:58:01,
P00144,r00182,10,avi,05/30/2017 14:58:01,
P00141,r00179,10,avi,05/30/2017 14:58:01,
P00142,R00180,10,avi,05/30/2017 14:58:01,
P00139,r00177,10,avi,05/30/2017 14:58:01,
P00140,r00178,10,avi,05/30/2017 14:58:01,
P00137,R00175,10,avi,05/30/2017 14:58:01,
P00138,R00176,10,avi,05/30/2017 14:58:01,
P00135,r00173,10,avi,05/30/2017 14:58:01,
P00136,r00174,10,avi,05/30/2017 14:58:01,
P00133,r00171,10,avi,05/30/2017 14:58:01,
P00134,R00172,10,avi,05/30/2017 14:58:01,
P00131,r00169,10,avi,05/30/2017 14:58:01,
P00132,R00170,10,avi,05/30/2017 14:58:01,
P00129,r00167,10,avi,05/30/2017 14:58:01,
P00130,r00168,10,avi,05/30/2017 14:58:01,
P00127,r00165,10,avi,05/30/2017 14:58:01,
P00128,r00166,10,avi,05/30/2017 14:58:01,
P00125,r00163,10,avi,05/30/2017 14:58:01,
P00126,R00164,10,avi,05/30/2017 14:58:01,
P00123,r00161,10,avi,05/30/2017 14:58:01,
P00121,R00159,10,avi,05/30/2017 14:58:01,
P00122,r00160,10,avi,05/30/2017 14:58:01,
P00119,r00157,10,avi,05/30/2017 14:58:01,
P00120,R00158,10,avi,05/30/2017 14:58:01,
P00111,R00149,10,avi,05/30/2017 14:58:01,
P00112,R00150,10,avi,05/30/2017 14:58:01,
P00159,r00197,10,avi,05/30/2017 14:58:01,
P00151,R00189,10,avi,05/30/2017 14:58:01,
P00152,r00190,10,avi,05/30/2017 14:58:01,
P00080,r00118,20,avi,05/30/2017 14:58:01,
P00081,r00119,20,avi,05/30/2017 14:58:01,
,R00001,20,avi,05/30/2017 16:52:01,
,R00002,20,avi,05/30/2017 16:52:01,
,R00003,20,avi,05/30/2017 16:52:01,
,R00004,20,avi,05/30/2017 16:52:01,
,R00005,20,avi,05/30/2017 16:52:01,
,R00006,20,avi,05/30/2017 16:52:01,
,R00007,20,avi,05/30/2017 16:52:01,
,R00008,20,avi,05/30/2017 16:52:01,
,R00009,20,avi,05/30/2017 16:52:01,
,R00010,20,avi,05/30/2017 16:52:01,
,,10,avi,05/30/2017 16:52:01,
,,10,avi,05/30/2017 16:52:01,
,,10,avi,05/30/2017 16:52:01,
,,10,avi,05/30/2017 16:52:01,
,,10,avi,05/30/2017 16:52:01,
,,10,avi,05/30/2017 16:52:01,
,,10,avi,05/30/2017 14:58:01,
,,10,avi,05/30/2017 14:58:01,
,,10,avi,05/30/2017 14:58:01,
,,10,avi,05/30/2017 14:58:01,
,,10,avi,05/30/2017 14:58:01,
,,10,avi,05/30/2017 14:58:01,
