plantID,wild_type,lesion,cross,photograph,sample,stature,tassel,ear,other_phes,datetime,observer,mutanta
17R4560:0005801,1,0,0,0,0, , , ,,08/07/2017 14:14:55,toni,
17R4560:0005802,1,0,0,0,0, , , ,,08/07/2017 14:14:55,toni,
17R4560:0005803,1,0,0,0,0, , , ,,08/07/2017 14:14:55,toni,
17R4560:0005804,1,0,0,0,0, , , ,,08/07/2017 14:14:55,toni,
17R4560:0005805,1,0,0,0,0, , , ,,08/07/2017 14:14:55,toni,
17R4560:0005806,1,0,0,0,0, , , ,,08/07/2017 14:14:55,toni,
17R4560:0005901,1,0,0,0,0, , , ,,08/07/2017 14:17:59,toni,
17R4560:0005902,1,0,0,0,0, , , ,,08/07/2017 14:17:59,toni,
17R4560:0005903,1,0,0,0,0,shorter_by_1_ft,no tassel,no ear,,08/07/2017 14:17:59,toni,
17R4560:0005904,1,0,0,0,0, , , ,,08/07/2017 14:17:59,toni,
17R4560:0005905,1,0,0,0,0, , , ,,08/07/2017 14:17:59,toni,
17R4560:0005909,0,1,1,1,0, , , ,,08/07/2017 14:17:59,toni,
17R4560:0005906,1,0,0,0,0, , , ,,08/07/2017 14:17:59,toni,
17R4560:0005907,1,0,0,0,0, , , ,,08/07/2017 14:17:59,toni,
17R4560:0005908,1,0,0,0,0, , , ,,08/07/2017 14:17:59,toni,
17R4561:0006001,1,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4561:0006002,1,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4561:0006003,0,1,1,1,0,shorter_by_2_ft, ,no ear,,06/28/2017 12:00:00,toni,
17R4561:0006004,0,1,1,1,0,shorter_by_1_ft, ,no ear,,06/28/2017 12:00:00,toni,
17R4561:0006005,1,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4561:0006006,0,1,1,1,0,shorter_by_1_ft, ,no ear,,06/28/2017 12:00:00,toni,
17R4561:0006007,1,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4561:0006008,0,1,0,0,0,shorter_by_1_ft, ,no ear,,06/28/2017 12:00:00,toni,
17R4561:0006009,1,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
