plantID,wild_type,lesion,cross,photograph,sample,sample,stature,tassel,ear,other_phes,datetime,observer,mutanta
17R4616:0012901,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4616:0012902,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4616:0012903,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4616:0012904,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4616:0012905,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4616:0012906,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4616:0012907,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4616:0012908,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4616:0012909,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4620:0013001,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4620:0013002,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4620:0013003,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4620:0013005,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4620:0013004,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4620:0013006,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4620:0013007,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4620:0013008,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4620:0013009,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4620:0013010,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4620:0013011,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4620:0013012,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4620:0013013,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4620:0013014,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4620:0013015,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4617:0013213,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4617:0013212,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4617:0013211,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4617:0013210,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4617:0013209,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4617:0013208,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
17R4617:0013207,1,0,0,0,0,0, , , ,,06/28/2017 12:00:00,toni,
