ma plant,pa plant,ok,fuzzy_cl,num_cl,fungus,polltn_note,datetime,observer,harvest
17R4561:0006001,17R4561:0006004,1,he,,,,09/24/2017 12:00:00,josh,
17R4561:0006002,17R4561:0006004,1,he,,,,09/24/2017 12:00:00,josh,
17R4561:0006005,17R4561:0006004,1,he,,,,09/24/2017 12:00:00,josh,
17R4561:0006007,17R4561:0006004,1,he,,,,09/24/2017 12:00:00,josh,
17R4561:0006009,17R4561:0006004,1,he,,,,09/24/2017 12:00:00,josh,
17R4561:0006010,17R4561:0006004,1,he,,,,09/24/2017 12:00:00,josh,
17R4561:0006014,17R4561:0006004,1,qe,,,,09/24/2017 12:00:00,josh,
17R4227:0006301,17R4227:0006317,1,he,,,,09/24/2017 12:00:00,josh,
17R4227:0006303,17R4227:0006310,1,qe,,,,09/24/2017 12:00:00,josh,
17R4227:0006304,17R4227:0006317,1,he,,,,09/24/2017 12:00:00,josh,
17R4227:0006305,17R4227:0006317,1,he,,,,09/24/2017 12:00:00,josh,
17R4227:0006315,17R4227:0006317,1,he,,,,09/24/2017 12:00:00,josh,
17R4227:0006316,17R4227:0006317,1,qe,,,,09/24/2017 12:00:00,josh,
17R4228:0006401,17R4228:0006404,1,tqe,,,,09/24/2017 12:00:00,josh,
17R4228:0006404,17R4228:0006404,1,he,,,,09/24/2017 12:00:00,josh,
17R4228:0006408,17R4228:0006404,1,tqe,,,,09/24/2017 12:00:00,josh,
17R4228:0006409,17R4228:0006415,1,he,,,,09/24/2017 12:00:00,josh,
17R4228:0006410,17R4228:0006415,1,tqe,,,,09/24/2017 12:00:00,josh,
17R4228:0006411,17R4228:0006415,1,tqe,,,,09/24/2017 12:00:00,josh,
17R4228:0006415,17R4228:0006415,1,qe,,,,09/24/2017 12:00:00,josh,
17R4228:0006416,17R4228:0006415,1,he,,,,09/24/2017 12:00:00,josh,
17R4441:0006701,17R4441:0006706,1,qe,,,,09/24/2017 12:00:00,josh,
17R4441:0006702,17R4441:0006706,1,he,,,,09/24/2017 12:00:00,josh,
17R4441:0006703,17R4441:0006706,1,he,,,,09/24/2017 12:00:00,josh,
17R4441:0006704,17R4441:0006704,1,he,,,,09/24/2017 12:00:00,josh,
17R4441:0006709,17R4441:0006706,1,he,,,,09/24/2017 12:00:00,josh,
17R3946:0006905,17R3946:0006904,1,qe,,,,09/24/2017 12:00:00,josh,
17R3946:0006906,17R3946:0006904,1,qe,,,,09/24/2017 12:00:00,josh,
17R3946:0006908,17R3946:0006904,1,qe,,,,09/24/2017 12:00:00,josh,
17R4085:0007102,17R4085:0007106,1,he,,,,09/24/2017 12:00:00,josh,
17R4085:0007103,17R4085:0007106,1,he,,,,09/24/2017 12:00:00,josh,
17R4085:0007104,17R4085:0007106,1,he,,,,09/24/2017 12:00:00,josh,
17R4085:0007108,17R4085:0007109,1,he,,,,09/24/2017 12:00:00,josh,
17R4085:0007111,17R4085:0007109,1,he,,,,09/24/2017 12:00:00,josh,
17R4085:0007113,17R4085:0007106,1,he,,,,09/24/2017 12:00:00,josh,
17R4085:0007114,17R4085:0007109,1,tqe,,,,09/24/2017 12:00:00,josh,
17R4085:0007117,17R4085:0007109,1,tqe,,,,09/24/2017 12:00:00,josh,
17R4559:0007207,17R4559:0007207,1,he,,,,09/24/2017 12:00:00,josh,
17R4559:0007210,17R4559:0007207,1,we,,,,09/24/2017 12:00:00,josh,
17R4559:0007211,17R4559:0007207,1,tqe,,,,09/24/2017 12:00:00,josh,
17R4559:0007212,17R4559:0007207,1,he,,,,09/24/2017 12:00:00,josh,
17R4559:0007215,17R4559:0007207,1,he,,,,09/24/2017 12:00:00,josh,
17R3590:0007402,17R3590:0007412,1,qe,,,,09/24/2017 12:00:00,josh,
17R3590:0007406,17R3590:0007412,1,qe,,,,09/24/2017 12:00:00,josh,
17R3590:0007410,17R3590:0007412,1,qe,,,,09/24/2017 12:00:00,josh,
17R3590:0007411,17R3590:0007412,1,he,,,,09/24/2017 12:00:00,josh,
