ma plantID,pa plantID,sleeve,fuzzy_cl,num_cl,datetime,observer,inventory
16R4460:0003602,16R4460:0003602,v00260,qe,,05/11/2018 15:50:54,josh,
16R4460:0003604,16R4460:0003604,v00260,he,,05/11/2018 15:50:59,josh,
16R4460:0003607,16R4460:0003607,v00260,he,,05/11/2018 15:51:03,josh,
16R4460:0003609,16R4460:0003609,v00260,he,,05/11/2018 15:51:07,josh,
16R4460:0003610,16R4460:0003610,v00260,,6,05/11/2018 15:51:12,josh,
16R4460:0003611,16R4460:0003611,v00260,qe,,05/11/2018 15:51:15,josh,
16R4461:0003709,16R4461:0003709,v00260,he,,05/11/2018 15:51:20,josh,
16R4461:0003711,16R4461:0003711,v00260,he,,05/11/2018 15:51:21,josh,
16R4461:0003713,16R4461:0003713,v00260,he,,05/11/2018 15:51:23,josh,
16R4462:0003803,16R4462:0003803,v00260,he,,05/11/2018 15:51:25,josh,
16R4462:0003808,16R4462:0003808,v00260,he,,05/11/2018 15:51:27,josh,
16R4462:0003811,16R4462:0003811,v00260,he,,05/11/2018 15:51:50,josh,
16R4463:0003902,16R4463:0003902,v00260,he,,05/11/2018 15:51:57,josh,
16R4463:0003904,16R4463:0003904,v00260,he,,05/11/2018 15:52:05,josh,
16R4463:0003907,16R4463:0003907,v00260,he,,05/11/2018 15:52:13,josh,
16R4464:0004001,16R4464:0004001,v00260,qe,,05/11/2018 15:52:22,josh,
16R4464:0004002,16R4464:0004002,v00260,he,,05/11/2018 15:52:31,josh,
16R4464:0004010,16R4464:0004010,v00260,he,,05/11/2018 15:52:39,josh,
16R4465:0004109,16R4465:0004109,v00260,we,,05/11/2018 15:52:49,josh,
16R4465:0004111,16R4465:0004111,v00260,we,,05/11/2018 15:52:57,josh,
16R4465:0004112,16R4465:0004112,v00260,he,,05/11/2018 15:53:05,josh,
16R4465:0004113,16R4465:0004113,v00260,we,,05/11/2018 15:53:12,josh,
16R4466:0004206,16R4466:0004206,v00260,he,,05/11/2018 15:53:20,josh,
16R4466:0004207,16R4466:0004207,v00260,he,,05/11/2018 15:53:28,josh,
16R4466:0004213,16R4466:0004213,v00260,tqe,,05/11/2018 15:53:37,josh,
16R4484:0006001,16R4484:0006001,v00260,tqe,,05/11/2018 15:53:44,josh,
16R4484:0006011,16R4484:0006011,v00260,tqe,,05/11/2018 15:53:51,josh,
16R4484:0006012,16R4484:0006012,v00260,tqe,,05/11/2018 15:54:15,josh,
16R4485:0006103,16R4485:0006103,v00260,tqe,,05/11/2018 15:54:22,josh,
16R4485:0006104,16R4485:0006104,v00260,tqe,,05/11/2018 15:54:31,josh,
16R4485:0006108,16R4485:0006108,v00260,tqe,,05/11/2018 15:54:40,josh,
16R4485:0006113,16R4485:0006113,v00260,tqe,,05/11/2018 15:54:49,josh,
16R4486:0006202,16R4486:0006202,v00261,we,,05/11/2018 16:00:43,josh,
16R4486:0006203,16R4486:0006203,v00261,we,,05/11/2018 16:03:04,josh,
16R4486:0006204,16R4486:0006204,v00261,we,,05/11/2018 16:03:29,josh,
16R4487:0006306,16R4487:0006306,v00261,we,,05/11/2018 16:03:37,josh,
16R4487:0006308,16R4487:0006308,v00261,tqe,,05/11/2018 16:03:45,josh,
16R4487:0006309,16R4487:0006309,v00261,we,,05/11/2018 16:03:53,josh,
16R4488:0006401,16R4488:0006401,v00261,we,,05/11/2018 16:04:04,josh,
16R4488:0006403,16R4488:0006403,v00261,tqe,,05/11/2018 16:04:14,josh,
16R4488:0006404,16R4488:0006404,v00261,tqe,,05/11/2018 16:04:28,josh,
16R4488:0006409,16R4488:0006409,v00261,tqe,,05/11/2018 16:04:35,josh,
16R4488:0006414,16R4488:0006414,v00261,we,,05/11/2018 16:04:43,josh,
16R4489:0006503,16R4489:0006503,v00261,we,,05/11/2018 16:04:51,josh,
16R4489:0006504,16R4489:0006504,v00261,tqe,,05/11/2018 16:04:58,josh,
16R4489:0006509,16R4489:0006509,v00261,tqe,,05/11/2018 16:05:05,josh,
16R4228:0006808,16R4228:0006811,v00261,he,,05/11/2018 16:05:13,josh,
16R4086:0007609,16R4086:0007609,v00261,qe,,05/11/2018 16:05:22,josh,
16R4086:0007611,16R4086:0007610,v00261,qe,,05/11/2018 16:05:41,josh,
16R4491:0008009,16R4491:0008006,v00261,,1,05/11/2018 16:05:52,josh,
17R4494:0008701,17R4494:0008701,v00261,,5,05/11/2018 16:06:21,josh,
16R0687:0014701,16R0687:0014701,v00261,he,,05/11/2018 16:06:29,josh,
16R6870:0014708,16R6870:0014708,v00261,,5,05/11/2018 16:06:46,josh,
16R6880:0014802,16R6880:0014802,v00261,,3,05/11/2018 16:07:03,josh,
16R0688:0014804,16R0688:0014804,v00261,qe,,05/11/2018 16:07:33,josh,
16R0688:0014805,16R0688:0014805,v00261,he,,05/11/2018 16:07:43,josh,
16R0689:0014903,16R0689:0014903,v00261,he,,05/11/2018 16:07:51,josh,
16R0689:0014910,16R0689:0014910,v00261,qe,,05/11/2018 16:07:59,josh,
16R0689:0014913,16R0689:0014913,v00261,qe,,05/11/2018 16:08:14,josh,
15106,15106,v00261,,10,05/11/2018 16:08:35,josh,
16R0691:0015107,16R0691:0015107,v00261,qe,,05/11/2018 16:08:44,josh,
16R0691:0015109,16R0691:0015109,v00261,qe,,05/11/2018 16:08:52,josh,
15201,15201,v00261,,15,05/11/2018 16:09:06,josh,
16R0693:0015303,16R0693:0015303,v00261,qe,,05/11/2018 16:09:14,josh,
16R0693:0015304,16R0693:0015304,v00261,qe,,05/11/2018 16:09:21,josh,
16R0693:0015306,16R0693:0015306,v00261,qe,,05/11/2018 16:09:29,josh,
16R0693:0015309,16R0693:0015309,v00261,qe,,05/11/2018 16:09:37,josh,
16R6940:0015401,16R6940:0015401,v00261,,1,05/11/2018 16:09:45,josh,
16R6940:0015406,16R6940:0015406,v00261,,1,05/11/2018 16:09:52,josh,
16R6970:0015708,16R6970:0015708,v00261,qe,,05/11/2018 16:10:03,josh,
16R0698:0015804,16R0698:0015804,v00261,qe,,05/11/2018 16:10:12,josh,
16R6980:0015808,16R6980:0015808,v00261,,15,05/11/2018 16:10:20,josh,
16R0698:0015811,16R0698:0015811,v00261,he,,05/11/2018 16:10:28,josh,
16R0699:0015908,16R0699:0015908,v00261,he,,05/11/2018 16:10:39,josh,
16R0699:0015909,16R0699:0015909,v00261,qe,,05/11/2018 16:10:54,josh,
16R6990:0015910,16R6990:0015910,v00261,,12,05/11/2018 16:11:04,josh,
16R0702:0016201,16R0702:0016201,v00261,,15,05/11/2018 16:11:14,josh,
16R205:S0000602,16R4007:0011605,v00262,he,,05/11/2018 16:12:13,josh,
16R205:S0000603,16R0691:0015106,v00262,he,,05/11/2018 16:12:25,josh,
16R205:S0000604,16R4011:0011703,v00262,qe,,05/11/2018 16:12:33,josh,
16R205:S0000605,16R4007:0011605,v00262,he,,05/11/2018 16:12:48,josh,
16R205:S0000606,16R0687:0014701,v00262,he,,05/11/2018 16:13:19,josh,
16R205:S0000607,16R4507:0010908,v00262,he,,05/11/2018 16:13:26,josh,
16R205:S0000608,16R4445:0009809,v00262,qe,,05/11/2018 16:13:01,josh,
6R205:S0000609,16R4445:0009809,v00262,he,,05/11/2018 16:13:40,josh,
16R205:S0000610,16R4519:0012802,v00262,qe,,05/11/2018 16:13:49,josh,
16R205:S0000611,16R4007:0011605,v00262,qe,,05/11/2018 16:13:12,josh,
16R205:S0000612,16R4445:0009809,v00262,qe,,05/11/2018 16:14:21,josh,
16R205:S0000613,16R4513:0011501,v00262,he,,05/11/2018 16:14:30,josh,
16R205:S0001102,16R4507:0010903,v00262,he,,05/11/2018 16:14:46,josh,
16R205:S0001103,16R0697:0015710,v00262,he,,05/11/2018 16:14:54,josh,
16R205:S0001105,16R4507:0010905,v00262,he,,05/11/2018 16:15:02,josh,
16R205:S0001107,16R4479:0005506,v00262,he,,05/11/2018 16:15:09,josh,
16R205:S0001111,16R0698:0015802,v00262,he,,05/11/2018 16:15:18,josh,
16R205:S0001112,16R4478:0005404,v00262,qe,,05/11/2018 16:15:29,josh,
16R205:S0001113,16R0698:0015801,v00262,he,,05/11/2018 16:15:36,josh,
16R205:S0001115,16R4478:0005404,v00262,he,,05/11/2018 16:15:45,josh,
16R205:S0001201,16R4390:0010609,v00262,qe,,05/11/2018 16:15:57,josh,
16R205:S0001202,16R4390:0010609,v00262,he,,05/11/2018 16:15:57,josh,
16R205:S0001204,16R4391:0010711,v00262,he,,05/11/2018 16:16:05,josh,
16R205:S0001206,16R4391:0010710,v00262,he,,05/11/2018 16:16:14,josh,
16R205:S0001209,16R4391:0010711,v00262,he,,05/11/2018 16:16:22,josh,
16R205:S0001210,16R4391:0010710,v00262,he,,05/11/2018 16:16:30,josh,
16R205:S0001211,16R4507:0010901,v00262,he,,05/11/2018 16:16:36,josh,
16R205:S0001212,16R4479:0005503,v00262,qe,,05/11/2018 16:16:45,josh,
16R205:S0001213,16R4390:0010609,v00262,qe,,05/11/2018 16:16:54,josh,
16R205:S0001301,16R4390:0010611,v00262,he,,05/11/2018 16:17:06,josh,
16R205:S0001302,16R4390:0010611,v00262,qe,,05/11/2018 16:17:13,josh,
16R205:S0001303,16R4537:0014611,v00262,he,,05/11/2018 16:17:22,josh,
16R205:S0001304,16R4513:0011503,v00262,qe,,05/11/2018 16:17:30,josh,
16R205:S0001305,16R4537:0014608,v00262,he,,05/11/2018 16:17:38,josh,
16R205:S0001306,16R0697:0015711,v00262,he,,05/11/2018 16:17:46,josh,
16R205:S0001307,16R4537:0014607,v00262,he,,05/11/2018 16:17:53,josh,
