ma plantID,pa plantID,fuzzy_cl,num_cl,fungus,polltn_note,datetime,observer,harvest
17R4561:0006001,6004,he,,,,09/24/2017 12:00:00,josh,
17R4561:0006002,6004,he,,,,09/24/2017 12:00:00,josh,
17R4561:0006005,6004,he,,,,09/24/2017 12:00:00,josh,
17R4561:0006007,17R4561:0006004,he,,,,09/24/2017 12:00:00,josh,
17R4561:0006009,6004,he,,,,09/24/2017 12:00:00,josh,
17R4561:0006010,6004,he,,,,09/24/2017 12:00:00,josh,
17R4561:0006014,17R4561:0006004,qe,,,,09/24/2017 12:00:00,josh,
17R4227:0006301,17R4227:0006317,he,,,,09/24/2017 12:00:00,josh,
17R4227:0006303,17R4227:0006310,qe,,,,09/24/2017 12:00:00,josh,
17R4227:0006304,6317,he,,,,09/24/2017 12:00:00,josh,
17R4227:0006305,17R4227:0006317,he,,,,09/24/2017 12:00:00,josh,
17R4227:0006315,6317,he,,,,09/24/2017 12:00:00,josh,
17R4227:0006316,6317,qe,,,,09/24/2017 12:00:00,josh,
17R4228:0006401,6404,tqe,,,,09/24/2017 12:00:00,josh,
17R4228:0006404,17R4228:0006404,he,,,,09/24/2017 12:00:00,josh,
17R4228:0006408,6404,tqe,,,,09/24/2017 12:00:00,josh,
17R4228:0006409,6415,he,,,,09/24/2017 12:00:00,josh,
17R4228:0006410,6415,tqe,,,,09/24/2017 12:00:00,josh,
17R4228:0006411,6415,tqe,,,,09/24/2017 12:00:00,josh,
17R4228:0006415,17R4228:0006415,qe,,,,09/24/2017 12:00:00,josh,
17R4228:0006416,6415,he,,,,09/24/2017 12:00:00,josh,
17R4441:0006701,6706,qe,,,,09/24/2017 12:00:00,josh,
17R4441:0006702,6706,he,,,,09/24/2017 12:00:00,josh,
17R4441:0006703,6706,he,,,,09/24/2017 12:00:00,josh,
17R4441:0006704,6704,he,,,,09/24/2017 12:00:00,josh,
17R4441:0006709,17R4441:0006706,he,,,,09/24/2017 12:00:00,josh,
17R3946:0006905,6904,qe,,,,09/24/2017 12:00:00,josh,
